"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.49615619132004,0.807,0.347,0,"0","Potri.010G069000"
0,2.61771192557519,0.735,0.325,0,"0","Potri.003G214500"
0,2.43228519441919,0.582,0.195,0,"0","Potri.004G134800"
0,2.56296627824616,0.726,0.34,0,"0","Potri.005G135300"
0,2.183377818318,0.617,0.241,0,"0","Potri.006G076900"
0,2.63201857947665,0.52,0.153,0,"0","Potri.009G027300"
0,2.00102774324926,0.645,0.286,0,"0","Potri.008G087700"
0,2.37426066680223,0.584,0.231,0,"0","Potri.003G134400"
0,1.97387097210985,0.706,0.355,0,"0","Potri.018G015100"
0,2.50606940438691,0.547,0.199,0,"0","Potri.018G100300"
0,2.3182503412998,0.464,0.137,0,"0","Potri.015G062300"
0,2.33825532054187,0.465,0.149,0,"0","Potri.010G230432"
0,2.60517793082151,0.433,0.117,0,"0","Potri.002G185300"
0,2.04577101938945,0.488,0.178,0,"0","Potri.005G111700"
0,2.52467547701945,0.475,0.168,0,"0","Potri.015G029400"
0,2.19557143396627,0.45,0.144,0,"0","Potri.017G069500"
0,2.47299509247868,0.424,0.127,0,"0","Potri.006G278000"
0,2.59668707226836,0.411,0.121,0,"0","Potri.001G235500"
0,2.70876278285018,0.368,0.093,0,"0","Potri.003G025100"
0,1.45501274770495,0.581,0.308,0,"0","Potri.004G188200"
0,2.2154643126099,0.416,0.144,0,"0","Potri.016G019400"
0,2.16111864967393,0.421,0.158,0,"0","Potri.001G209300"
0,2.43052445080628,0.39,0.13,0,"0","Potri.006G178200"
0,1.44083620221056,0.599,0.349,0,"0","Potri.008G158200"
0,1.5508851496058,0.534,0.289,0,"0","Potri.003G083200"
0,2.63234706711247,0.31,0.072,0,"0","Potri.016G079600"
0,1.83976887453828,0.439,0.204,0,"0","Potri.007G106400"
0,2.44602409438769,0.323,0.09,0,"0","Potri.006G069600"
0,2.32850582725335,0.332,0.102,0,"0","Potri.018G054800"
0,2.74136241996355,0.308,0.078,0,"0","Potri.018G131600"
0,2.07502258177516,0.354,0.125,0,"0","Potri.005G176100"
0,1.53266020655875,0.415,0.186,0,"0","Potri.011G052600"
0,2.29002530510702,0.323,0.095,0,"0","Potri.004G144600"
0,1.71620650763962,0.376,0.148,0,"0","Potri.007G077500"
0,1.68500572149393,0.43,0.204,0,"0","Potri.001G440200"
