"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"arabidopsis_thaliana Flower Companion cell",0,11,0.273695609946975,0.56273216857853,"No"
"arabidopsis_thaliana Flower Cortex",0,5,0.796358542282129,0.0988913570408533,"No"
"arabidopsis_thaliana Flower Early anther",0,6,0.0890367700349501,1.0504306031819,"No"
"arabidopsis_thaliana Flower Epidermis",0,8,0.566427649584728,0.246855555161174,"No"
"arabidopsis_thaliana Flower Floral organ abscission zone",0,10,0.440217034047428,0.356333156581232,"No"
"arabidopsis_thaliana Flower Flower meristem",0,3,1,0,"No"
"arabidopsis_thaliana Flower Generative nuclei",0,2,1,0,"No"
"arabidopsis_thaliana Flower Guard cell",0,5,1,0,"No"
"arabidopsis_thaliana Flower Intermediate anther",0,3,0.968615384059945,0.0138486375408879,"No"
"arabidopsis_thaliana Flower Late anther",0,6,1,0,"No"
"arabidopsis_thaliana Flower Mesophyll cell",0,0,1,0,"No"
"arabidopsis_thaliana Flower Microspore nuclei",0,2,1,0,"No"
"arabidopsis_thaliana Flower Phloem",0,4,1,0,"No"
"arabidopsis_thaliana Flower Procambium",0,8,0.0366862453374238,1.43549673394258,"Yes"
"arabidopsis_thaliana Flower Proliferating cell",0,1,1,0,"No"
"arabidopsis_thaliana Flower Sperm nuclei",0,1,1,0,"No"
"arabidopsis_thaliana Flower Vegetative nuclei",0,7,0.157744946726356,0.802044544248711,"No"
"arabidopsis_thaliana Flower Xylem parenchyma cell",0,18,0.000787201692369361,3.10391398090562,"Yes"
"arabidopsis_thaliana Inflorescence Cortex",0,5,0.885822125762823,0.0526534762563913,"No"
"arabidopsis_thaliana Inflorescence Flower meristem",0,2,0.948628070837022,0.0229040282934166,"No"
"arabidopsis_thaliana Inflorescence G2/M phase",0,1,1,0,"No"
"arabidopsis_thaliana Inflorescence Mesophyll",0,0,1,0,"No"
"arabidopsis_thaliana Inflorescence Phloem",0,8,0.946029415050745,0.0240953597973436,"No"
"arabidopsis_thaliana Inflorescence S phase",0,1,1,0,"No"
"arabidopsis_thaliana Inflorescence Shoot system epidermis",0,1,1,0,"No"
"arabidopsis_thaliana Inflorescence Vascular cambium",0,10,0.0111962661750431,1.95092678535965,"Yes"
"arabidopsis_thaliana Inflorescence Xylem",0,8,0.42315889089277,0.373496529833015,"No"
"arabidopsis_thaliana Leaf Bundle sheath",0,14,0.234015800902977,0.630754817746716,"No"
"arabidopsis_thaliana Leaf Bundle sheath cell",0,9,0.398455933585184,0.399619701517569,"No"
"arabidopsis_thaliana Leaf Companion cell",0,9,0.532768752003723,0.273461255366142,"No"
"arabidopsis_thaliana Leaf G2/M phase",0,4,1,0,"No"
"arabidopsis_thaliana Leaf Guard mother cell",0,9,1,0,"No"
"arabidopsis_thaliana Leaf Hydathode",0,10,0.260922931250152,0.583487751188123,"No"
"arabidopsis_thaliana Leaf Hydathodes",0,14,0.320285185220426,0.49446314914704,"No"
"arabidopsis_thaliana Leaf Initials",0,7,1,0,"No"
"arabidopsis_thaliana Leaf Leaf abaxial pavement cell",0,0,1,0,"No"
"arabidopsis_thaliana Leaf Leaf adaxial pavement cell",0,16,0.00916904581069918,2.0376758574281,"Yes"
"arabidopsis_thaliana Leaf Leaf epidermis",0,12,0.173134908132798,0.761615359155256,"No"
"arabidopsis_thaliana Leaf Leaf guard cell",0,10,0.260922931250152,0.583487751188123,"No"
"arabidopsis_thaliana Leaf Leaf lamina epidermis",0,10,0.600297753859739,0.221633281645202,"No"
"arabidopsis_thaliana Leaf Leaf pavement cell",0,9,0.973979648040665,0.0114501179016519,"No"
"arabidopsis_thaliana Leaf Leaf preprocambium",0,10,0.210696893391623,0.676341867775012,"No"
"arabidopsis_thaliana Leaf Leaf vascular system",0,24,2.57405327547518e-05,4.58938246869602,"Yes"
"arabidopsis_thaliana Leaf Meristematic cell",0,3,1,0,"No"
"arabidopsis_thaliana Leaf Mesophyll",0,5,0.838764109741342,0.076360161033068,"No"
"arabidopsis_thaliana Leaf Mesophyll cell",0,2,1,0,"No"
"arabidopsis_thaliana Leaf Myrosinase cell",0,9,1,0,"No"
"arabidopsis_thaliana Leaf Palisade mesophyll",0,1,1,0,"No"
"arabidopsis_thaliana Leaf Phloem",0,20,0.0149900504685557,1.82419690496504,"Yes"
"arabidopsis_thaliana Leaf Phloem parenchyma",0,19,5.38903959894377e-05,4.26848862517377,"Yes"
"arabidopsis_thaliana Leaf Phloem parenchyma cell",0,16,0.00214239493658113,2.66910046675919,"Yes"
"arabidopsis_thaliana Leaf Proliferating cell",0,2,1,0,"No"
"arabidopsis_thaliana Leaf S phase",0,1,1,0,"No"
"arabidopsis_thaliana Leaf Sieve element",0,5,1,0,"No"
"arabidopsis_thaliana Leaf Spongy mesophyll",0,8,0.827273514330061,0.0823508796547757,"No"
