"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"MZ","solanum_lycopersicum","Root",174,1,108,89,8.49176080705399e-63,"Reject"
"Columella root cap cell","sorghum_bicolor","Root",119,1,108,75,6.81978762425738e-58,"Reject"
"Lateral root primordia","arabidopsis_thaliana","Root",165,1,108,86,8.98050479420056e-47,"Reject"
"Meristematic cell","arabidopsis_thaliana","Root",133,1,108,84,4.2671031309078e-45,"Reject"
"Root meristem","arabidopsis_thaliana","Root",53,1,108,83,1.90884032933246e-44,"Reject"
"Vascular cambium","populus_alba_var_pyramidalis","Stem",173,1,108,56,7.92398694168804e-44,"Reject"
"S phase","arabidopsis_thaliana","Root",51,1,108,86,5.53708893740824e-43,"Reject"
"Mesophyll precursor/Root endodermis","oryza_sativa","Root;Leaf",154,1,108,85,1.47769716733481e-40,"Reject"
"Proliferating cell","glycine_max","Root",108,8,149,33,3.62104058688106e-40,"Reject"
"G2/M phase","arabidopsis_thaliana","Shoot axis apex",182,8,149,54,1.64132217553947e-39,"Reject"
"Initial cell","oryza_sativa","Root;Leaf",165,1,108,81,1.75516110329258e-38,"Reject"
"Root meristem","oryza_sativa","Root",130,1,108,78,2.45479275386953e-38,"Reject"
"Palisade mesophyll cell","manihot_esculenta","Leaf",123,1,108,37,1.63717254107193e-36,"Reject"
"Meristematic cell","arabidopsis_thaliana","Leaf",189,1,108,69,4.99350522170043e-34,"Reject"
"G2/M phase","arabidopsis_thaliana","Inflorescence",146,8,149,49,4.39032299811958e-33,"Reject"
"Proliferating cell","glycine_max","Leaf",124,8,149,31,1.82537591345495e-32,"Reject"
"MZ","solanum_lycopersicum","Root",174,8,149,65,1.09893223097861e-31,"Reject"
"Vascular cambium","populus_alba_var_pyramidalis","Stem",173,8,149,49,7.70694235309986e-31,"Reject"
"Proliferating cell","arabidopsis_thaliana","Flower",112,8,149,42,1.02005100683316e-30,"Reject"
"Meristematic cell","fragaria_vesca","Leaf",195,8,149,54,1.10474058018289e-30,"Reject"
"Proliferating cell","glycine_max","Stem",126,8,149,33,8.74904636192874e-30,"Reject"
"Columella root cap cell","sorghum_bicolor","Root",119,8,149,52,4.63025515410455e-29,"Reject"
"Metaphloem sieve element","arabidopsis_thaliana","Root",126,8,149,54,7.27546898290768e-29,"Reject"
"G2/M phase","arabidopsis_thaliana","Root",49,8,149,76,1.18463004631244e-28,"Reject"
"Meristematic cell","oryza_sativa","Root",79,1,108,66,4.93431880135038e-28,"Reject"
"G2/M phase","zea_mays","Ear inflorescence",177,8,149,43,6.57724583238309e-28,"Reject"
"Meristematic cell","brassica_rapa","Leaf",131,1,108,51,2.34553182826126e-26,"Reject"
"G2/M phase","arabidopsis_thaliana","Leaf",139,8,149,51,7.09353798090761e-26,"Reject"
"Meristematic cell","catharanthus_roseus","Leaf",181,8,149,80,4.52272116280824e-25,"Reject"
"Mesophyll precursor/Root endodermis","oryza_sativa","Root;Leaf",154,8,149,63,4.10911083183041e-24,"Reject"
