"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,11,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",0,5,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",0,6,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",0,8,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",0,10,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",0,3,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",0,2,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",0,5,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",0,3,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",0,6,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",0,0,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",0,2,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",0,4,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",0,8,0.384352507390969,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",0,1,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",0,1,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",0,7,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",0,18,0.384352507390969,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",1,1,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",1,1,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",1,2,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",1,1,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",1,1,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",1,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",1,12,2.78752075083298e-08,"Reject","arabidopsis_thaliana","Flower"
"Phloem",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",1,5,0.0208823257870362,"Reject","arabidopsis_thaliana","Flower"
"Vegetative nuclei",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",1,0,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",2,9,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",2,7,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",2,4,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",2,10,0.824551021008755,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",2,7,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",2,4,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",2,5,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",2,4,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",2,3,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",2,6,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",2,6,0.384352507390969,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",2,3,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",2,6,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",2,2,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",2,5,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",2,2,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",2,4,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",2,14,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",3,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",3,6,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",3,2,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",3,8,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",3,9,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",3,5,0.823216870548582,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",3,2,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",3,9,0.710464788961192,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",3,4,0.977603372736044,"Fail","arabidopsis_thaliana","Flower"
"Late anther",3,9,0.860809198185854,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",3,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",3,2,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",3,8,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",3,2,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",3,0,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",3,5,0.879843665013262,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",3,3,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",3,9,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",4,30,7.5453678215695e-06,"Reject","arabidopsis_thaliana","Flower"
"Cortex",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",4,6,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",4,23,5.61087508837584e-05,"Reject","arabidopsis_thaliana","Flower"
"Procambium",4,8,0.416899268613495,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",4,0,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",4,3,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",5,4,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",5,7,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",5,2,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",5,5,0.710464788961192,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",5,0,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",5,8,0.679363103864813,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",5,1,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",5,0,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",5,2,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",5,7,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",6,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",6,7,1,"Fail","arabidopsis_thaliana","Flower"
