"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Cortex",0,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",0,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",0,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",0,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",0,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",0,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",0,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",0,10,0.111366671880528,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",0,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",1,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",1,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",1,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",1,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",1,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",1,8,4.40679232402274e-09,"Reject","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",1,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",1,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",1,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",2,10,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",2,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",2,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",2,8,0.972236456213792,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",2,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",2,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",2,9,0.422414105031476,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",2,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",2,10,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",3,9,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",3,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",3,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",3,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",3,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",3,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",3,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",3,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",3,9,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",4,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",4,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",4,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",4,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",4,28,1.2007205658799e-05,"Reject","arabidopsis_thaliana","Inflorescence"
"S phase",4,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",4,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",4,11,0.751258216963853,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",4,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",5,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",5,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",5,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",5,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",5,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",5,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",5,9,0.000834866724264765,"Reject","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",5,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",5,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",6,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",6,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",6,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",6,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",6,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",6,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",6,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",6,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",6,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",7,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",7,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",7,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",7,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",7,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",7,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",7,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",7,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",7,10,0.978574390968274,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",8,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",8,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",8,49,4.39032299811958e-33,"Reject","arabidopsis_thaliana","Inflorescence"
"Mesophyll",8,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",8,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",8,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",8,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",8,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",8,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",9,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",9,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",9,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",9,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",9,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",9,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",9,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",9,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",9,10,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",10,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",10,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",10,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",10,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",10,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",10,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",10,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",10,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",10,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",11,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",11,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",11,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",11,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",11,9,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",11,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",11,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",11,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",11,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",12,16,0.401722967150575,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",12,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",12,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",12,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",12,11,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",12,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",12,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",12,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",12,14,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",13,8,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",13,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",13,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",13,4,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",13,11,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",13,0,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",13,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",13,6,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",13,10,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Cortex",14,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Flower meristem",14,2,1,"Fail","arabidopsis_thaliana","Inflorescence"
"G2/M phase",14,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Mesophyll",14,3,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Phloem",14,9,1,"Fail","arabidopsis_thaliana","Inflorescence"
"S phase",14,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Shoot system epidermis",14,1,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Vascular cambium",14,7,1,"Fail","arabidopsis_thaliana","Inflorescence"
"Xylem",14,5,1,"Fail","arabidopsis_thaliana","Inflorescence"
