"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Bundle sheath",0,14,0.847421656911351,"Fail","arabidopsis_thaliana","Leaf"
"Bundle sheath cell",0,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Companion cell",0,9,1,"Fail","arabidopsis_thaliana","Leaf"
"G2/M phase",0,4,1,"Fail","arabidopsis_thaliana","Leaf"
"Guard mother cell",0,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Hydathode",0,10,1,"Fail","arabidopsis_thaliana","Leaf"
"Hydathodes",0,14,1,"Fail","arabidopsis_thaliana","Leaf"
"Initials",0,7,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf abaxial pavement cell",0,0,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf adaxial pavement cell",0,16,0.630620262608383,"Fail","arabidopsis_thaliana","Leaf"
"Leaf epidermis",0,12,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf guard cell",0,10,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf lamina epidermis",0,10,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf pavement cell",0,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf preprocambium",0,10,0.847421656911351,"Fail","arabidopsis_thaliana","Leaf"
"Leaf vascular system",0,24,0.103434152662712,"Fail","arabidopsis_thaliana","Leaf"
"Meristematic cell",0,3,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll",0,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll cell",0,2,1,"Fail","arabidopsis_thaliana","Leaf"
"Myrosinase cell",0,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Palisade mesophyll",0,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Phloem",0,20,0.847421656911351,"Fail","arabidopsis_thaliana","Leaf"
"Phloem parenchyma",0,19,0.0372228979480985,"Reject","arabidopsis_thaliana","Leaf"
"Phloem parenchyma cell",0,16,0.630620262608383,"Fail","arabidopsis_thaliana","Leaf"
"Proliferating cell",0,2,1,"Fail","arabidopsis_thaliana","Leaf"
"S phase",0,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Sieve element",0,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Spongy mesophyll",0,8,1,"Fail","arabidopsis_thaliana","Leaf"
