"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Columella",0,3,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap",0,5,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap cell",0,6,1,"Fail","arabidopsis_thaliana","Root"
"Companion cell",0,6,1,"Fail","arabidopsis_thaliana","Root"
"Cortex",0,10,1,"Fail","arabidopsis_thaliana","Root"
"Early sieve element",0,6,1,"Fail","arabidopsis_thaliana","Root"
"Epidermal cell layer of the emerging lateral root",0,7,1,"Fail","arabidopsis_thaliana","Root"
"Explant vasculature and callus founder cell",0,15,1,"Fail","arabidopsis_thaliana","Root"
"G1/G0 phase",0,0,1,"Fail","arabidopsis_thaliana","Root"
"G2/M phase",0,2,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root cap",0,7,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root cap like cell",0,12,0.850894047200409,"Fail","arabidopsis_thaliana","Root"
"Lateral root primordia",0,0,1,"Fail","arabidopsis_thaliana","Root"
"Meristematic cell",0,1,1,"Fail","arabidopsis_thaliana","Root"
"Metaphloem",0,1,1,"Fail","arabidopsis_thaliana","Root"
"Metaphloem sieve element",0,1,1,"Fail","arabidopsis_thaliana","Root"
"Metaxylem",0,4,1,"Fail","arabidopsis_thaliana","Root"
"Non-hair",0,17,0.45411944988971,"Fail","arabidopsis_thaliana","Root"
"Non-hair root epidermal cell",0,10,1,"Fail","arabidopsis_thaliana","Root"
"Pericycle",0,25,6.07070417472856e-06,"Reject","arabidopsis_thaliana","Root"
"Pericycle cell",0,22,0.0035479808321506,"Reject","arabidopsis_thaliana","Root"
"Phloem",0,11,0.524618551438694,"Fail","arabidopsis_thaliana","Root"
"Phloem parenchyma",0,29,0.0101468276958112,"Reject","arabidopsis_thaliana","Root"
"Phloem pole pericycle",0,13,0.639138857747933,"Fail","arabidopsis_thaliana","Root"
"Phloem pole pericycle cell",0,19,0.18485491943959,"Fail","arabidopsis_thaliana","Root"
"Phloem/Pericycle",0,19,0.000279092757422917,"Reject","arabidopsis_thaliana","Root"
"Pholem",0,13,1,"Fail","arabidopsis_thaliana","Root"
"Photosynthetic cell",0,1,1,"Fail","arabidopsis_thaliana","Root"
"Primary phloem",0,21,0.0486378436958209,"Reject","arabidopsis_thaliana","Root"
"Primary xylem",0,5,1,"Fail","arabidopsis_thaliana","Root"
"Proliferating cell",0,3,1,"Fail","arabidopsis_thaliana","Root"
"Protophloem",0,4,1,"Fail","arabidopsis_thaliana","Root"
"Protophloem sieve element",0,2,1,"Fail","arabidopsis_thaliana","Root"
"Protoxylem",0,20,0.00903279679419927,"Reject","arabidopsis_thaliana","Root"
"Quiescent center",0,5,1,"Fail","arabidopsis_thaliana","Root"
"Root cap",0,5,1,"Fail","arabidopsis_thaliana","Root"
"Root cortex",0,8,1,"Fail","arabidopsis_thaliana","Root"
"Root endodermis",0,10,1,"Fail","arabidopsis_thaliana","Root"
"Root epidermis",0,8,1,"Fail","arabidopsis_thaliana","Root"
"Root hair",0,4,1,"Fail","arabidopsis_thaliana","Root"
"Root hair cell",0,2,1,"Fail","arabidopsis_thaliana","Root"
"Root initial cell",0,7,1,"Fail","arabidopsis_thaliana","Root"
"Root meristem",0,1,1,"Fail","arabidopsis_thaliana","Root"
"Root procambium",0,13,0.423597088538888,"Fail","arabidopsis_thaliana","Root"
"Root stele",0,15,1,"Fail","arabidopsis_thaliana","Root"
"S phase",0,3,1,"Fail","arabidopsis_thaliana","Root"
"Sieve element",0,4,1,"Fail","arabidopsis_thaliana","Root"
"Stem cell niche",0,14,0.379987676012693,"Fail","arabidopsis_thaliana","Root"
"Xylem",0,7,1,"Fail","arabidopsis_thaliana","Root"
"Xylem pole pericycle",0,22,0.0572949028129614,"Fail","arabidopsis_thaliana","Root"
"Xylem pole pericycle cell",0,12,1,"Fail","arabidopsis_thaliana","Root"
"Columella",1,3,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap cell",1,6,1,"Fail","arabidopsis_thaliana","Root"
"Companion cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Cortex",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Early sieve element",1,9,0.534533149484116,"Fail","arabidopsis_thaliana","Root"
"Epidermal cell layer of the emerging lateral root",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Explant vasculature and callus founder cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"G1/G0 phase",1,0,1,"Fail","arabidopsis_thaliana","Root"
"G2/M phase",1,65,1.04736586176586e-21,"Reject","arabidopsis_thaliana","Root"
"Lateral root cap",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root cap like cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root primordia",1,86,8.98050479420056e-47,"Reject","arabidopsis_thaliana","Root"
"Meristematic cell",1,84,4.2671031309078e-45,"Reject","arabidopsis_thaliana","Root"
"Metaphloem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Metaphloem sieve element",1,23,0.000203714046279441,"Reject","arabidopsis_thaliana","Root"
"Metaxylem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Non-hair",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Non-hair root epidermal cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Pericycle",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Pericycle cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Phloem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Phloem parenchyma",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Phloem pole pericycle",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Phloem pole pericycle cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Phloem/Pericycle",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Pholem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Photosynthetic cell",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Primary phloem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Primary xylem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Proliferating cell",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Protophloem",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Protophloem sieve element",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Protoxylem",1,6,1,"Fail","arabidopsis_thaliana","Root"
"Quiescent center",1,5,1,"Fail","arabidopsis_thaliana","Root"
"Root cap",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Root cortex",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Root endodermis",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Root epidermis",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Root hair",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Root hair cell",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Root initial cell",1,28,5.82185856404036e-05,"Reject","arabidopsis_thaliana","Root"
"Root meristem",1,83,1.90884032933246e-44,"Reject","arabidopsis_thaliana","Root"
"Root procambium",1,1,1,"Fail","arabidopsis_thaliana","Root"
"Root stele",1,6,1,"Fail","arabidopsis_thaliana","Root"
"S phase",1,86,5.53708893740824e-43,"Reject","arabidopsis_thaliana","Root"
"Sieve element",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Stem cell niche",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Xylem",1,0,1,"Fail","arabidopsis_thaliana","Root"
"Xylem pole pericycle",1,17,1,"Fail","arabidopsis_thaliana","Root"
"Xylem pole pericycle cell",1,51,5.09305746622763e-09,"Reject","arabidopsis_thaliana","Root"
"Columella",2,3,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap",2,5,1,"Fail","arabidopsis_thaliana","Root"
"Columella root cap cell",2,3,1,"Fail","arabidopsis_thaliana","Root"
"Companion cell",2,4,1,"Fail","arabidopsis_thaliana","Root"
"Cortex",2,24,0.0309520988275693,"Reject","arabidopsis_thaliana","Root"
"Early sieve element",2,3,1,"Fail","arabidopsis_thaliana","Root"
"Epidermal cell layer of the emerging lateral root",2,7,1,"Fail","arabidopsis_thaliana","Root"
"Explant vasculature and callus founder cell",2,24,0.0688745396874312,"Fail","arabidopsis_thaliana","Root"
"G1/G0 phase",2,0,1,"Fail","arabidopsis_thaliana","Root"
"G2/M phase",2,4,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root cap",2,3,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root cap like cell",2,3,1,"Fail","arabidopsis_thaliana","Root"
"Lateral root primordia",2,0,1,"Fail","arabidopsis_thaliana","Root"
"Meristematic cell",2,0,1,"Fail","arabidopsis_thaliana","Root"
"Metaphloem",2,0,1,"Fail","arabidopsis_thaliana","Root"
"Metaphloem sieve element",2,2,1,"Fail","arabidopsis_thaliana","Root"
"Metaxylem",2,17,0.45411944988971,"Fail","arabidopsis_thaliana","Root"
"Non-hair",2,7,1,"Fail","arabidopsis_thaliana","Root"
"Non-hair root epidermal cell",2,11,0.866146920221841,"Fail","arabidopsis_thaliana","Root"
