"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Columella initial cell",0,4,0.909570707681501,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",0,2,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",0,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",0,0,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",0,7,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",0,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",0,2,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",0,9,0.162499655374681,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",1,0,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",1,7,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",1,13,0.00105716118873314,"Reject","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",1,11,0.000957216916762612,"Reject","arabidopsis_thaliana","Seed"
"Radicle",1,6,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",1,7,0.00305334185684592,"Reject","arabidopsis_thaliana","Seed"
"Suspensor",1,0,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",1,4,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",2,3,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",2,21,0.049232841831728,"Reject","arabidopsis_thaliana","Seed"
"Hypocotyl",2,3,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",2,3,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",2,11,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",2,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",2,3,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",2,4,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",3,5,0.455710302734027,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",3,5,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",3,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",3,2,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",3,4,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",3,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",3,3,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",3,5,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",4,4,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",4,4,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",4,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",4,1,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",4,4,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",4,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",4,2,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",4,14,0.00304046399004453,"Reject","arabidopsis_thaliana","Seed"
"Columella initial cell",5,3,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",5,13,0.327552799419101,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",5,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",5,3,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",5,5,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",5,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",5,4,0.882695140560974,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",5,2,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",6,4,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",6,14,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",6,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",6,0,1,"Fail","arabidopsis_thaliana","Seed"
