"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,15,0.999983934422955,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",0,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",0,11,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",0,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",0,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",0,20,0.612093572031667,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",0,6,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",0,25,0.0393400562554979,"Reject","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",1,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",1,4,0.912369680006899,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",1,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",1,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",1,13,2.6765382305796e-15,"Reject","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",1,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",1,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",1,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",2,8,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",2,7,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",2,13,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",2,9,0.0338500268113846,"Reject","arabidopsis_thaliana","Shoot axis apex"
"S phase",2,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",2,15,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",2,11,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",2,12,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",3,8,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",3,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",3,13,0.979032611823372,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",3,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",3,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",3,16,0.521161628031943,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",3,5,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",3,13,0.979032611823372,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",4,43,4.86001237774592e-12,"Reject","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",4,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",4,9,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",4,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",4,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",4,12,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",4,5,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",4,18,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",5,5,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",5,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",5,11,0.811448563148826,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",5,3,0.979032611823372,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",5,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",5,10,0.999983934422955,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",5,3,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",5,11,0.811448563148826,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",6,7,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",6,5,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",6,18,0.521161628031943,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",6,3,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",6,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",6,10,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",6,14,0.382119901524076,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",6,11,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",7,12,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",7,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",7,21,0.372735726749619,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",7,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",7,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",7,10,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",7,14,0.612093572031667,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",7,16,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",8,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",8,54,1.64132217553947e-39,"Reject","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",8,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",8,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",8,6,0.287423155631909,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",8,7,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",8,3,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",8,1,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",9,8,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",9,5,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",9,11,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Mesophyll",9,2,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"S phase",9,0,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot apical meristem",9,14,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Shoot system epidermis",9,11,0.851736523118829,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Vascular tissue",9,13,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Companion cell",10,10,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"G2/M phase",10,6,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
"Guard cell",10,12,1,"Fail","arabidopsis_thaliana","Shoot axis apex"
