"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,6,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",0,1,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",0,4,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",0,9,1,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",0,1,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",0,1,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",0,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",0,6,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot parenchyma",0,16,0.0278710791181461,"Reject","arabidopsis_thaliana","Stem"
"Shoot system cortex",0,12,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",0,7,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",0,4,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",0,21,0.00284211670457136,"Reject","arabidopsis_thaliana","Stem"
"Sieve element",0,6,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",0,4,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",1,1,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",1,1,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",1,51,3.46802652826752e-21,"Reject","arabidopsis_thaliana","Stem"
"S-phase cell",1,12,0.00594254258233709,"Reject","arabidopsis_thaliana","Stem"
"Shoot apical meristem",1,44,1.35570719593519e-14,"Reject","arabidopsis_thaliana","Stem"
"Shoot parenchyma",1,1,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",1,1,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",1,0,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",1,21,0.300277886484679,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",2,8,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",2,5,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",2,2,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",2,10,1,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",2,9,0.00622300763208692,"Reject","arabidopsis_thaliana","Stem"
"Proliferating cell",2,4,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",2,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",2,1,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot parenchyma",2,10,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",2,15,0.47482328184714,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",2,14,0.369117914786771,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",2,6,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",2,7,1,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",2,4,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",2,9,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",3,5,1,"Fail","arabidopsis_thaliana","Stem"
