"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Bundle sheath",0,16,0.560269234685254,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",0,7,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",0,4,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",0,5,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",0,2,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",0,10,0.907405063239261,"Fail","brassica_rapa","Leaf"
"Meristematic cell",0,2,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",0,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",0,0,1,"Fail","brassica_rapa","Leaf"
"Phloem",0,3,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",0,2,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",0,16,0.725798519820795,"Fail","brassica_rapa","Leaf"
"Xylem",0,8,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath",1,6,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",1,0,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",1,5,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",1,1,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",1,8,0.33113045519604,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",1,3,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",1,51,2.34553182826126e-26,"Reject","brassica_rapa","Leaf"
"Mesophyll",1,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",1,1,1,"Fail","brassica_rapa","Leaf"
"Phloem",1,1,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",1,4,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",1,3,1,"Fail","brassica_rapa","Leaf"
"Xylem",1,1,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath",2,20,0.690376281711379,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",2,12,0.664236957052058,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",2,5,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",2,4,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",2,3,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",2,11,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",2,9,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",2,4,0.160283979048333,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",2,7,0.156163812662736,"Fail","brassica_rapa","Leaf"
"Phloem",2,2,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",2,9,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",2,17,1,"Fail","brassica_rapa","Leaf"
"Xylem",2,5,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath",3,5,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",3,7,0.640718474224505,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",3,6,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",3,5,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",3,1,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",3,5,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",3,1,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",3,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",3,1,1,"Fail","brassica_rapa","Leaf"
"Phloem",3,4,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",3,0,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",3,10,1,"Fail","brassica_rapa","Leaf"
"Xylem",3,7,0.741841314861774,"Fail","brassica_rapa","Leaf"
"Bundle sheath",4,4,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",4,2,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",4,5,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",4,4,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",4,2,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",4,7,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",4,3,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",4,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",4,2,1,"Fail","brassica_rapa","Leaf"
"Phloem",4,8,0.176296853204603,"Fail","brassica_rapa","Leaf"
"Proliferating cell",4,2,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",4,14,0.560269234685254,"Fail","brassica_rapa","Leaf"
"Xylem",4,5,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath",5,18,0.130961094635572,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",5,15,0.00221325649308993,"Reject","brassica_rapa","Leaf"
"Leaf epidermis",5,2,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",5,4,1,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",5,2,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",5,7,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",5,1,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",5,1,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",5,2,1,"Fail","brassica_rapa","Leaf"
"Phloem",5,2,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",5,0,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",5,9,1,"Fail","brassica_rapa","Leaf"
"Xylem",5,6,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath",6,13,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",6,4,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",6,11,0.690376281711379,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",6,10,0.638317179536432,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",6,7,0.690376281711379,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",6,9,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",6,4,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",6,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",6,2,1,"Fail","brassica_rapa","Leaf"
"Phloem",6,2,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",6,5,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",6,15,1,"Fail","brassica_rapa","Leaf"
"Xylem",6,12,0.640718474224505,"Fail","brassica_rapa","Leaf"
"Bundle sheath",7,13,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",7,7,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",7,11,0.880494135378978,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",7,11,0.560269234685254,"Fail","brassica_rapa","Leaf"
"Leaf lamina epidermis",7,3,1,"Fail","brassica_rapa","Leaf"
"Leaf vascular system",7,12,1,"Fail","brassica_rapa","Leaf"
"Meristematic cell",7,2,1,"Fail","brassica_rapa","Leaf"
"Mesophyll",7,0,1,"Fail","brassica_rapa","Leaf"
"Mesophyll cell",7,1,1,"Fail","brassica_rapa","Leaf"
"Phloem",7,3,1,"Fail","brassica_rapa","Leaf"
"Proliferating cell",7,3,1,"Fail","brassica_rapa","Leaf"
"Vascular tissue",7,21,0.690376281711379,"Fail","brassica_rapa","Leaf"
"Xylem",7,15,0.26275989383154,"Fail","brassica_rapa","Leaf"
"Bundle sheath",8,9,1,"Fail","brassica_rapa","Leaf"
"Bundle sheath cell",8,1,1,"Fail","brassica_rapa","Leaf"
"Leaf epidermis",8,1,1,"Fail","brassica_rapa","Leaf"
"Leaf guard cell",8,1,1,"Fail","brassica_rapa","Leaf"
