"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Idioblast cell",0,3,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",0,9,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",0,2,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",0,1,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",0,9,0.512017865223338,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",0,3,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",0,1,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",0,1,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",0,19,0.00438806986756443,"Reject","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",0,4,0.958355875748683,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",0,1,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",0,16,0.471930222768409,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",1,2,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",1,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",1,7,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",1,1,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",1,62,3.25830580892047e-23,"Reject","catharanthus_roseus","Leaf"
"Mesophyll",1,0,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",1,8,0.0327265231968839,"Reject","catharanthus_roseus","Leaf"
"Phloem parenchyma",1,0,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",1,0,1,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",1,26,2.36909645757299e-09,"Reject","catharanthus_roseus","Leaf"
"Vascular tissue",1,6,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",2,32,0.00107379097441057,"Reject","catharanthus_roseus","Leaf"
"Leaf epidermis",2,12,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",2,10,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",2,6,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",2,9,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",2,10,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",2,6,0.881434815673212,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",2,5,0.932533653877072,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",2,11,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",2,6,1,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",2,7,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",2,23,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",3,6,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",3,9,0.613033646454763,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",3,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",3,3,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",3,5,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",3,2,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",3,4,0.392489482368116,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",3,1,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",3,9,0.873061507747859,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",3,4,0.613033646454763,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",3,1,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",3,8,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",4,8,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",4,9,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",4,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",4,1,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",4,15,0.0153052795731931,"Reject","catharanthus_roseus","Leaf"
"Meristematic cell",4,5,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",4,2,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",4,1,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",4,7,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",4,0,1,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",4,3,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",4,31,2.29533602103777e-05,"Reject","catharanthus_roseus","Leaf"
"Idioblast cell",5,19,0.257930493485559,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",5,9,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",5,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",5,5,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",5,10,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",5,1,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",5,5,0.873061507747859,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",5,2,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",5,27,0.00107379097441057,"Reject","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",5,11,0.00976300543589625,"Reject","catharanthus_roseus","Leaf"
"Proliferating cell",5,2,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",5,14,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",6,17,0.471930222768409,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",6,14,0.932533653877072,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",6,9,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",6,8,0.392565427389016,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",6,5,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",6,10,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",6,4,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",6,1,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",6,11,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",6,4,1,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",6,3,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",6,14,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",7,12,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",7,19,0.0389646906827538,"Reject","catharanthus_roseus","Leaf"
"Leaf guard cell",7,5,1,"Fail","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",7,9,0.120512837143125,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",7,4,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",7,3,1,"Fail","catharanthus_roseus","Leaf"
"Mesophyll",7,5,0.613033646454763,"Fail","catharanthus_roseus","Leaf"
"Mesophyll cell",7,1,1,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma",7,19,0.0963334734673883,"Fail","catharanthus_roseus","Leaf"
"Phloem parenchyma cell",7,3,1,"Fail","catharanthus_roseus","Leaf"
"Proliferating cell",7,0,1,"Fail","catharanthus_roseus","Leaf"
"Vascular tissue",7,12,1,"Fail","catharanthus_roseus","Leaf"
"Idioblast cell",8,6,1,"Fail","catharanthus_roseus","Leaf"
"Leaf epidermis",8,1,1,"Fail","catharanthus_roseus","Leaf"
"Leaf guard cell",8,39,6.57492631713304e-10,"Reject","catharanthus_roseus","Leaf"
"Leaf lamina epidermis",8,0,1,"Fail","catharanthus_roseus","Leaf"
"Leaf vascular system",8,3,1,"Fail","catharanthus_roseus","Leaf"
"Meristematic cell",8,80,4.52272116280824e-25,"Reject","catharanthus_roseus","Leaf"
