"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Abaxial epidermis",0,11,0.922502329285506,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",0,8,1,"Fail","fragaria_vesca","Leaf"
"Hydathode",0,7,0.778754839021315,"Fail","fragaria_vesca","Leaf"
"Hydathodes",0,13,0.708852800813218,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",0,7,0.909235064459272,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",0,5,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",0,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",0,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",0,3,1,"Fail","fragaria_vesca","Leaf"
"Phloem",0,15,0.38748060904756,"Fail","fragaria_vesca","Leaf"
"Xylem",0,9,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",0,15,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",0,15,0.338648211776491,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",1,2,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",1,0,1,"Fail","fragaria_vesca","Leaf"
"Hydathode",1,0,1,"Fail","fragaria_vesca","Leaf"
"Hydathodes",1,0,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",1,0,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",1,0,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",1,32,3.04028690985377e-15,"Reject","fragaria_vesca","Leaf"
"Mesophyll",1,10,0.000634439153899689,"Reject","fragaria_vesca","Leaf"
"Mesophyll cell",1,26,2.77104953377761e-18,"Reject","fragaria_vesca","Leaf"
"Phloem",1,1,1,"Fail","fragaria_vesca","Leaf"
"Xylem",1,1,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",1,0,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",1,0,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",2,13,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",2,20,0.950597372549782,"Fail","fragaria_vesca","Leaf"
"Hydathode",2,2,1,"Fail","fragaria_vesca","Leaf"
"Hydathodes",2,9,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",2,11,0.660065138464322,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",2,10,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",2,12,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",2,6,0.922502329285506,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",2,5,1,"Fail","fragaria_vesca","Leaf"
"Phloem",2,5,1,"Fail","fragaria_vesca","Leaf"
"Xylem",2,21,0.922502329285506,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",2,26,0.734980381100902,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",2,13,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",3,9,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",3,16,0.734980381100902,"Fail","fragaria_vesca","Leaf"
"Hydathode",3,8,0.56900538056449,"Fail","fragaria_vesca","Leaf"
"Hydathodes",3,14,0.481812234749568,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",3,6,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",3,7,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",3,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",3,3,1,"Fail","fragaria_vesca","Leaf"
