"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Cortex",0,3,1,"Fail","glycine_max","Flower"
"Epidermis",0,2,1,"Fail","glycine_max","Flower"
"Flower meristem",0,3,1,"Fail","glycine_max","Flower"
"Mesophyll cell",0,3,1,"Fail","glycine_max","Flower"
"Procambium",0,7,0.181532873550404,"Fail","glycine_max","Flower"
"Proliferating cell",0,0,1,"Fail","glycine_max","Flower"
"Cortex",1,0,1,"Fail","glycine_max","Flower"
"Epidermis",1,0,1,"Fail","glycine_max","Flower"
"Flower meristem",1,0,1,"Fail","glycine_max","Flower"
"Mesophyll cell",1,0,1,"Fail","glycine_max","Flower"
"Procambium",1,0,1,"Fail","glycine_max","Flower"
"Proliferating cell",1,6,0.000234555868966911,"Reject","glycine_max","Flower"
"Cortex",2,0,1,"Fail","glycine_max","Flower"
"Epidermis",2,4,1,"Fail","glycine_max","Flower"
"Flower meristem",2,7,1,"Fail","glycine_max","Flower"
"Mesophyll cell",2,3,1,"Fail","glycine_max","Flower"
"Procambium",2,2,1,"Fail","glycine_max","Flower"
"Proliferating cell",2,1,1,"Fail","glycine_max","Flower"
"Cortex",3,3,1,"Fail","glycine_max","Flower"
"Epidermis",3,4,1,"Fail","glycine_max","Flower"
"Flower meristem",3,10,1,"Fail","glycine_max","Flower"
"Mesophyll cell",3,6,1,"Fail","glycine_max","Flower"
"Procambium",3,3,1,"Fail","glycine_max","Flower"
"Proliferating cell",3,1,1,"Fail","glycine_max","Flower"
"Cortex",4,0,1,"Fail","glycine_max","Flower"
"Epidermis",4,0,1,"Fail","glycine_max","Flower"
"Flower meristem",4,0,1,"Fail","glycine_max","Flower"
"Mesophyll cell",4,1,1,"Fail","glycine_max","Flower"
"Procambium",4,5,0.0271355404497538,"Reject","glycine_max","Flower"
"Proliferating cell",4,1,1,"Fail","glycine_max","Flower"
"Cortex",5,2,1,"Fail","glycine_max","Flower"
"Epidermis",5,5,1,"Fail","glycine_max","Flower"
"Flower meristem",5,5,1,"Fail","glycine_max","Flower"
"Mesophyll cell",5,3,1,"Fail","glycine_max","Flower"
"Procambium",5,2,1,"Fail","glycine_max","Flower"
"Proliferating cell",5,0,1,"Fail","glycine_max","Flower"
"Cortex",6,2,1,"Fail","glycine_max","Flower"
"Epidermis",6,6,1,"Fail","glycine_max","Flower"
"Flower meristem",6,4,1,"Fail","glycine_max","Flower"
"Mesophyll cell",6,2,1,"Fail","glycine_max","Flower"
"Procambium",6,4,1,"Fail","glycine_max","Flower"
"Proliferating cell",6,1,1,"Fail","glycine_max","Flower"
"Cortex",7,4,1,"Fail","glycine_max","Flower"
"Epidermis",7,7,1,"Fail","glycine_max","Flower"
"Flower meristem",7,10,1,"Fail","glycine_max","Flower"
"Mesophyll cell",7,4,1,"Fail","glycine_max","Flower"
"Procambium",7,2,1,"Fail","glycine_max","Flower"
"Proliferating cell",7,1,1,"Fail","glycine_max","Flower"
"Cortex",8,0,1,"Fail","glycine_max","Flower"
"Epidermis",8,0,1,"Fail","glycine_max","Flower"
"Flower meristem",8,1,1,"Fail","glycine_max","Flower"
"Mesophyll cell",8,1,1,"Fail","glycine_max","Flower"
"Procambium",8,0,1,"Fail","glycine_max","Flower"
"Proliferating cell",8,25,1.844334149364e-21,"Reject","glycine_max","Flower"
"Cortex",9,0,1,"Fail","glycine_max","Flower"
"Epidermis",9,6,0.685176278281671,"Fail","glycine_max","Flower"
"Flower meristem",9,8,0.509084539112719,"Fail","glycine_max","Flower"
"Mesophyll cell",9,1,1,"Fail","glycine_max","Flower"
"Procambium",9,1,1,"Fail","glycine_max","Flower"
"Proliferating cell",9,0,1,"Fail","glycine_max","Flower"
"Cortex",10,1,1,"Fail","glycine_max","Flower"
"Epidermis",10,4,1,"Fail","glycine_max","Flower"
"Flower meristem",10,10,0.509084539112719,"Fail","glycine_max","Flower"
"Mesophyll cell",10,4,1,"Fail","glycine_max","Flower"
"Procambium",10,1,1,"Fail","glycine_max","Flower"
"Proliferating cell",10,1,1,"Fail","glycine_max","Flower"
"Cortex",11,3,1,"Fail","glycine_max","Flower"
"Epidermis",11,9,0.685176278281671,"Fail","glycine_max","Flower"
"Flower meristem",11,6,1,"Fail","glycine_max","Flower"
"Mesophyll cell",11,5,1,"Fail","glycine_max","Flower"
"Procambium",11,4,1,"Fail","glycine_max","Flower"
"Proliferating cell",11,1,1,"Fail","glycine_max","Flower"
"Cortex",12,4,1,"Fail","glycine_max","Flower"
"Epidermis",12,4,1,"Fail","glycine_max","Flower"
"Flower meristem",12,7,1,"Fail","glycine_max","Flower"
"Mesophyll cell",12,2,1,"Fail","glycine_max","Flower"
"Procambium",12,4,1,"Fail","glycine_max","Flower"
"Proliferating cell",12,1,1,"Fail","glycine_max","Flower"
"Cortex",13,2,1,"Fail","glycine_max","Flower"
"Epidermis",13,5,1,"Fail","glycine_max","Flower"
"Flower meristem",13,7,1,"Fail","glycine_max","Flower"
"Mesophyll cell",13,7,0.509084539112719,"Fail","glycine_max","Flower"
"Procambium",13,3,1,"Fail","glycine_max","Flower"
"Proliferating cell",13,0,1,"Fail","glycine_max","Flower"
"Cortex",14,2,1,"Fail","glycine_max","Flower"
"Epidermis",14,1,1,"Fail","glycine_max","Flower"
"Flower meristem",14,2,1,"Fail","glycine_max","Flower"
"Mesophyll cell",14,0,1,"Fail","glycine_max","Flower"
"Procambium",14,4,0.509084539112719,"Fail","glycine_max","Flower"
"Proliferating cell",14,1,1,"Fail","glycine_max","Flower"
