"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Bundle sheath cell",0,10,1,"Fail","glycine_max","Leaf"
"Companion cell",0,5,1,"Fail","glycine_max","Leaf"
"Hydathode",0,9,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",0,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",0,2,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",0,9,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",0,11,0.0319403517062819,"Reject","glycine_max","Leaf"
"Mesophyll cell",0,2,1,"Fail","glycine_max","Leaf"
"Proliferating cell",0,0,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",1,0,1,"Fail","glycine_max","Leaf"
"Companion cell",1,0,1,"Fail","glycine_max","Leaf"
"Hydathode",1,1,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",1,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",1,0,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",1,0,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",1,1,1,"Fail","glycine_max","Leaf"
"Proliferating cell",1,1,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",2,7,1,"Fail","glycine_max","Leaf"
"Companion cell",2,3,1,"Fail","glycine_max","Leaf"
"Hydathode",2,7,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",2,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",2,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",2,4,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",2,3,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",2,7,0.998100435393691,"Fail","glycine_max","Leaf"
"Proliferating cell",2,3,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",3,9,1,"Fail","glycine_max","Leaf"
"Companion cell",3,3,1,"Fail","glycine_max","Leaf"
"Hydathode",3,14,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",3,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",3,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",3,8,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",3,3,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",3,6,1,"Fail","glycine_max","Leaf"
"Proliferating cell",3,0,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",4,7,1,"Fail","glycine_max","Leaf"
"Companion cell",4,11,0.031831631174198,"Reject","glycine_max","Leaf"
"Hydathode",4,7,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",4,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",4,2,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",4,4,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",4,9,0.129096363597263,"Fail","glycine_max","Leaf"
"Mesophyll cell",4,1,1,"Fail","glycine_max","Leaf"
"Proliferating cell",4,1,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",5,4,1,"Fail","glycine_max","Leaf"
"Companion cell",5,2,1,"Fail","glycine_max","Leaf"
"Hydathode",5,4,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",5,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",5,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",5,2,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",5,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",5,8,0.0928029071837185,"Fail","glycine_max","Leaf"
"Proliferating cell",5,0,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",6,5,1,"Fail","glycine_max","Leaf"
"Companion cell",6,2,1,"Fail","glycine_max","Leaf"
"Hydathode",6,6,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",6,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",6,3,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",6,7,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",6,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",6,6,1,"Fail","glycine_max","Leaf"
"Proliferating cell",6,3,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",7,10,1,"Fail","glycine_max","Leaf"
"Companion cell",7,3,1,"Fail","glycine_max","Leaf"
"Hydathode",7,16,0.964053316574736,"Fail","glycine_max","Leaf"
"Leaf guard cell",7,4,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",7,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",7,4,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",7,3,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",7,7,1,"Fail","glycine_max","Leaf"
"Proliferating cell",7,1,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",8,0,1,"Fail","glycine_max","Leaf"
"Companion cell",8,1,1,"Fail","glycine_max","Leaf"
"Hydathode",8,0,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",8,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",8,0,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",8,0,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",8,0,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",8,1,1,"Fail","glycine_max","Leaf"
"Proliferating cell",8,31,1.82537591345495e-32,"Reject","glycine_max","Leaf"
"Bundle sheath cell",9,7,1,"Fail","glycine_max","Leaf"
"Companion cell",9,4,1,"Fail","glycine_max","Leaf"
"Hydathode",9,12,0.765676347057918,"Fail","glycine_max","Leaf"
"Leaf guard cell",9,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",9,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",9,2,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",9,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",9,1,1,"Fail","glycine_max","Leaf"
"Proliferating cell",9,0,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",10,8,1,"Fail","glycine_max","Leaf"
"Companion cell",10,2,1,"Fail","glycine_max","Leaf"
"Hydathode",10,9,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",10,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",10,0,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",10,8,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",10,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",10,2,1,"Fail","glycine_max","Leaf"
"Proliferating cell",10,4,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",11,9,1,"Fail","glycine_max","Leaf"
"Companion cell",11,3,1,"Fail","glycine_max","Leaf"
"Hydathode",11,15,0.998100435393691,"Fail","glycine_max","Leaf"
"Leaf guard cell",11,1,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",11,7,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",11,9,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",11,3,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",11,3,1,"Fail","glycine_max","Leaf"
"Proliferating cell",11,1,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",12,10,1,"Fail","glycine_max","Leaf"
"Companion cell",12,2,1,"Fail","glycine_max","Leaf"
"Hydathode",12,6,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",12,2,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",12,4,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",12,8,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",12,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",12,7,1,"Fail","glycine_max","Leaf"
"Proliferating cell",12,4,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",13,11,1,"Fail","glycine_max","Leaf"
"Companion cell",13,3,1,"Fail","glycine_max","Leaf"
"Hydathode",13,10,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",13,5,0.998100435393691,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",13,5,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",13,8,1,"Fail","glycine_max","Leaf"
"Leaf vascular system",13,2,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",13,4,1,"Fail","glycine_max","Leaf"
"Proliferating cell",13,0,1,"Fail","glycine_max","Leaf"
"Bundle sheath cell",14,2,1,"Fail","glycine_max","Leaf"
"Companion cell",14,4,0.964053316574736,"Fail","glycine_max","Leaf"
"Hydathode",14,3,1,"Fail","glycine_max","Leaf"
"Leaf guard cell",14,0,1,"Fail","glycine_max","Leaf"
"Leaf lamina epidermis",14,2,1,"Fail","glycine_max","Leaf"
"Leaf senescing cell",14,5,0.998100435393691,"Fail","glycine_max","Leaf"
"Leaf vascular system",14,1,1,"Fail","glycine_max","Leaf"
"Mesophyll cell",14,0,1,"Fail","glycine_max","Leaf"
"Proliferating cell",14,1,1,"Fail","glycine_max","Leaf"
