"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Pericycle cell",0,19,0.00797556925281783,"Reject","glycine_max","Root"
"Phloem",0,16,1,"Fail","glycine_max","Root"
"Phloem fiber cell",0,3,1,"Fail","glycine_max","Root"
"Proliferating cell",0,0,1,"Fail","glycine_max","Root"
"Root cap",0,8,1,"Fail","glycine_max","Root"
"Root cortex",0,7,1,"Fail","glycine_max","Root"
"Root endodermis",0,7,1,"Fail","glycine_max","Root"
"Root epidermis",0,8,1,"Fail","glycine_max","Root"
"Root hair cell",0,5,1,"Fail","glycine_max","Root"
"Root nodule",0,2,1,"Fail","glycine_max","Root"
"Root procambium",0,16,0.182138391648391,"Fail","glycine_max","Root"
"Root vascular system",0,23,0.00331907771238307,"Reject","glycine_max","Root"
"Xylem",0,2,1,"Fail","glycine_max","Root"
"Pericycle cell",1,0,1,"Fail","glycine_max","Root"
"Phloem",1,5,0.0770337030620022,"Fail","glycine_max","Root"
"Phloem fiber cell",1,0,1,"Fail","glycine_max","Root"
"Proliferating cell",1,0,1,"Fail","glycine_max","Root"
"Root cap",1,0,1,"Fail","glycine_max","Root"
"Root cortex",1,0,1,"Fail","glycine_max","Root"
"Root endodermis",1,0,1,"Fail","glycine_max","Root"
"Root epidermis",1,0,1,"Fail","glycine_max","Root"
"Root hair cell",1,0,1,"Fail","glycine_max","Root"
"Root nodule",1,0,1,"Fail","glycine_max","Root"
"Root procambium",1,4,0.0848122746626868,"Fail","glycine_max","Root"
"Root vascular system",1,1,1,"Fail","glycine_max","Root"
"Xylem",1,0,1,"Fail","glycine_max","Root"
"Pericycle cell",2,2,1,"Fail","glycine_max","Root"
"Phloem",2,7,1,"Fail","glycine_max","Root"
"Phloem fiber cell",2,2,1,"Fail","glycine_max","Root"
"Proliferating cell",2,1,1,"Fail","glycine_max","Root"
"Root cap",2,5,1,"Fail","glycine_max","Root"
"Root cortex",2,8,0.647820719985136,"Fail","glycine_max","Root"
"Root endodermis",2,3,1,"Fail","glycine_max","Root"
"Root epidermis",2,3,1,"Fail","glycine_max","Root"
"Root hair cell",2,7,1,"Fail","glycine_max","Root"
"Root nodule",2,3,1,"Fail","glycine_max","Root"
"Root procambium",2,2,1,"Fail","glycine_max","Root"
"Root vascular system",2,2,1,"Fail","glycine_max","Root"
"Xylem",2,8,0.88891913705079,"Fail","glycine_max","Root"
"Pericycle cell",3,5,1,"Fail","glycine_max","Root"
"Phloem",3,5,1,"Fail","glycine_max","Root"
"Phloem fiber cell",3,2,1,"Fail","glycine_max","Root"
"Proliferating cell",3,0,1,"Fail","glycine_max","Root"
"Root cap",3,14,0.0743760138980541,"Fail","glycine_max","Root"
"Root cortex",3,6,1,"Fail","glycine_max","Root"
"Root endodermis",3,2,1,"Fail","glycine_max","Root"
"Root epidermis",3,8,1,"Fail","glycine_max","Root"
"Root hair cell",3,7,1,"Fail","glycine_max","Root"
"Root nodule",3,5,0.81013810440957,"Fail","glycine_max","Root"
"Root procambium",3,11,0.36495366289164,"Fail","glycine_max","Root"
"Root vascular system",3,7,1,"Fail","glycine_max","Root"
"Xylem",3,4,1,"Fail","glycine_max","Root"
"Pericycle cell",4,10,0.44561697804541,"Fail","glycine_max","Root"
"Phloem",4,20,0.0108098575460968,"Reject","glycine_max","Root"
"Phloem fiber cell",4,2,1,"Fail","glycine_max","Root"
"Proliferating cell",4,0,1,"Fail","glycine_max","Root"
"Root cap",4,5,1,"Fail","glycine_max","Root"
"Root cortex",4,2,1,"Fail","glycine_max","Root"
"Root endodermis",4,5,1,"Fail","glycine_max","Root"
"Root epidermis",4,4,1,"Fail","glycine_max","Root"
"Root hair cell",4,6,1,"Fail","glycine_max","Root"
"Root nodule",4,3,1,"Fail","glycine_max","Root"
"Root procambium",4,7,1,"Fail","glycine_max","Root"
"Root vascular system",4,9,1,"Fail","glycine_max","Root"
"Xylem",4,2,1,"Fail","glycine_max","Root"
"Pericycle cell",5,2,1,"Fail","glycine_max","Root"
"Phloem",5,6,1,"Fail","glycine_max","Root"
"Phloem fiber cell",5,2,1,"Fail","glycine_max","Root"
"Proliferating cell",5,0,1,"Fail","glycine_max","Root"
"Root cap",5,2,1,"Fail","glycine_max","Root"
"Root cortex",5,3,1,"Fail","glycine_max","Root"
"Root endodermis",5,2,1,"Fail","glycine_max","Root"
"Root epidermis",5,3,1,"Fail","glycine_max","Root"
"Root hair cell",5,3,1,"Fail","glycine_max","Root"
"Root nodule",5,1,1,"Fail","glycine_max","Root"
"Root procambium",5,5,1,"Fail","glycine_max","Root"
"Root vascular system",5,7,0.542248461459286,"Fail","glycine_max","Root"
"Xylem",5,3,1,"Fail","glycine_max","Root"
"Pericycle cell",6,4,1,"Fail","glycine_max","Root"
"Phloem",6,6,1,"Fail","glycine_max","Root"
"Phloem fiber cell",6,1,1,"Fail","glycine_max","Root"
"Proliferating cell",6,3,1,"Fail","glycine_max","Root"
"Root cap",6,4,1,"Fail","glycine_max","Root"
"Root cortex",6,7,1,"Fail","glycine_max","Root"
"Root endodermis",6,5,1,"Fail","glycine_max","Root"
"Root epidermis",6,9,0.997316281399261,"Fail","glycine_max","Root"
"Root hair cell",6,10,0.88891913705079,"Fail","glycine_max","Root"
"Root nodule",6,3,1,"Fail","glycine_max","Root"
"Root procambium",6,4,1,"Fail","glycine_max","Root"
"Root vascular system",6,8,1,"Fail","glycine_max","Root"
"Xylem",6,11,0.787334151055735,"Fail","glycine_max","Root"
"Pericycle cell",7,3,1,"Fail","glycine_max","Root"
"Phloem",7,11,1,"Fail","glycine_max","Root"
"Phloem fiber cell",7,2,1,"Fail","glycine_max","Root"
"Proliferating cell",7,1,1,"Fail","glycine_max","Root"
"Root cap",7,4,1,"Fail","glycine_max","Root"
