"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Embryo epidermal cell",0,5,1,"Fail","glycine_max","Seed"
"Endosperm",0,4,1,"Fail","glycine_max","Seed"
"Inner integument",0,7,1,"Fail","glycine_max","Seed"
"Outer integument",0,5,1,"Fail","glycine_max","Seed"
"Plant embryo",0,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",0,0,1,"Fail","glycine_max","Seed"
"Seed coat",0,10,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",0,3,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",0,3,1,"Fail","glycine_max","Seed"
"Suspensor",0,6,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",1,0,1,"Fail","glycine_max","Seed"
"Endosperm",1,1,1,"Fail","glycine_max","Seed"
"Inner integument",1,0,1,"Fail","glycine_max","Seed"
"Outer integument",1,0,1,"Fail","glycine_max","Seed"
"Plant embryo",1,1,1,"Fail","glycine_max","Seed"
"Proliferating cell",1,8,1.28258240048627e-06,"Reject","glycine_max","Seed"
"Seed coat",1,0,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",1,0,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",1,0,1,"Fail","glycine_max","Seed"
"Suspensor",1,0,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",2,4,1,"Fail","glycine_max","Seed"
"Endosperm",2,2,1,"Fail","glycine_max","Seed"
"Inner integument",2,2,1,"Fail","glycine_max","Seed"
"Outer integument",2,4,1,"Fail","glycine_max","Seed"
"Plant embryo",2,8,0.703914000013345,"Fail","glycine_max","Seed"
"Proliferating cell",2,1,1,"Fail","glycine_max","Seed"
"Seed coat",2,6,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",2,3,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",2,14,0.0276939090109522,"Reject","glycine_max","Seed"
"Suspensor",2,2,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",3,5,1,"Fail","glycine_max","Seed"
"Endosperm",3,6,1,"Fail","glycine_max","Seed"
"Inner integument",3,21,5.60877496505494e-05,"Reject","glycine_max","Seed"
"Outer integument",3,7,1,"Fail","glycine_max","Seed"
"Plant embryo",3,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",3,1,1,"Fail","glycine_max","Seed"
"Seed coat",3,19,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",3,5,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",3,3,1,"Fail","glycine_max","Seed"
"Suspensor",3,4,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",4,0,1,"Fail","glycine_max","Seed"
"Endosperm",4,1,1,"Fail","glycine_max","Seed"
"Inner integument",4,5,0.846163189430483,"Fail","glycine_max","Seed"
"Outer integument",4,3,1,"Fail","glycine_max","Seed"
"Plant embryo",4,0,1,"Fail","glycine_max","Seed"
"Proliferating cell",4,1,1,"Fail","glycine_max","Seed"
"Seed coat",4,5,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",4,1,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",4,4,1,"Fail","glycine_max","Seed"
"Suspensor",4,1,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",5,3,1,"Fail","glycine_max","Seed"
"Endosperm",5,4,1,"Fail","glycine_max","Seed"
"Inner integument",5,2,1,"Fail","glycine_max","Seed"
"Outer integument",5,5,1,"Fail","glycine_max","Seed"
"Plant embryo",5,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",5,0,1,"Fail","glycine_max","Seed"
"Seed coat",5,7,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",5,0,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",5,11,0.174126299070744,"Fail","glycine_max","Seed"
"Suspensor",5,4,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",6,4,1,"Fail","glycine_max","Seed"
"Endosperm",6,3,1,"Fail","glycine_max","Seed"
"Inner integument",6,1,1,"Fail","glycine_max","Seed"
"Outer integument",6,7,1,"Fail","glycine_max","Seed"
"Plant embryo",6,6,1,"Fail","glycine_max","Seed"
"Proliferating cell",6,1,1,"Fail","glycine_max","Seed"
"Seed coat",6,10,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",6,3,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",6,7,1,"Fail","glycine_max","Seed"
"Suspensor",6,4,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",7,1,1,"Fail","glycine_max","Seed"
"Endosperm",7,3,1,"Fail","glycine_max","Seed"
"Inner integument",7,4,1,"Fail","glycine_max","Seed"
"Outer integument",7,7,1,"Fail","glycine_max","Seed"
"Plant embryo",7,1,1,"Fail","glycine_max","Seed"
"Proliferating cell",7,1,1,"Fail","glycine_max","Seed"
"Seed coat",7,9,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",7,4,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",7,5,1,"Fail","glycine_max","Seed"
"Suspensor",7,3,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",8,1,1,"Fail","glycine_max","Seed"
"Endosperm",8,1,1,"Fail","glycine_max","Seed"
"Inner integument",8,0,1,"Fail","glycine_max","Seed"
"Outer integument",8,1,1,"Fail","glycine_max","Seed"
"Plant embryo",8,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",8,24,3.11351405529361e-21,"Reject","glycine_max","Seed"
"Seed coat",8,3,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",8,0,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",8,1,1,"Fail","glycine_max","Seed"
"Suspensor",8,0,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",9,3,1,"Fail","glycine_max","Seed"
"Endosperm",9,1,1,"Fail","glycine_max","Seed"
"Inner integument",9,1,1,"Fail","glycine_max","Seed"
"Outer integument",9,2,1,"Fail","glycine_max","Seed"
"Plant embryo",9,1,1,"Fail","glycine_max","Seed"
"Proliferating cell",9,0,1,"Fail","glycine_max","Seed"
"Seed coat",9,4,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",9,4,0.917562422340617,"Fail","glycine_max","Seed"
"Seed coat epidermis",9,3,1,"Fail","glycine_max","Seed"
"Suspensor",9,5,0.846163189430483,"Fail","glycine_max","Seed"
"Embryo epidermal cell",10,3,1,"Fail","glycine_max","Seed"
"Endosperm",10,2,1,"Fail","glycine_max","Seed"
"Inner integument",10,2,1,"Fail","glycine_max","Seed"
"Outer integument",10,5,1,"Fail","glycine_max","Seed"
"Plant embryo",10,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",10,1,1,"Fail","glycine_max","Seed"
"Seed coat",10,10,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",10,2,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",10,3,1,"Fail","glycine_max","Seed"
"Suspensor",10,6,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",11,5,1,"Fail","glycine_max","Seed"
"Endosperm",11,5,1,"Fail","glycine_max","Seed"
"Inner integument",11,2,1,"Fail","glycine_max","Seed"
"Outer integument",11,7,1,"Fail","glycine_max","Seed"
"Plant embryo",11,3,1,"Fail","glycine_max","Seed"
"Proliferating cell",11,2,1,"Fail","glycine_max","Seed"
"Seed coat",11,10,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",11,4,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",11,10,1,"Fail","glycine_max","Seed"
"Suspensor",11,6,1,"Fail","glycine_max","Seed"
"Embryo epidermal cell",12,5,1,"Fail","glycine_max","Seed"
"Endosperm",12,3,1,"Fail","glycine_max","Seed"
"Inner integument",12,5,1,"Fail","glycine_max","Seed"
"Outer integument",12,8,1,"Fail","glycine_max","Seed"
"Plant embryo",12,9,0.683566898561984,"Fail","glycine_max","Seed"
"Proliferating cell",12,1,1,"Fail","glycine_max","Seed"
"Seed coat",12,12,1,"Fail","glycine_max","Seed"
"Seed coat endothelium",12,3,1,"Fail","glycine_max","Seed"
"Seed coat epidermis",12,2,1,"Fail","glycine_max","Seed"
