"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,4,1,"Fail","glycine_max","Stem"
"Guard cell",0,2,1,"Fail","glycine_max","Stem"
"Mesophyll cell",0,2,1,"Fail","glycine_max","Stem"
"Phloem",0,6,1,"Fail","glycine_max","Stem"
"Proliferating cell",0,1,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",0,7,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",0,4,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",0,9,1,"Fail","glycine_max","Stem"
"Shoot system cortex",0,4,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",0,8,0.253135754546976,"Fail","glycine_max","Stem"
"Stem cortex",0,8,1,"Fail","glycine_max","Stem"
"Stem endodermis",0,11,1,"Fail","glycine_max","Stem"
"Stem epidermis",0,7,1,"Fail","glycine_max","Stem"
"Stem pith",0,19,0.00546917246431955,"Reject","glycine_max","Stem"
"Stem trichome",0,3,1,"Fail","glycine_max","Stem"
"Xylem",0,1,1,"Fail","glycine_max","Stem"
"Companion cell",1,1,1,"Fail","glycine_max","Stem"
"Guard cell",1,1,1,"Fail","glycine_max","Stem"
"Mesophyll cell",1,1,1,"Fail","glycine_max","Stem"
"Phloem",1,0,1,"Fail","glycine_max","Stem"
"Proliferating cell",1,7,0.000203986674357908,"Reject","glycine_max","Stem"
"Shoot apical meristem",1,0,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",1,0,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",1,0,1,"Fail","glycine_max","Stem"
"Shoot system cortex",1,2,0.759395342450195,"Fail","glycine_max","Stem"
"Shoot system vascular system",1,0,1,"Fail","glycine_max","Stem"
"Stem cortex",1,1,1,"Fail","glycine_max","Stem"
"Stem endodermis",1,1,1,"Fail","glycine_max","Stem"
"Stem epidermis",1,0,1,"Fail","glycine_max","Stem"
"Stem pith",1,0,1,"Fail","glycine_max","Stem"
"Stem trichome",1,0,1,"Fail","glycine_max","Stem"
"Xylem",1,0,1,"Fail","glycine_max","Stem"
"Companion cell",2,7,1,"Fail","glycine_max","Stem"
"Guard cell",2,2,1,"Fail","glycine_max","Stem"
"Mesophyll cell",2,6,1,"Fail","glycine_max","Stem"
"Phloem",2,4,1,"Fail","glycine_max","Stem"
"Proliferating cell",2,4,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",2,5,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",2,3,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",2,8,1,"Fail","glycine_max","Stem"
"Shoot system cortex",2,2,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",2,1,1,"Fail","glycine_max","Stem"
"Stem cortex",2,11,1,"Fail","glycine_max","Stem"
"Stem endodermis",2,4,1,"Fail","glycine_max","Stem"
"Stem epidermis",2,2,1,"Fail","glycine_max","Stem"
"Stem pith",2,3,1,"Fail","glycine_max","Stem"
"Stem trichome",2,5,1,"Fail","glycine_max","Stem"
"Xylem",2,11,1,"Fail","glycine_max","Stem"
"Companion cell",3,8,1,"Fail","glycine_max","Stem"
"Guard cell",3,1,1,"Fail","glycine_max","Stem"
"Mesophyll cell",3,10,0.545594018847903,"Fail","glycine_max","Stem"
"Phloem",3,4,1,"Fail","glycine_max","Stem"
"Proliferating cell",3,1,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",3,8,0.919156570234859,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",3,5,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",3,5,1,"Fail","glycine_max","Stem"
"Shoot system cortex",3,5,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",3,3,1,"Fail","glycine_max","Stem"
"Stem cortex",3,20,0.183155963704462,"Fail","glycine_max","Stem"
"Stem endodermis",3,11,1,"Fail","glycine_max","Stem"
"Stem epidermis",3,7,1,"Fail","glycine_max","Stem"
"Stem pith",3,12,1,"Fail","glycine_max","Stem"
"Stem trichome",3,8,1,"Fail","glycine_max","Stem"
"Xylem",3,2,1,"Fail","glycine_max","Stem"
"Companion cell",4,5,1,"Fail","glycine_max","Stem"
"Guard cell",4,0,1,"Fail","glycine_max","Stem"
"Mesophyll cell",4,3,1,"Fail","glycine_max","Stem"
"Phloem",4,21,2.26294707786952e-08,"Reject","glycine_max","Stem"
"Proliferating cell",4,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",4,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",4,0,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",4,2,1,"Fail","glycine_max","Stem"
"Shoot system cortex",4,1,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",4,5,0.727050539227368,"Fail","glycine_max","Stem"
"Stem cortex",4,4,1,"Fail","glycine_max","Stem"
"Stem endodermis",4,7,1,"Fail","glycine_max","Stem"
"Stem epidermis",4,2,1,"Fail","glycine_max","Stem"
"Stem pith",4,5,1,"Fail","glycine_max","Stem"
"Stem trichome",4,4,1,"Fail","glycine_max","Stem"
"Xylem",4,2,1,"Fail","glycine_max","Stem"
"Companion cell",5,6,1,"Fail","glycine_max","Stem"
"Guard cell",5,6,0.485910016232581,"Fail","glycine_max","Stem"
"Mesophyll cell",5,6,1,"Fail","glycine_max","Stem"
"Phloem",5,3,1,"Fail","glycine_max","Stem"
"Proliferating cell",5,0,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",5,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",5,2,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",5,6,1,"Fail","glycine_max","Stem"
"Shoot system cortex",5,4,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",5,4,1,"Fail","glycine_max","Stem"
"Stem cortex",5,4,1,"Fail","glycine_max","Stem"
"Stem endodermis",5,5,1,"Fail","glycine_max","Stem"
"Stem epidermis",5,2,1,"Fail","glycine_max","Stem"
"Stem pith",5,7,1,"Fail","glycine_max","Stem"
"Stem trichome",5,7,0.919156570234859,"Fail","glycine_max","Stem"
"Xylem",5,3,1,"Fail","glycine_max","Stem"
"Companion cell",6,11,1,"Fail","glycine_max","Stem"
"Guard cell",6,2,1,"Fail","glycine_max","Stem"
"Mesophyll cell",6,4,1,"Fail","glycine_max","Stem"
"Phloem",6,1,1,"Fail","glycine_max","Stem"
"Proliferating cell",6,3,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",6,3,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",6,5,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",6,10,1,"Fail","glycine_max","Stem"
"Shoot system cortex",6,1,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",6,1,1,"Fail","glycine_max","Stem"
"Stem cortex",6,14,1,"Fail","glycine_max","Stem"
"Stem endodermis",6,7,1,"Fail","glycine_max","Stem"
"Stem epidermis",6,6,1,"Fail","glycine_max","Stem"
"Stem pith",6,9,1,"Fail","glycine_max","Stem"
"Stem trichome",6,8,1,"Fail","glycine_max","Stem"
"Xylem",6,16,0.574755186786017,"Fail","glycine_max","Stem"
"Companion cell",7,13,1,"Fail","glycine_max","Stem"
"Guard cell",7,6,1,"Fail","glycine_max","Stem"
"Mesophyll cell",7,5,1,"Fail","glycine_max","Stem"
"Phloem",7,7,1,"Fail","glycine_max","Stem"
"Proliferating cell",7,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",7,3,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",7,5,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",7,12,1,"Fail","glycine_max","Stem"
"Shoot system cortex",7,4,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",7,3,1,"Fail","glycine_max","Stem"
"Stem cortex",7,7,1,"Fail","glycine_max","Stem"
"Stem endodermis",7,10,1,"Fail","glycine_max","Stem"
"Stem epidermis",7,4,1,"Fail","glycine_max","Stem"
"Stem pith",7,5,1,"Fail","glycine_max","Stem"
"Stem trichome",7,13,0.186060842868322,"Fail","glycine_max","Stem"
"Xylem",7,9,1,"Fail","glycine_max","Stem"
"Companion cell",8,2,1,"Fail","glycine_max","Stem"
"Guard cell",8,1,1,"Fail","glycine_max","Stem"
"Mesophyll cell",8,1,1,"Fail","glycine_max","Stem"
"Phloem",8,1,1,"Fail","glycine_max","Stem"
"Proliferating cell",8,33,8.74904636192874e-30,"Reject","glycine_max","Stem"
"Shoot apical meristem",8,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",8,0,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",8,0,1,"Fail","glycine_max","Stem"
"Shoot system cortex",8,2,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",8,0,1,"Fail","glycine_max","Stem"
"Stem cortex",8,5,1,"Fail","glycine_max","Stem"
"Stem endodermis",8,1,1,"Fail","glycine_max","Stem"
"Stem epidermis",8,0,1,"Fail","glycine_max","Stem"
"Stem pith",8,1,1,"Fail","glycine_max","Stem"
"Stem trichome",8,1,1,"Fail","glycine_max","Stem"
"Xylem",8,2,1,"Fail","glycine_max","Stem"
"Companion cell",9,10,0.519668655153148,"Fail","glycine_max","Stem"
"Guard cell",9,6,0.332112812927651,"Fail","glycine_max","Stem"
"Mesophyll cell",9,1,1,"Fail","glycine_max","Stem"
"Phloem",9,5,1,"Fail","glycine_max","Stem"
"Proliferating cell",9,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem",9,2,1,"Fail","glycine_max","Stem"
"Shoot apical meristem epidermis layer",9,3,1,"Fail","glycine_max","Stem"
"Shoot parenchyma",9,8,1,"Fail","glycine_max","Stem"
"Shoot system cortex",9,0,1,"Fail","glycine_max","Stem"
"Shoot system vascular system",9,1,1,"Fail","glycine_max","Stem"
"Stem cortex",9,3,1,"Fail","glycine_max","Stem"
"Stem endodermis",9,4,1,"Fail","glycine_max","Stem"
"Stem epidermis",9,3,1,"Fail","glycine_max","Stem"
"Stem pith",9,1,1,"Fail","glycine_max","Stem"
