"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,12,0.736329604141414,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",0,9,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",0,5,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",0,0,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",0,5,1,"Fail","gossypium_bickii","Leaf"
"Xylem",0,11,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",1,0,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",1,0,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",1,2,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",1,8,0.000220622564967015,"Reject","gossypium_bickii","Leaf"
"Xylem",1,1,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",2,9,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",2,10,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",2,19,0.337005310455592,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",2,9,0.233175114380046,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",2,4,1,"Fail","gossypium_bickii","Leaf"
"Xylem",2,13,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",3,5,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",3,9,0.754172500932961,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",3,8,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",3,0,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",3,2,1,"Fail","gossypium_bickii","Leaf"
"Xylem",3,7,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",4,22,0.000392935566714897,"Reject","gossypium_bickii","Leaf"
"Leaf guard cell",4,10,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",4,4,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",4,1,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",4,6,1,"Fail","gossypium_bickii","Leaf"
"Xylem",4,6,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",5,7,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",5,5,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",5,10,0.451639216967673,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",5,3,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",5,1,1,"Fail","gossypium_bickii","Leaf"
"Xylem",5,3,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",6,8,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",6,11,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",6,16,0.568730853261136,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",6,3,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",6,4,1,"Fail","gossypium_bickii","Leaf"
"Xylem",6,14,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",7,9,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",7,8,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",7,12,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",7,2,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",7,6,1,"Fail","gossypium_bickii","Leaf"
"Xylem",7,12,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",8,3,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",8,2,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",8,0,1,"Fail","gossypium_bickii","Leaf"
