"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,15,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",0,9,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",0,2,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",0,10,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",0,8,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",0,8,1,"Fail","gossypium_bickii","Seed"
"Procambium",0,8,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Xylem",0,16,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Companion cell",1,2,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",1,13,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",1,0,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",1,24,0.000663500819738343,"Reject","gossypium_bickii","Seed"
"Phloem parenchyma",1,19,0.00074530600558165,"Reject","gossypium_bickii","Seed"
"Pigment gland",1,3,1,"Fail","gossypium_bickii","Seed"
"Procambium",1,1,1,"Fail","gossypium_bickii","Seed"
"Xylem",1,9,1,"Fail","gossypium_bickii","Seed"
"Companion cell",2,14,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",2,27,0.137426561456731,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",2,8,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Mesophyll",2,15,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",2,5,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",2,25,0.186208289688366,"Fail","gossypium_bickii","Seed"
"Procambium",2,3,1,"Fail","gossypium_bickii","Seed"
"Xylem",2,21,1,"Fail","gossypium_bickii","Seed"
"Companion cell",3,15,0.344922685254072,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",3,16,0.134038996963364,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",3,2,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",3,6,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",3,3,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",3,3,1,"Fail","gossypium_bickii","Seed"
"Procambium",3,9,0.331025309180841,"Fail","gossypium_bickii","Seed"
"Xylem",3,5,1,"Fail","gossypium_bickii","Seed"
"Companion cell",4,26,0.00393079368384849,"Reject","gossypium_bickii","Seed"
"Leaf epidermis",4,5,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",4,2,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",4,11,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",4,12,0.592796039710467,"Fail","gossypium_bickii","Seed"
"Pigment gland",4,3,1,"Fail","gossypium_bickii","Seed"
"Procambium",4,10,0.592796039710467,"Fail","gossypium_bickii","Seed"
"Xylem",4,12,1,"Fail","gossypium_bickii","Seed"
"Companion cell",5,8,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",5,12,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",5,4,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",5,6,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",5,0,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",5,23,0.000226191718440119,"Reject","gossypium_bickii","Seed"
"Procambium",5,5,1,"Fail","gossypium_bickii","Seed"
"Xylem",5,5,1,"Fail","gossypium_bickii","Seed"
"Companion cell",6,11,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",6,22,0.535499689011644,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",6,10,0.577537045152454,"Fail","gossypium_bickii","Seed"
"Mesophyll",6,15,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",6,5,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",6,19,0.786242466483653,"Fail","gossypium_bickii","Seed"
"Procambium",6,2,1,"Fail","gossypium_bickii","Seed"
"Xylem",6,23,0.626157330944005,"Fail","gossypium_bickii","Seed"
"Companion cell",7,20,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",7,8,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",7,6,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",7,17,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",7,8,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",7,20,0.592796039710467,"Fail","gossypium_bickii","Seed"
"Procambium",7,10,0.92312555886035,"Fail","gossypium_bickii","Seed"
"Xylem",7,17,1,"Fail","gossypium_bickii","Seed"
"Companion cell",8,6,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",8,9,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",8,1,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",8,22,0.0109756865174505,"Reject","gossypium_bickii","Seed"
"Phloem parenchyma",8,24,8.38887619573699e-06,"Reject","gossypium_bickii","Seed"
