"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Anther wall endothecium",0,14,0.0868556746201153,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",0,3,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",0,1,1,"Fail","gossypium_hirsutum","Flower"
"Connective",0,3,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",0,0,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",0,6,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",0,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",0,12,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",0,5,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Connective",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",1,8,1.58885078397095e-07,"Reject","gossypium_hirsutum","Flower"
"Flower vascular system",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",1,2,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",1,0,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",2,3,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",2,8,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",2,5,1,"Fail","gossypium_hirsutum","Flower"
"Connective",2,2,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",2,1,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",2,6,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",2,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",2,24,0.11921903285465,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",2,9,0.821376019366737,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",3,12,0.675711275026344,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",3,7,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",3,5,1,"Fail","gossypium_hirsutum","Flower"
"Connective",3,6,0.956773183049501,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",3,1,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",3,9,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",3,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",3,8,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",3,3,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",4,5,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",4,4,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",4,1,1,"Fail","gossypium_hirsutum","Flower"
"Connective",4,3,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",4,1,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",4,4,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",4,1,0.675711275026344,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",4,11,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",4,8,0.455258094996704,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",5,9,0.905645469337864,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",5,4,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",5,2,1,"Fail","gossypium_hirsutum","Flower"
"Connective",5,1,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",5,0,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",5,5,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",5,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",5,13,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",5,7,0.821376019366737,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",6,3,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall middle layer",6,10,0.853499111548339,"Fail","gossypium_hirsutum","Flower"
"Anther wall tapetum",6,5,1,"Fail","gossypium_hirsutum","Flower"
"Connective",6,1,1,"Fail","gossypium_hirsutum","Flower"
"Developing male gametophytes",6,1,1,"Fail","gossypium_hirsutum","Flower"
"Flower vascular system",6,8,1,"Fail","gossypium_hirsutum","Flower"
"Microspore nuclei",6,0,1,"Fail","gossypium_hirsutum","Flower"
"Outer pigment layer",6,14,1,"Fail","gossypium_hirsutum","Flower"
"Ovule fiber cell",6,3,1,"Fail","gossypium_hirsutum","Flower"
"Anther wall endothecium",7,7,1,"Fail","gossypium_hirsutum","Flower"
