"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Guard cell",0,4,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",0,7,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",0,14,0.38018318986264,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",0,10,0.584184566399461,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",0,1,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",1,0,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",1,1,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",1,5,0.583601816566656,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",1,7,0.00113166373647196,"Reject","gossypium_hirsutum","Leaf"
"Guard cell",2,13,0.941449095038011,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",2,5,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",2,5,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",2,7,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",2,5,0.872526725380896,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",3,4,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",3,11,0.210244017941456,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",3,12,0.584184566399461,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",3,5,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",3,1,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",4,1,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",4,7,0.842428310952268,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",4,10,0.743134989026175,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",4,9,0.583601816566656,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",4,2,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",5,5,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",5,3,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",5,7,0.743134989026175,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",5,3,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",5,1,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",6,17,0.210244017941456,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",6,4,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",6,5,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",6,5,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",6,4,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",7,16,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",7,9,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",7,19,0.584184566399461,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",7,11,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",7,3,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",8,1,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",8,1,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",8,2,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",8,1,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",8,9,2.72168630165202e-05,"Reject","gossypium_hirsutum","Leaf"
"Guard cell",9,11,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",9,8,0.743134989026175,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",9,5,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",9,5,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",9,3,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",10,35,4.27223460395595e-05,"Reject","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",10,5,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",10,13,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",10,4,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",10,2,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",11,10,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",11,5,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",11,9,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",11,4,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",11,3,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",12,14,0.210244017941456,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",12,3,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",12,3,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",12,4,1,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",12,3,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",13,14,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",13,12,0.584184566399461,"Fail","gossypium_hirsutum","Leaf"
"Leaf vascular system",13,10,1,"Fail","gossypium_hirsutum","Leaf"
"Mesophyll cell",13,11,0.965334589648979,"Fail","gossypium_hirsutum","Leaf"
"Proliferating cell",13,2,1,"Fail","gossypium_hirsutum","Leaf"
"Guard cell",14,6,1,"Fail","gossypium_hirsutum","Leaf"
"Leaf lamina epidermis",14,3,1,"Fail","gossypium_hirsutum","Leaf"
