"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Bundle sheath cell",0,11,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",0,11,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",0,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",0,3,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",0,9,0.999891168730123,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",0,8,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",0,1,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",0,9,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",0,6,1,"Fail","manihot_esculenta","Leaf"
"Xylem",0,12,0.202937362304164,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",1,0,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",1,1,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",1,0,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",1,0,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",1,2,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",1,37,1.63717254107193e-36,"Reject","manihot_esculenta","Leaf"
"Sieve element",1,0,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",1,2,1,"Fail","manihot_esculenta","Leaf"
"Xylem",1,0,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",2,4,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",2,21,0.481821779196537,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",2,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",2,11,0.999891168730123,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",2,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",2,20,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",2,5,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",2,7,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",2,10,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Xylem",2,9,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",3,17,0.0989032747222189,"Fail","manihot_esculenta","Leaf"
"Companion cell",3,5,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",3,7,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",3,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",3,7,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",3,7,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",3,0,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",3,19,0.00791872351820276,"Reject","manihot_esculenta","Leaf"
"Spongy mesophyll cell",3,5,1,"Fail","manihot_esculenta","Leaf"
"Xylem",3,2,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",4,10,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",4,9,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",4,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",4,7,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",4,11,0.381577533893629,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",4,8,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",4,1,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",4,7,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",4,4,1,"Fail","manihot_esculenta","Leaf"
"Xylem",4,8,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",5,12,0.978526616077097,"Fail","manihot_esculenta","Leaf"
"Companion cell",5,10,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",5,10,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",5,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",5,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",5,6,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",5,3,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",5,9,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",5,7,0.999891168730123,"Fail","manihot_esculenta","Leaf"
"Xylem",5,0,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",6,6,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",6,17,0.556739909307105,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",6,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",6,10,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",6,5,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",6,20,0.297476721333582,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",6,1,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",6,9,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",6,2,1,"Fail","manihot_esculenta","Leaf"
"Xylem",6,5,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",7,23,0.0148629532823419,"Reject","manihot_esculenta","Leaf"
"Companion cell",7,12,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",7,10,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",7,12,0.74948781431453,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",7,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",7,10,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",7,1,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",7,12,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",7,3,1,"Fail","manihot_esculenta","Leaf"
"Xylem",7,6,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",8,1,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",8,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",8,2,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",8,0,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",8,3,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",8,5,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",8,27,2.13698293150576e-15,"Reject","manihot_esculenta","Leaf"
"Sieve element",8,3,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",8,4,1,"Fail","manihot_esculenta","Leaf"
"Xylem",8,3,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",9,8,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",9,9,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",9,7,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",9,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",9,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",9,11,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",9,2,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",9,7,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",9,3,1,"Fail","manihot_esculenta","Leaf"
"Xylem",9,5,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",10,13,0.556739909307105,"Fail","manihot_esculenta","Leaf"
"Companion cell",10,10,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",10,9,0.859219535131341,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",10,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",10,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",10,13,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",10,0,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",10,8,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",10,3,1,"Fail","manihot_esculenta","Leaf"
"Xylem",10,3,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",11,12,0.74948781431453,"Fail","manihot_esculenta","Leaf"
"Companion cell",11,5,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",11,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",11,10,0.481821779196537,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",11,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",11,10,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",11,0,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",11,8,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",11,3,1,"Fail","manihot_esculenta","Leaf"
"Xylem",11,5,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",12,4,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",12,17,0.999891168730123,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",12,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",12,4,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",12,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",12,27,0.0148629532823419,"Reject","manihot_esculenta","Leaf"
"Palisade mesophyll cell",12,4,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",12,9,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",12,7,1,"Fail","manihot_esculenta","Leaf"
"Xylem",12,9,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",13,8,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",13,17,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",13,5,1,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",13,8,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",13,10,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",13,17,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",13,8,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",13,10,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",13,9,0.999891168730123,"Fail","manihot_esculenta","Leaf"
"Xylem",13,9,1,"Fail","manihot_esculenta","Leaf"
"Bundle sheath cell",14,4,1,"Fail","manihot_esculenta","Leaf"
"Companion cell",14,6,1,"Fail","manihot_esculenta","Leaf"
"Leaf guard cell",14,8,0.551662673688579,"Fail","manihot_esculenta","Leaf"
"Leaf lamina epidermis",14,3,1,"Fail","manihot_esculenta","Leaf"
"Leaf procambium",14,5,1,"Fail","manihot_esculenta","Leaf"
"Leaf vascular system",14,6,1,"Fail","manihot_esculenta","Leaf"
"Palisade mesophyll cell",14,0,1,"Fail","manihot_esculenta","Leaf"
"Sieve element",14,5,1,"Fail","manihot_esculenta","Leaf"
"Spongy mesophyll cell",14,3,1,"Fail","manihot_esculenta","Leaf"
"Xylem",14,6,0.859219535131341,"Fail","manihot_esculenta","Leaf"
