"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Metaxylem",0,9,1,"Fail","manihot_esculenta","Root"
"Pericycle cell",0,18,1,"Fail","manihot_esculenta","Root"
"Phloem",0,15,0.891715979658022,"Fail","manihot_esculenta","Root"
"Root apical meristem",0,7,1,"Fail","manihot_esculenta","Root"
"Root cortex",0,12,1,"Fail","manihot_esculenta","Root"
"Root endodermis",0,15,0.158087833527387,"Fail","manihot_esculenta","Root"
"Root epidermis",0,10,1,"Fail","manihot_esculenta","Root"
"Root exodermis",0,8,1,"Fail","manihot_esculenta","Root"
"Root hair cell",0,21,0.402365639418249,"Fail","manihot_esculenta","Root"
"Root vascular system",0,0,1,"Fail","manihot_esculenta","Root"
"Xylem",0,7,1,"Fail","manihot_esculenta","Root"
"Metaxylem",1,0,1,"Fail","manihot_esculenta","Root"
"Pericycle cell",1,27,2.64734491845346e-07,"Reject","manihot_esculenta","Root"
"Phloem",1,0,1,"Fail","manihot_esculenta","Root"
"Root apical meristem",1,38,1.89550644646799e-17,"Reject","manihot_esculenta","Root"
"Root cortex",1,0,1,"Fail","manihot_esculenta","Root"
"Root endodermis",1,1,1,"Fail","manihot_esculenta","Root"
"Root epidermis",1,0,1,"Fail","manihot_esculenta","Root"
"Root exodermis",1,0,1,"Fail","manihot_esculenta","Root"
"Root hair cell",1,0,1,"Fail","manihot_esculenta","Root"
"Root vascular system",1,0,1,"Fail","manihot_esculenta","Root"
"Xylem",1,0,1,"Fail","manihot_esculenta","Root"
"Metaxylem",2,20,0.577169901591925,"Fail","manihot_esculenta","Root"
"Pericycle cell",2,8,1,"Fail","manihot_esculenta","Root"
"Phloem",2,4,1,"Fail","manihot_esculenta","Root"
"Root apical meristem",2,14,1,"Fail","manihot_esculenta","Root"
"Root cortex",2,11,1,"Fail","manihot_esculenta","Root"
"Root endodermis",2,7,1,"Fail","manihot_esculenta","Root"
"Root epidermis",2,11,0.806127163390384,"Fail","manihot_esculenta","Root"
"Root exodermis",2,7,1,"Fail","manihot_esculenta","Root"
"Root hair cell",2,9,1,"Fail","manihot_esculenta","Root"
"Root vascular system",2,0,1,"Fail","manihot_esculenta","Root"
"Xylem",2,11,0.259068296965435,"Fail","manihot_esculenta","Root"
"Metaxylem",3,6,1,"Fail","manihot_esculenta","Root"
"Pericycle cell",3,7,1,"Fail","manihot_esculenta","Root"
"Phloem",3,17,0.0108104682118605,"Reject","manihot_esculenta","Root"
"Root apical meristem",3,2,1,"Fail","manihot_esculenta","Root"
"Root cortex",3,5,1,"Fail","manihot_esculenta","Root"
"Root endodermis",3,11,0.157229770315149,"Fail","manihot_esculenta","Root"
