"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Meristematic cell",0,8,1,"Fail","manihot_esculenta","Tuberous root"
"Metaxylem",0,7,1,"Fail","manihot_esculenta","Tuberous root"
"Pericycle",0,12,0.924747170339566,"Fail","manihot_esculenta","Tuberous root"
"Phloem",0,13,0.0188532270975997,"Reject","manihot_esculenta","Tuberous root"
"Phloem parenchyma",0,6,1,"Fail","manihot_esculenta","Tuberous root"
"Root cortex",0,9,1,"Fail","manihot_esculenta","Tuberous root"
"Root epidermis",0,16,0.590775070152244,"Fail","manihot_esculenta","Tuberous root"
"Root exodermis",0,17,0.640095830636148,"Fail","manihot_esculenta","Tuberous root"
"Root hair",0,22,0.404608933697146,"Fail","manihot_esculenta","Tuberous root"
"Root procambium",0,20,0.112812210851885,"Fail","manihot_esculenta","Tuberous root"
"Vascular bundle",0,1,1,"Fail","manihot_esculenta","Tuberous root"
"Xylem",0,12,1,"Fail","manihot_esculenta","Tuberous root"
"Meristematic cell",1,35,0.00320044492708521,"Reject","manihot_esculenta","Tuberous root"
"Metaxylem",1,48,9.94704817051069e-10,"Reject","manihot_esculenta","Tuberous root"
"Pericycle",1,13,0.924747170339566,"Fail","manihot_esculenta","Tuberous root"
"Phloem",1,0,1,"Fail","manihot_esculenta","Tuberous root"
"Phloem parenchyma",1,48,5.94024498352095e-15,"Reject","manihot_esculenta","Tuberous root"
"Root cortex",1,0,1,"Fail","manihot_esculenta","Tuberous root"
"Root epidermis",1,3,1,"Fail","manihot_esculenta","Tuberous root"
"Root exodermis",1,0,1,"Fail","manihot_esculenta","Tuberous root"
"Root hair",1,0,1,"Fail","manihot_esculenta","Tuberous root"
"Root procambium",1,1,1,"Fail","manihot_esculenta","Tuberous root"
"Vascular bundle",1,1,1,"Fail","manihot_esculenta","Tuberous root"
"Xylem",1,5,1,"Fail","manihot_esculenta","Tuberous root"
"Meristematic cell",2,21,0.615371317269681,"Fail","manihot_esculenta","Tuberous root"
"Metaxylem",2,19,0.729623986006267,"Fail","manihot_esculenta","Tuberous root"
"Pericycle",2,6,1,"Fail","manihot_esculenta","Tuberous root"
"Phloem",2,0,1,"Fail","manihot_esculenta","Tuberous root"
"Phloem parenchyma",2,2,1,"Fail","manihot_esculenta","Tuberous root"
"Root cortex",2,11,0.83302231580795,"Fail","manihot_esculenta","Tuberous root"
"Root epidermis",2,12,0.977393560990839,"Fail","manihot_esculenta","Tuberous root"
"Root exodermis",2,6,1,"Fail","manihot_esculenta","Tuberous root"
"Root hair",2,15,1,"Fail","manihot_esculenta","Tuberous root"
"Root procambium",2,13,0.910852044716557,"Fail","manihot_esculenta","Tuberous root"
"Vascular bundle",2,5,0.940058243070764,"Fail","manihot_esculenta","Tuberous root"
"Xylem",2,21,0.112812210851885,"Fail","manihot_esculenta","Tuberous root"
"Meristematic cell",3,2,1,"Fail","manihot_esculenta","Tuberous root"
"Metaxylem",3,3,1,"Fail","manihot_esculenta","Tuberous root"
"Pericycle",3,4,1,"Fail","manihot_esculenta","Tuberous root"
"Phloem",3,7,0.590775070152244,"Fail","manihot_esculenta","Tuberous root"
"Phloem parenchyma",3,5,1,"Fail","manihot_esculenta","Tuberous root"
"Root cortex",3,6,1,"Fail","manihot_esculenta","Tuberous root"
"Root epidermis",3,17,0.123676372545718,"Fail","manihot_esculenta","Tuberous root"
"Root exodermis",3,25,0.000925803564431376,"Reject","manihot_esculenta","Tuberous root"
"Root hair",3,12,1,"Fail","manihot_esculenta","Tuberous root"
"Root procambium",3,17,0.124873219964825,"Fail","manihot_esculenta","Tuberous root"
"Vascular bundle",3,10,0.0313090717795506,"Reject","manihot_esculenta","Tuberous root"
"Xylem",3,10,1,"Fail","manihot_esculenta","Tuberous root"
"Meristematic cell",4,10,1,"Fail","manihot_esculenta","Tuberous root"
"Metaxylem",4,8,1,"Fail","manihot_esculenta","Tuberous root"
"Pericycle",4,7,1,"Fail","manihot_esculenta","Tuberous root"
"Phloem",4,9,0.332364970487281,"Fail","manihot_esculenta","Tuberous root"
"Phloem parenchyma",4,4,1,"Fail","manihot_esculenta","Tuberous root"
"Root cortex",4,32,1.18449239939515e-09,"Reject","manihot_esculenta","Tuberous root"
"Root epidermis",4,18,0.212796112915299,"Fail","manihot_esculenta","Tuberous root"
"Root exodermis",4,11,1,"Fail","manihot_esculenta","Tuberous root"
"Root hair",4,13,1,"Fail","manihot_esculenta","Tuberous root"
"Root procambium",4,7,1,"Fail","manihot_esculenta","Tuberous root"
"Vascular bundle",4,4,1,"Fail","manihot_esculenta","Tuberous root"
"Xylem",4,14,1,"Fail","manihot_esculenta","Tuberous root"
"Meristematic cell",5,4,1,"Fail","manihot_esculenta","Tuberous root"
"Metaxylem",5,4,1,"Fail","manihot_esculenta","Tuberous root"
