"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Cortex",0,5,1,"Fail","medicago_truncatula","Root"
"Nodule apex",0,10,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",0,11,0.815350435665631,"Fail","medicago_truncatula","Root"
"Non-hair",0,5,1,"Fail","medicago_truncatula","Root"
"Pericycle",0,32,7.71006583397242e-08,"Reject","medicago_truncatula","Root"
"Phloem",0,11,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",0,9,1,"Fail","medicago_truncatula","Root"
"Root cap",0,12,1,"Fail","medicago_truncatula","Root"
"Root cortex",0,10,1,"Fail","medicago_truncatula","Root"
"Root endodermis",0,8,1,"Fail","medicago_truncatula","Root"
"Root epidermis",0,6,1,"Fail","medicago_truncatula","Root"
"Root hair",0,6,1,"Fail","medicago_truncatula","Root"
"Root hair cell",0,3,1,"Fail","medicago_truncatula","Root"
"Root nodule",0,2,1,"Fail","medicago_truncatula","Root"
"Root stele",0,16,0.0144527641109976,"Reject","medicago_truncatula","Root"
"Root vascular system",0,8,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",0,3,1,"Fail","medicago_truncatula","Root"
"Xylem",0,2,1,"Fail","medicago_truncatula","Root"
"Cortex",1,0,1,"Fail","medicago_truncatula","Root"
"Nodule apex",1,0,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",1,0,1,"Fail","medicago_truncatula","Root"
"Non-hair",1,0,1,"Fail","medicago_truncatula","Root"
"Pericycle",1,0,1,"Fail","medicago_truncatula","Root"
"Phloem",1,0,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",1,32,5.86128281607798e-21,"Reject","medicago_truncatula","Root"
"Root cap",1,0,1,"Fail","medicago_truncatula","Root"
"Root cortex",1,2,1,"Fail","medicago_truncatula","Root"
"Root endodermis",1,0,1,"Fail","medicago_truncatula","Root"
"Root epidermis",1,0,1,"Fail","medicago_truncatula","Root"
"Root hair",1,0,1,"Fail","medicago_truncatula","Root"
"Root hair cell",1,0,1,"Fail","medicago_truncatula","Root"
"Root nodule",1,8,0.000133427442791932,"Reject","medicago_truncatula","Root"
"Root stele",1,1,1,"Fail","medicago_truncatula","Root"
"Root vascular system",1,1,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",1,10,0.0387377166501672,"Reject","medicago_truncatula","Root"
"Xylem",1,0,1,"Fail","medicago_truncatula","Root"
"Cortex",2,5,1,"Fail","medicago_truncatula","Root"
"Nodule apex",2,15,0.241536184710232,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",2,2,1,"Fail","medicago_truncatula","Root"
"Non-hair",2,4,1,"Fail","medicago_truncatula","Root"
"Pericycle",2,4,1,"Fail","medicago_truncatula","Root"
"Phloem",2,5,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",2,6,1,"Fail","medicago_truncatula","Root"
"Root cap",2,1,1,"Fail","medicago_truncatula","Root"
