"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Chlorenchyma",0,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",0,0,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",0,16,0.975227949877868,"Fail","nicotiana_attenuata","Corolla"
"Pollen",0,4,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",0,14,1,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",1,4,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",1,0,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",1,1,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",1,0,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",1,8,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",2,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",2,1,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",2,9,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",2,3,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",2,18,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",3,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",3,2,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",3,18,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Pollen",3,4,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",3,6,1,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",4,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",4,1,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",4,11,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",4,3,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",4,19,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",5,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",5,1,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",5,8,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",5,4,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",5,8,1,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",6,1,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",6,2,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",6,6,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",6,2,1,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",6,9,1,"Fail","nicotiana_attenuata","Corolla"
"Chlorenchyma",7,4,1,"Fail","nicotiana_attenuata","Corolla"
"Epidermis",7,3,1,"Fail","nicotiana_attenuata","Corolla"
"Parenchyma",7,13,1,"Fail","nicotiana_attenuata","Corolla"
"Pollen",7,8,0.789592968276258,"Fail","nicotiana_attenuata","Corolla"
"Vascular tissue",7,9,1,"Fail","nicotiana_attenuata","Corolla"
