"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Branch meristem",0,2,1,"Fail","oryza_sativa","Inflorescence"
"Cryptic bract",0,3,1,"Fail","oryza_sativa","Inflorescence"
"Floret meristem",0,6,0.953548351780066,"Fail","oryza_sativa","Inflorescence"
"Inflorescence axis",0,8,0.208746263039893,"Fail","oryza_sativa","Inflorescence"
"Inflorescence meristem",0,4,0.500903733165333,"Fail","oryza_sativa","Inflorescence"
"Lodicule",0,0,1,"Fail","oryza_sativa","Inflorescence"
"Rudimentary glume",0,1,1,"Fail","oryza_sativa","Inflorescence"
"Spikelet",0,0,1,"Fail","oryza_sativa","Inflorescence"
"Spikelet floret",0,1,1,"Fail","oryza_sativa","Inflorescence"
"Spikelet identity cell",0,9,0.911832209303852,"Fail","oryza_sativa","Inflorescence"
"Spikelet meristem",0,3,1,"Fail","oryza_sativa","Inflorescence"
"Spikelet supporting cell",0,5,0.599468252086694,"Fail","oryza_sativa","Inflorescence"
"Sterile lemma",0,1,1,"Fail","oryza_sativa","Inflorescence"
"Branch meristem",1,2,1,"Fail","oryza_sativa","Inflorescence"
"Cryptic bract",1,5,1,"Fail","oryza_sativa","Inflorescence"
"Floret meristem",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Inflorescence axis",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Inflorescence meristem",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Lodicule",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Rudimentary glume",1,6,0.472392323253168,"Fail","oryza_sativa","Inflorescence"
"Spikelet",1,15,0.503467282611606,"Fail","oryza_sativa","Inflorescence"
"Spikelet floret",1,20,0.500903733165333,"Fail","oryza_sativa","Inflorescence"
"Spikelet identity cell",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Spikelet meristem",1,14,0.685321711011848,"Fail","oryza_sativa","Inflorescence"
"Spikelet supporting cell",1,0,1,"Fail","oryza_sativa","Inflorescence"
"Sterile lemma",1,69,7.99341469143559e-20,"Reject","oryza_sativa","Inflorescence"
"Branch meristem",2,4,0.606631103490935,"Fail","oryza_sativa","Inflorescence"
"Cryptic bract",2,2,1,"Fail","oryza_sativa","Inflorescence"
"Floret meristem",2,2,1,"Fail","oryza_sativa","Inflorescence"
"Inflorescence axis",2,4,1,"Fail","oryza_sativa","Inflorescence"
"Inflorescence meristem",2,0,1,"Fail","oryza_sativa","Inflorescence"
