"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Initial cell",0,4,1,"Fail","oryza_sativa","Leaf"
"Large parenchyma cell",0,10,1,"Fail","oryza_sativa","Leaf"
"Leaf epidermis",0,16,1,"Fail","oryza_sativa","Leaf"
"Leaf lamina epidermis",0,6,1,"Fail","oryza_sativa","Leaf"
"Leaf preprocambium",0,9,1,"Fail","oryza_sativa","Leaf"
"Mesophyll",0,8,1,"Fail","oryza_sativa","Leaf"
"Mesophyll cell",0,10,1,"Fail","oryza_sativa","Leaf"
"Mesophyll precursor",0,3,1,"Fail","oryza_sativa","Leaf"
"Mestome sheath",0,5,1,"Fail","oryza_sativa","Leaf"
"Phloem",0,2,1,"Fail","oryza_sativa","Leaf"
"Vascular tissue",0,8,1,"Fail","oryza_sativa","Leaf"
"Xylem",0,3,1,"Fail","oryza_sativa","Leaf"
"Initial cell",1,6,0.00527796745597731,"Reject","oryza_sativa","Leaf"
"Large parenchyma cell",1,0,1,"Fail","oryza_sativa","Leaf"
"Leaf epidermis",1,1,1,"Fail","oryza_sativa","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","oryza_sativa","Leaf"
"Leaf preprocambium",1,0,1,"Fail","oryza_sativa","Leaf"
"Mesophyll",1,8,0.0112144922706225,"Reject","oryza_sativa","Leaf"
"Mesophyll cell",1,2,1,"Fail","oryza_sativa","Leaf"
"Mesophyll precursor",1,10,8.08924117313613e-06,"Reject","oryza_sativa","Leaf"
"Mestome sheath",1,0,1,"Fail","oryza_sativa","Leaf"
"Phloem",1,0,1,"Fail","oryza_sativa","Leaf"
"Vascular tissue",1,0,1,"Fail","oryza_sativa","Leaf"
"Xylem",1,0,1,"Fail","oryza_sativa","Leaf"
"Initial cell",2,4,1,"Fail","oryza_sativa","Leaf"
"Large parenchyma cell",2,4,1,"Fail","oryza_sativa","Leaf"
"Leaf epidermis",2,16,1,"Fail","oryza_sativa","Leaf"
"Leaf lamina epidermis",2,5,1,"Fail","oryza_sativa","Leaf"
"Leaf preprocambium",2,10,1,"Fail","oryza_sativa","Leaf"
"Mesophyll",2,4,1,"Fail","oryza_sativa","Leaf"
"Mesophyll cell",2,8,1,"Fail","oryza_sativa","Leaf"
"Mesophyll precursor",2,4,1,"Fail","oryza_sativa","Leaf"
"Mestome sheath",2,10,1,"Fail","oryza_sativa","Leaf"
"Phloem",2,3,1,"Fail","oryza_sativa","Leaf"
"Vascular tissue",2,4,1,"Fail","oryza_sativa","Leaf"
"Xylem",2,17,0.405754731656198,"Fail","oryza_sativa","Leaf"
"Initial cell",3,1,1,"Fail","oryza_sativa","Leaf"
"Large parenchyma cell",3,12,1,"Fail","oryza_sativa","Leaf"
"Leaf epidermis",3,38,0.000279206437741633,"Reject","oryza_sativa","Leaf"
"Leaf lamina epidermis",3,2,1,"Fail","oryza_sativa","Leaf"
"Leaf preprocambium",3,16,1,"Fail","oryza_sativa","Leaf"
"Mesophyll",3,11,1,"Fail","oryza_sativa","Leaf"
"Mesophyll cell",3,8,1,"Fail","oryza_sativa","Leaf"
"Mesophyll precursor",3,6,1,"Fail","oryza_sativa","Leaf"
"Mestome sheath",3,7,1,"Fail","oryza_sativa","Leaf"
"Phloem",3,4,1,"Fail","oryza_sativa","Leaf"
"Vascular tissue",3,9,1,"Fail","oryza_sativa","Leaf"
"Xylem",3,5,1,"Fail","oryza_sativa","Leaf"
"Initial cell",4,3,1,"Fail","oryza_sativa","Leaf"
"Large parenchyma cell",4,8,1,"Fail","oryza_sativa","Leaf"
"Leaf epidermis",4,14,1,"Fail","oryza_sativa","Leaf"
"Leaf lamina epidermis",4,6,1,"Fail","oryza_sativa","Leaf"
"Leaf preprocambium",4,11,1,"Fail","oryza_sativa","Leaf"
