"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"CT-Ovule",0,4,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",0,3,1,"Fail","oryza_sativa","Pistil"
"Integument",0,4,1,"Fail","oryza_sativa","Pistil"
"Nucellus",0,5,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",0,10,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",0,3,1,"Fail","oryza_sativa","Pistil"
"Ovule",0,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",0,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",0,1,1,"Fail","oryza_sativa","Pistil"
"Stigma",0,1,1,"Fail","oryza_sativa","Pistil"
"Style",0,6,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",0,4,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",1,1,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",1,0,1,"Fail","oryza_sativa","Pistil"
"Integument",1,1,1,"Fail","oryza_sativa","Pistil"
"Nucellus",1,0,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",1,1,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",1,0,1,"Fail","oryza_sativa","Pistil"
"Ovule",1,1,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",1,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",1,0,1,"Fail","oryza_sativa","Pistil"
"Stigma",1,0,1,"Fail","oryza_sativa","Pistil"
"Style",1,1,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",1,1,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",2,1,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",2,1,1,"Fail","oryza_sativa","Pistil"
"Integument",2,3,1,"Fail","oryza_sativa","Pistil"
"Nucellus",2,3,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",2,4,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",2,2,1,"Fail","oryza_sativa","Pistil"
"Ovule",2,0,1,"Fail","oryza_sativa","Pistil"
