"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Epidermal meristematic cell",0,4,1,"Fail","oryza_sativa","Root"
"Exodermis",0,9,1,"Fail","oryza_sativa","Root"
"Meristematic cell",0,0,1,"Fail","oryza_sativa","Root"
"Metaxylem",0,8,0.539950010226087,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",0,9,0.7957667490635,"Fail","oryza_sativa","Root"
"Pericycle",0,25,1.09043290168365e-06,"Reject","oryza_sativa","Root"
"Pericycle cell",0,21,4.32355192329246e-05,"Reject","oryza_sativa","Root"
"Phloem",0,7,0.863791169214438,"Fail","oryza_sativa","Root"
"Protoxylem",0,3,1,"Fail","oryza_sativa","Root"
"Root cap",0,13,0.279979215324688,"Fail","oryza_sativa","Root"
"Root cap junction",0,10,0.539950010226087,"Fail","oryza_sativa","Root"
"Root cortex",0,0,1,"Fail","oryza_sativa","Root"
"Root endodermis",0,0,1,"Fail","oryza_sativa","Root"
"Root epidermis",0,4,1,"Fail","oryza_sativa","Root"
"Root exodermis",0,6,1,"Fail","oryza_sativa","Root"
"Root hair",0,6,1,"Fail","oryza_sativa","Root"
"Root hair cell",0,3,1,"Fail","oryza_sativa","Root"
"Root meristem",0,1,1,"Fail","oryza_sativa","Root"
"Root procambium",0,5,0.769685148026466,"Fail","oryza_sativa","Root"
"Root stele",0,6,0.515453479602887,"Fail","oryza_sativa","Root"
"Sclerenchyma",0,5,1,"Fail","oryza_sativa","Root"
"Xylem",0,8,1,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",1,16,1,"Fail","oryza_sativa","Root"
"Exodermis",1,0,1,"Fail","oryza_sativa","Root"
"Meristematic cell",1,66,4.93431880135038e-28,"Reject","oryza_sativa","Root"
"Metaxylem",1,0,1,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",1,0,1,"Fail","oryza_sativa","Root"
"Pericycle",1,18,0.863791169214438,"Fail","oryza_sativa","Root"
"Pericycle cell",1,12,1,"Fail","oryza_sativa","Root"
"Phloem",1,0,1,"Fail","oryza_sativa","Root"
"Protoxylem",1,0,1,"Fail","oryza_sativa","Root"
"Root cap",1,3,1,"Fail","oryza_sativa","Root"
"Root cap junction",1,1,1,"Fail","oryza_sativa","Root"
"Root cortex",1,67,3.13831799335722e-21,"Reject","oryza_sativa","Root"
"Root endodermis",1,52,6.17057172150423e-24,"Reject","oryza_sativa","Root"
"Root epidermis",1,0,1,"Fail","oryza_sativa","Root"
"Root exodermis",1,0,1,"Fail","oryza_sativa","Root"
"Root hair",1,0,1,"Fail","oryza_sativa","Root"
"Root hair cell",1,0,1,"Fail","oryza_sativa","Root"
"Root meristem",1,78,2.45479275386953e-38,"Reject","oryza_sativa","Root"
"Root procambium",1,1,1,"Fail","oryza_sativa","Root"
"Root stele",1,0,1,"Fail","oryza_sativa","Root"
"Sclerenchyma",1,0,1,"Fail","oryza_sativa","Root"
"Xylem",1,0,1,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",2,13,0.726122222366744,"Fail","oryza_sativa","Root"
"Exodermis",2,17,0.703669658983755,"Fail","oryza_sativa","Root"
"Meristematic cell",2,3,1,"Fail","oryza_sativa","Root"
"Metaxylem",2,8,0.930890077587873,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",2,6,1,"Fail","oryza_sativa","Root"
"Pericycle",2,4,1,"Fail","oryza_sativa","Root"
"Pericycle cell",2,3,1,"Fail","oryza_sativa","Root"
"Phloem",2,8,1,"Fail","oryza_sativa","Root"
"Protoxylem",2,17,0.388457179367996,"Fail","oryza_sativa","Root"
"Root cap",2,7,1,"Fail","oryza_sativa","Root"
"Root cap junction",2,7,1,"Fail","oryza_sativa","Root"
"Root cortex",2,11,1,"Fail","oryza_sativa","Root"
"Root endodermis",2,1,1,"Fail","oryza_sativa","Root"
"Root epidermis",2,13,0.863791169214438,"Fail","oryza_sativa","Root"
"Root exodermis",2,18,0.279979215324688,"Fail","oryza_sativa","Root"
"Root hair",2,15,0.37260127842994,"Fail","oryza_sativa","Root"
"Root hair cell",2,10,0.590453251061913,"Fail","oryza_sativa","Root"
"Root meristem",2,0,1,"Fail","oryza_sativa","Root"
"Root procambium",2,4,1,"Fail","oryza_sativa","Root"
"Root stele",2,2,1,"Fail","oryza_sativa","Root"
"Sclerenchyma",2,16,0.279979215324688,"Fail","oryza_sativa","Root"
"Xylem",2,19,0.136098860896184,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",3,4,1,"Fail","oryza_sativa","Root"
"Exodermis",3,5,1,"Fail","oryza_sativa","Root"
"Meristematic cell",3,0,1,"Fail","oryza_sativa","Root"
"Metaxylem",3,2,1,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",3,10,0.778214500499923,"Fail","oryza_sativa","Root"
