"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",0,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",0,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",0,9,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",0,13,0.451813655760324,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",0,10,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",0,13,0.0187969562740512,"Reject","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",0,11,0.567402860275137,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",0,9,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",0,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",0,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",0,17,0.0248242319116371,"Reject","populus_alba_var_pyramidalis","Stem"
"Companion cell",1,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",1,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",1,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",1,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",1,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",1,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",1,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",1,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",1,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",1,56,7.92398694168804e-44,"Reject","populus_alba_var_pyramidalis","Stem"
"Xylem",1,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",1,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",2,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",2,22,0.529199930718888,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",2,11,0.684278062167854,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",2,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",2,13,0.742062877868134,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",2,26,0.000395789143303159,"Reject","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",2,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",2,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",2,12,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",2,9,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",2,17,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",2,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",3,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",3,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",3,9,0.652250905017104,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",3,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",3,14,0.132097141862622,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",3,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",3,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",3,27,3.36096622505956e-10,"Reject","populus_alba_var_pyramidalis","Stem"
"Sieve element",3,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",3,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",3,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",3,15,0.0484315216884664,"Reject","populus_alba_var_pyramidalis","Stem"
"Companion cell",4,41,2.31641658719148e-22,"Reject","populus_alba_var_pyramidalis","Stem"
"Cork cambium",4,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",4,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",4,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",4,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
