"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Leaf guard cell",0,14,0.964979478689516,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",0,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",0,15,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",0,15,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",0,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",1,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",1,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",1,6,0.223210227269975,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",1,2,0.726002734663848,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",2,4,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",2,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",2,3,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",2,11,0.726002734663848,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",2,6,0.217746386139801,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",3,13,0.905560794529254,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",3,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",3,14,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",3,10,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",3,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",4,3,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",4,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",4,27,0.00062284213852238,"Reject","solanum_lycopersicum","Leaf"
"Leaf vascular system",4,10,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",4,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",5,13,0.189045713040049,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",5,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",5,7,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",5,5,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",5,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",6,6,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",6,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",6,3,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",6,10,0.726002734663848,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",6,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",7,21,0.256667820236062,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",7,3,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",7,18,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",7,11,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",7,3,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",8,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",8,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",8,0,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",8,5,0.543048394971355,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",8,2,0.726002734663848,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",9,7,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",9,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",9,9,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",9,10,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",9,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",10,8,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",10,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",10,11,0.964979478689516,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",10,8,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",10,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",11,11,0.543048394971355,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",11,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",11,7,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",11,8,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",11,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",12,4,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",12,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",12,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",12,15,0.189045713040049,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",12,4,0.870998623097353,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",13,6,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",13,1,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",13,10,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",13,14,0.987698485582942,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",13,6,0.543048394971355,"Fail","solanum_lycopersicum","Leaf"
"Leaf guard cell",14,2,1,"Fail","solanum_lycopersicum","Leaf"
"Leaf lamina epidermis",14,2,0.905560794529254,"Fail","solanum_lycopersicum","Leaf"
"Leaf trichome",14,11,0.291887377636588,"Fail","solanum_lycopersicum","Leaf"
"Leaf vascular system",14,5,1,"Fail","solanum_lycopersicum","Leaf"
"Mesophyll cell",14,1,1,"Fail","solanum_lycopersicum","Leaf"
