"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Atrichoblast",0,7,1,"Fail","solanum_lycopersicum","Root"
"Cortex",0,18,1,"Fail","solanum_lycopersicum","Root"
"Endodermis",0,19,0.286469783229389,"Fail","solanum_lycopersicum","Root"
"Exodermis",0,9,1,"Fail","solanum_lycopersicum","Root"
"MZ",0,0,1,"Fail","solanum_lycopersicum","Root"
"Pericycle",0,25,0.00136562921423577,"Reject","solanum_lycopersicum","Root"
"Phloem_Procamb",0,26,0.0516478273973057,"Fail","solanum_lycopersicum","Root"
"RC_Col_QC",0,7,1,"Fail","solanum_lycopersicum","Root"
"Trichoblast",0,8,1,"Fail","solanum_lycopersicum","Root"
"Xylem",0,10,1,"Fail","solanum_lycopersicum","Root"
"Atrichoblast",1,0,1,"Fail","solanum_lycopersicum","Root"
"Cortex",1,2,1,"Fail","solanum_lycopersicum","Root"
"Endodermis",1,0,1,"Fail","solanum_lycopersicum","Root"
"Exodermis",1,1,1,"Fail","solanum_lycopersicum","Root"
"MZ",1,89,8.49176080705399e-63,"Reject","solanum_lycopersicum","Root"
"Pericycle",1,25,0.0226574687469576,"Reject","solanum_lycopersicum","Root"
"Phloem_Procamb",1,2,1,"Fail","solanum_lycopersicum","Root"
"RC_Col_QC",1,41,3.00871627981836e-10,"Reject","solanum_lycopersicum","Root"
"Trichoblast",1,0,1,"Fail","solanum_lycopersicum","Root"
"Xylem",1,0,1,"Fail","solanum_lycopersicum","Root"
"Atrichoblast",2,8,1,"Fail","solanum_lycopersicum","Root"
"Cortex",2,27,0.319149846815424,"Fail","solanum_lycopersicum","Root"
"Endodermis",2,19,0.843887604034585,"Fail","solanum_lycopersicum","Root"
"Exodermis",2,34,0.0213996786709304,"Reject","solanum_lycopersicum","Root"
"MZ",2,1,1,"Fail","solanum_lycopersicum","Root"
"Pericycle",2,9,1,"Fail","solanum_lycopersicum","Root"
"Phloem_Procamb",2,22,1,"Fail","solanum_lycopersicum","Root"
"RC_Col_QC",2,11,1,"Fail","solanum_lycopersicum","Root"
"Trichoblast",2,13,1,"Fail","solanum_lycopersicum","Root"
"Xylem",2,17,1,"Fail","solanum_lycopersicum","Root"
"Atrichoblast",3,17,0.00789512998864786,"Reject","solanum_lycopersicum","Root"
"Cortex",3,14,0.709702383139138,"Fail","solanum_lycopersicum","Root"
"Endodermis",3,9,1,"Fail","solanum_lycopersicum","Root"
