"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Leaf marginal meristem",0,8,0.664225325928137,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",0,3,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",0,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",0,8,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",0,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",0,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",0,10,0.813915539635701,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",0,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",1,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",1,7,0.658119450130002,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",1,39,0.000111250353448076,"Reject","solanum_lycopersicum","Shoot axis apex"
"Phloem",1,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",1,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",1,62,1.18054118227595e-14,"Reject","solanum_lycopersicum","Shoot axis apex"
"Trichome",1,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",1,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",2,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",2,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",2,18,0.870678913856185,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",2,8,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",2,17,0.33379491992941,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",2,15,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",2,24,0.345395859835017,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",2,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",3,18,0.00147018947208427,"Reject","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",3,3,0.988316250923696,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",3,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",3,16,0.0193610896041969,"Reject","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",3,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",3,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",3,9,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",3,3,0.0198993878361732,"Reject","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",4,7,0.623419479056061,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",4,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",4,4,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",4,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",4,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",4,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",4,7,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",4,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",5,8,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",5,3,0.732891334885702,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",5,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",5,11,0.216215048052821,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",5,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",5,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",5,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",5,1,0.732891334885702,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",6,9,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",6,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",6,11,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",6,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",6,10,0.988316250923696,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",6,10,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",6,19,0.345395859835017,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",6,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",7,16,0.0211607604104359,"Reject","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",7,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",7,4,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",7,17,0.0174277221179095,"Reject","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",7,3,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",7,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",7,12,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",7,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",8,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",8,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",8,30,0.332614015718434,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",8,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",8,39,2.86582061476422e-07,"Reject","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",8,53,6.21095420486406e-07,"Reject","solanum_lycopersicum","Shoot axis apex"
"Trichome",8,8,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",8,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",9,7,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",9,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",9,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",9,10,0.50514651950357,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",9,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",9,7,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",9,10,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",9,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",10,10,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",10,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",10,8,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",10,11,0.658119450130002,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",10,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",10,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",10,15,0.623419479056061,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",10,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",11,13,0.30853212636891,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",11,4,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",11,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",11,14,0.216215048052821,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",11,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",11,4,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",11,14,0.870678913856185,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",11,1,0.870678913856185,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",12,7,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",12,2,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",12,13,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",12,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",12,10,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",12,13,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",12,28,0.00668742845762838,"Reject","solanum_lycopersicum","Shoot axis apex"
"Xylem",12,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",13,11,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",13,1,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",13,14,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",13,14,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",13,7,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",13,13,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",13,19,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",13,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Leaf marginal meristem",14,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Meristematic cell",14,3,0.671558400425815,"Fail","solanum_lycopersicum","Shoot axis apex"
"Mesophyll",14,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Phloem",14,6,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Rib Zone",14,4,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Shoot system epidermis",14,5,1,"Fail","solanum_lycopersicum","Shoot axis apex"
"Trichome",14,9,0.963891145804432,"Fail","solanum_lycopersicum","Shoot axis apex"
"Xylem",14,0,1,"Fail","solanum_lycopersicum","Shoot axis apex"
