"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Columella root cap cell",0,2,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",0,4,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",0,19,7.8539520827937e-06,"Reject","sorghum_bicolor","Root"
"Phloem",0,10,0.294447476594909,"Fail","sorghum_bicolor","Root"
"Root cortex",0,4,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",0,8,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",0,4,1,"Fail","sorghum_bicolor","Root"
"Root stele",0,4,1,"Fail","sorghum_bicolor","Root"
"Xylem",0,3,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",1,75,6.81978762425738e-58,"Reject","sorghum_bicolor","Root"
"Lateral root cap",1,0,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",1,0,1,"Fail","sorghum_bicolor","Root"
"Phloem",1,0,1,"Fail","sorghum_bicolor","Root"
"Root cortex",1,0,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",1,0,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",1,2,1,"Fail","sorghum_bicolor","Root"
"Root stele",1,9,1,"Fail","sorghum_bicolor","Root"
"Xylem",1,1,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",2,1,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",2,7,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",2,1,1,"Fail","sorghum_bicolor","Root"
"Phloem",2,6,1,"Fail","sorghum_bicolor","Root"
"Root cortex",2,13,0.489285360516676,"Fail","sorghum_bicolor","Root"
"Root endodermis",2,10,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",2,1,1,"Fail","sorghum_bicolor","Root"
"Root stele",2,18,0.0186193504537656,"Reject","sorghum_bicolor","Root"
"Xylem",2,10,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",3,1,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",3,7,0.611522634341999,"Fail","sorghum_bicolor","Root"
"Pericycle cell",3,6,0.770205012541822,"Fail","sorghum_bicolor","Root"
"Phloem",3,4,1,"Fail","sorghum_bicolor","Root"
"Root cortex",3,9,0.410290595888511,"Fail","sorghum_bicolor","Root"
"Root endodermis",3,4,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",3,3,1,"Fail","sorghum_bicolor","Root"
"Root stele",3,3,1,"Fail","sorghum_bicolor","Root"
"Xylem",3,3,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",4,1,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",4,3,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",4,8,0.621992637574135,"Fail","sorghum_bicolor","Root"
"Phloem",4,23,1.77451306607047e-10,"Reject","sorghum_bicolor","Root"
"Root cortex",4,1,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",4,3,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",4,3,1,"Fail","sorghum_bicolor","Root"
"Root stele",4,5,1,"Fail","sorghum_bicolor","Root"
"Xylem",4,5,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",5,0,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",5,7,0.611522634341999,"Fail","sorghum_bicolor","Root"
"Pericycle cell",5,4,1,"Fail","sorghum_bicolor","Root"
"Phloem",5,4,1,"Fail","sorghum_bicolor","Root"
"Root cortex",5,6,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",5,8,0.621992637574135,"Fail","sorghum_bicolor","Root"
"Root epidermis",5,3,1,"Fail","sorghum_bicolor","Root"
"Root stele",5,4,1,"Fail","sorghum_bicolor","Root"
"Xylem",5,4,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",6,0,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",6,16,0.0712084841155522,"Fail","sorghum_bicolor","Root"
"Pericycle cell",6,5,1,"Fail","sorghum_bicolor","Root"
"Phloem",6,4,1,"Fail","sorghum_bicolor","Root"
"Root cortex",6,13,0.936091587720665,"Fail","sorghum_bicolor","Root"
