"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Columella root cap",0,1,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",0,10,0.162046948467519,"Fail","triticum_aestivum","Root"
"Companion cell",0,4,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",0,2,1,"Fail","triticum_aestivum","Root"
"Metaxylem",0,1,1,"Fail","triticum_aestivum","Root"
"Pericycle",0,2,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",0,0,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",0,1,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",0,4,1,"Fail","triticum_aestivum","Root"
"Protophloem",0,2,1,"Fail","triticum_aestivum","Root"
"Protoxylem",0,2,1,"Fail","triticum_aestivum","Root"
"Provascular",0,1,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",0,0,1,"Fail","triticum_aestivum","Root"
"Root broder",0,2,1,"Fail","triticum_aestivum","Root"
"Root cap",0,4,1,"Fail","triticum_aestivum","Root"
"Root endodermis",0,3,1,"Fail","triticum_aestivum","Root"
"Root epidermis",0,0,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",0,1,1,"Fail","triticum_aestivum","Root"
"Root hair",0,4,1,"Fail","triticum_aestivum","Root"
"Root hair cell",0,0,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",0,3,1,"Fail","triticum_aestivum","Root"
"Root vascular system",0,5,1,"Fail","triticum_aestivum","Root"
"Sieve element",0,5,0.882792289608639,"Fail","triticum_aestivum","Root"
"Stem cell niche",0,3,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",0,4,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",0,5,1,"Fail","triticum_aestivum","Root"
"Columella root cap",1,1,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",1,1,1,"Fail","triticum_aestivum","Root"
"Companion cell",1,1,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",1,1,1,"Fail","triticum_aestivum","Root"
"Metaxylem",1,3,1,"Fail","triticum_aestivum","Root"
"Pericycle",1,3,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",1,0,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",1,4,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",1,0,1,"Fail","triticum_aestivum","Root"
"Protophloem",1,1,1,"Fail","triticum_aestivum","Root"
"Protoxylem",1,1,1,"Fail","triticum_aestivum","Root"
"Provascular",1,1,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",1,6,0.000684524472421254,"Reject","triticum_aestivum","Root"
"Root broder",1,3,1,"Fail","triticum_aestivum","Root"
"Root cap",1,1,1,"Fail","triticum_aestivum","Root"
"Root endodermis",1,0,1,"Fail","triticum_aestivum","Root"
"Root epidermis",1,0,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",1,2,1,"Fail","triticum_aestivum","Root"
"Root hair",1,2,1,"Fail","triticum_aestivum","Root"
"Root hair cell",1,0,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",1,5,1,"Fail","triticum_aestivum","Root"
"Root vascular system",1,13,0.000927767058919367,"Reject","triticum_aestivum","Root"
"Sieve element",1,0,1,"Fail","triticum_aestivum","Root"
"Stem cell niche",1,2,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",1,6,0.736261729256216,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",1,0,1,"Fail","triticum_aestivum","Root"
"Columella root cap",2,4,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",2,1,1,"Fail","triticum_aestivum","Root"
"Companion cell",2,2,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",2,0,1,"Fail","triticum_aestivum","Root"
"Metaxylem",2,4,1,"Fail","triticum_aestivum","Root"
"Pericycle",2,4,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",2,6,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",2,3,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",2,2,1,"Fail","triticum_aestivum","Root"
"Protophloem",2,0,1,"Fail","triticum_aestivum","Root"
