"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Adaxial meristem periphery",0,11,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",0,8,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",0,13,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",0,5,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",0,2,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",0,7,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",0,7,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",0,8,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",0,5,1,"Fail","zea_mays","Ear inflorescence"
"Pith",0,5,1,"Fail","zea_mays","Ear inflorescence"
"S phase",0,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",0,9,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",1,1,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",1,15,3.55364620742193e-08,"Reject","zea_mays","Ear inflorescence"
"G2/M phase",1,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",1,1,1,"Fail","zea_mays","Ear inflorescence"
"Pith",1,0,1,"Fail","zea_mays","Ear inflorescence"
"S phase",1,8,2.07875934406766e-07,"Reject","zea_mays","Ear inflorescence"
"Xylem",1,0,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",2,2,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",2,12,0.398422989088954,"Fail","zea_mays","Ear inflorescence"
"Cortex",2,13,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",2,7,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",2,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",2,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",2,2,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",2,1,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",2,9,1,"Fail","zea_mays","Ear inflorescence"
"Pith",2,2,1,"Fail","zea_mays","Ear inflorescence"
"S phase",2,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",2,8,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",3,10,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",3,6,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",3,3,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",3,6,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",3,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",3,11,0.0296896497646416,"Reject","zea_mays","Ear inflorescence"
"Meristem boundary",3,9,0.398422989088954,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",3,5,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",3,0,1,"Fail","zea_mays","Ear inflorescence"
"Pith",3,7,0.283119993120467,"Fail","zea_mays","Ear inflorescence"
"S phase",3,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",3,8,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",4,11,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",4,18,0.10227515845992,"Fail","zea_mays","Ear inflorescence"
"Cortex",4,8,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",4,6,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",4,3,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",4,11,0.213226978583686,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",4,8,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",4,3,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",4,13,0.955879855860467,"Fail","zea_mays","Ear inflorescence"
"Pith",4,2,1,"Fail","zea_mays","Ear inflorescence"
"S phase",4,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",4,7,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",5,6,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",5,4,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",5,8,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",5,4,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",5,2,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",5,2,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",5,2,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",5,4,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",5,6,1,"Fail","zea_mays","Ear inflorescence"
"Pith",5,2,1,"Fail","zea_mays","Ear inflorescence"
"S phase",5,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",5,4,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",6,7,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",6,10,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",6,10,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",6,5,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",6,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",6,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",6,5,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",6,5,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",6,8,1,"Fail","zea_mays","Ear inflorescence"
"Pith",6,4,1,"Fail","zea_mays","Ear inflorescence"
"S phase",6,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",6,8,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",7,12,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",7,9,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",7,16,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",7,4,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",7,3,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",7,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",7,8,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",7,11,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",7,7,1,"Fail","zea_mays","Ear inflorescence"
"Pith",7,5,1,"Fail","zea_mays","Ear inflorescence"
"S phase",7,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",7,13,0.857140631355494,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",8,2,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",8,6,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",8,12,0.577385052141878,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",8,43,6.57724583238309e-28,"Reject","zea_mays","Ear inflorescence"
"Meristem base",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",8,4,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Pith",8,1,1,"Fail","zea_mays","Ear inflorescence"
"S phase",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",9,9,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",9,6,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",9,15,0.918633596111387,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",9,7,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",9,3,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",9,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",9,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",9,12,0.222726804135644,"Fail","zea_mays","Ear inflorescence"
"Phloem",9,7,1,"Fail","zea_mays","Ear inflorescence"
"Pith",9,0,1,"Fail","zea_mays","Ear inflorescence"
"S phase",9,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",9,6,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",10,11,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",10,8,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",10,14,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",10,4,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",10,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",10,5,1,"Fail","zea_mays","Ear inflorescence"
