"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Adaxial meristem periphery",0,4,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",0,6,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",0,7,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",0,5,1,"Fail","zea_mays","Inflorescence"
"Meristem base",0,12,0.82302409383971,"Fail","zea_mays","Inflorescence"
"Meristem boundary",0,9,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",0,9,1,"Fail","zea_mays","Inflorescence"
"Phloem",0,10,1,"Fail","zea_mays","Inflorescence"
"Xylem",0,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",1,0,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",1,32,4.67824126118096e-15,"Reject","zea_mays","Inflorescence"
"Determinate lateral organ",1,0,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",1,0,1,"Fail","zea_mays","Inflorescence"
"Meristem base",1,1,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",1,0,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",1,3,1,"Fail","zea_mays","Inflorescence"
"Phloem",1,2,1,"Fail","zea_mays","Inflorescence"
"Xylem",1,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",2,1,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",2,14,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",2,3,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",2,7,1,"Fail","zea_mays","Inflorescence"
"Meristem base",2,2,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",2,6,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",2,7,1,"Fail","zea_mays","Inflorescence"
"Phloem",2,10,1,"Fail","zea_mays","Inflorescence"
"Xylem",2,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",3,1,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",3,3,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",3,5,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",3,0,1,"Fail","zea_mays","Inflorescence"
"Meristem base",3,11,0.229529754596181,"Fail","zea_mays","Inflorescence"
"Meristem boundary",3,12,0.229529754596181,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",3,7,1,"Fail","zea_mays","Inflorescence"
"Phloem",3,2,1,"Fail","zea_mays","Inflorescence"
"Xylem",3,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",4,5,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",4,9,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",4,11,0.599130757661096,"Fail","zea_mays","Inflorescence"
"Ear cortex",4,4,1,"Fail","zea_mays","Inflorescence"
"Meristem base",4,12,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",4,12,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",4,12,1,"Fail","zea_mays","Inflorescence"
"Phloem",4,16,0.82302409383971,"Fail","zea_mays","Inflorescence"
"Xylem",4,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",5,5,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",5,5,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",5,4,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",5,2,1,"Fail","zea_mays","Inflorescence"
"Meristem base",5,6,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",5,4,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",5,4,1,"Fail","zea_mays","Inflorescence"
"Phloem",5,6,1,"Fail","zea_mays","Inflorescence"
