"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Bundle sheath",0,7,1,"Fail","zea_mays","Leaf"
"Bundle sheath cell",0,5,1,"Fail","zea_mays","Leaf"
"Contamination",0,9,1,"Fail","zea_mays","Leaf"
"G2/M phase",0,3,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",0,3,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",0,3,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",0,4,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",0,3,1,"Fail","zea_mays","Leaf"
"Leaf primordium",0,1,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",0,4,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",0,17,0.793642981696979,"Fail","zea_mays","Leaf"
"Meristemoid",0,9,1,"Fail","zea_mays","Leaf"
"Mesophyll",0,12,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",0,3,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",0,3,1,"Fail","zea_mays","Leaf"
"Pavement cell-N",0,8,1,"Fail","zea_mays","Leaf"
"S phase",0,2,1,"Fail","zea_mays","Leaf"
"Subsidiary cell",0,4,1,"Fail","zea_mays","Leaf"
"Vascular tissue",0,5,1,"Fail","zea_mays","Leaf"
"Bundle sheath",1,7,0.159415311515963,"Fail","zea_mays","Leaf"
"Bundle sheath cell",1,0,1,"Fail","zea_mays","Leaf"
"Contamination",1,1,1,"Fail","zea_mays","Leaf"
"G2/M phase",1,0,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",1,0,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",1,2,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",1,0,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",1,0,1,"Fail","zea_mays","Leaf"
"Leaf primordium",1,0,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",1,0,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",1,1,1,"Fail","zea_mays","Leaf"
"Meristemoid",1,0,1,"Fail","zea_mays","Leaf"
"Mesophyll",1,7,0.317859458066344,"Fail","zea_mays","Leaf"
"Mesophyll cell",1,1,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",1,0,1,"Fail","zea_mays","Leaf"
"Pavement cell-N",1,0,1,"Fail","zea_mays","Leaf"
"S phase",1,8,5.50419681384342e-07,"Reject","zea_mays","Leaf"
"Subsidiary cell",1,0,1,"Fail","zea_mays","Leaf"
"Vascular tissue",1,0,1,"Fail","zea_mays","Leaf"
"Bundle sheath",2,12,1,"Fail","zea_mays","Leaf"
"Bundle sheath cell",2,4,1,"Fail","zea_mays","Leaf"
"Contamination",2,16,1,"Fail","zea_mays","Leaf"
"G2/M phase",2,5,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",2,4,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",2,3,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",2,5,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",2,7,1,"Fail","zea_mays","Leaf"
"Leaf primordium",2,1,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",2,4,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",2,6,1,"Fail","zea_mays","Leaf"
"Meristemoid",2,6,1,"Fail","zea_mays","Leaf"
"Mesophyll",2,9,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",2,1,1,"Fail","zea_mays","Leaf"
