"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Companion cell",0,12,0.707697548996756,"Fail","zea_mays","Root"
"Early stele",0,5,1,"Fail","zea_mays","Root"
"Mature endodermis",0,5,1,"Fail","zea_mays","Root"
"Mature stele",0,5,0.734597602800927,"Fail","zea_mays","Root"
"Meristematic cell",0,12,0.378089611655117,"Fail","zea_mays","Root"
"Pericycle",0,3,1,"Fail","zea_mays","Root"
"Pericycle cell",0,4,1,"Fail","zea_mays","Root"
"Phloem",0,11,0.441057561251995,"Fail","zea_mays","Root"
"Protophloem",0,11,1,"Fail","zea_mays","Root"
"Root cap",0,14,0.378089611655117,"Fail","zea_mays","Root"
"Root cortex",0,7,0.748220573345738,"Fail","zea_mays","Root"
"Root endodermis",0,2,1,"Fail","zea_mays","Root"
"Root epidermis",0,1,1,"Fail","zea_mays","Root"
"Root exodermis",0,10,1,"Fail","zea_mays","Root"
"Root hair",0,4,1,"Fail","zea_mays","Root"
"Root pith",0,9,0.453545815271402,"Fail","zea_mays","Root"
"Root stele",0,14,0.611901908777391,"Fail","zea_mays","Root"
"Stem cell niche",0,3,1,"Fail","zea_mays","Root"
"Xylem",0,3,1,"Fail","zea_mays","Root"
"Companion cell",1,4,1,"Fail","zea_mays","Root"
"Early stele",1,25,0.00181393468693079,"Reject","zea_mays","Root"
"Mature endodermis",1,0,1,"Fail","zea_mays","Root"
"Mature stele",1,0,1,"Fail","zea_mays","Root"
"Meristematic cell",1,6,1,"Fail","zea_mays","Root"
"Pericycle",1,66,8.73312766698629e-22,"Reject","zea_mays","Root"
"Pericycle cell",1,1,1,"Fail","zea_mays","Root"
"Phloem",1,0,1,"Fail","zea_mays","Root"
"Protophloem",1,24,0.911997373443893,"Fail","zea_mays","Root"
"Root cap",1,2,1,"Fail","zea_mays","Root"
"Root cortex",1,1,1,"Fail","zea_mays","Root"
"Root endodermis",1,31,1.44476004218169e-06,"Reject","zea_mays","Root"
"Root epidermis",1,6,1,"Fail","zea_mays","Root"
"Root exodermis",1,0,1,"Fail","zea_mays","Root"
"Root hair",1,0,1,"Fail","zea_mays","Root"
"Root pith",1,0,1,"Fail","zea_mays","Root"
"Root stele",1,53,1.2192331350347e-09,"Reject","zea_mays","Root"
"Stem cell niche",1,61,3.91492571381373e-16,"Reject","zea_mays","Root"
"Xylem",1,0,1,"Fail","zea_mays","Root"
"Companion cell",2,8,1,"Fail","zea_mays","Root"
"Early stele",2,6,1,"Fail","zea_mays","Root"
"Mature endodermis",2,4,1,"Fail","zea_mays","Root"
"Mature stele",2,4,1,"Fail","zea_mays","Root"
"Meristematic cell",2,2,1,"Fail","zea_mays","Root"
"Pericycle",2,2,1,"Fail","zea_mays","Root"
"Pericycle cell",2,8,0.544186703843251,"Fail","zea_mays","Root"
"Phloem",2,5,1,"Fail","zea_mays","Root"
"Protophloem",2,15,0.477174126985165,"Fail","zea_mays","Root"
"Root cap",2,5,1,"Fail","zea_mays","Root"
"Root cortex",2,8,0.544186703843251,"Fail","zea_mays","Root"
