"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"G2/M phase",0,1,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",0,7,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",0,3,1,"Fail","zea_mays","Shoot axis apex"
"S phase",0,2,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",0,17,0.288840693580899,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",0,4,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",0,14,0.479692321255622,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",1,0,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",1,1,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",1,8,0.00125522157579441,"Reject","zea_mays","Shoot axis apex"
"S phase",1,8,0.0168284534591879,"Reject","zea_mays","Shoot axis apex"
"Shoot apical meristem",1,1,1,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",1,0,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",1,0,1,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",2,4,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",2,16,0.0390369538615003,"Reject","zea_mays","Shoot axis apex"
"Leaf rim",2,1,1,"Fail","zea_mays","Shoot axis apex"
"S phase",2,4,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",2,11,1,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",2,3,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",2,6,1,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",3,0,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",3,6,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",3,3,1,"Fail","zea_mays","Shoot axis apex"
"S phase",3,1,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",3,10,0.772814309049128,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",3,4,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",3,6,1,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",4,3,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",4,4,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",4,6,0.932438310055472,"Fail","zea_mays","Shoot axis apex"
"S phase",4,3,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",4,11,1,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",4,5,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",4,13,0.542566729080404,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",5,0,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",5,7,0.932438310055472,"Fail","zea_mays","Shoot axis apex"
