"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"GLYMA_15G210100","OG0000454",3.5152,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_15G210100","OG0000454",3.5152,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G242900","OG0011569",3.1358,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G242900","OG0011569",3.1358,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G242900","OG0011569",2.7997,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G154300","OG0011569",2.1883,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G154300","OG0011569",2.1883,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G221100","OG0006885",1.9324,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G221100","OG0006885",1.9324,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_15G210100","OG0000454",1.9324,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_02G149900","OG0003734",1.8443,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_02G149900","OG0003734",1.8443,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G090200","OG0003663",1.6634,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G090200","OG0003663",1.6634,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_03G149900","OG0003734",1.6593,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_03G149900","OG0003734",1.6593,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G154300","OG0011569",1.6276,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_18G096400","OG0000760",1.5699,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_18G107900","OG0000145",1.5691,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_18G107900","OG0000145",1.5691,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G032800","OG0000104",1.4481,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G032800","OG0000104",1.4481,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_13G264600","OG0000454",1.446,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_04G012700","OG0000447",1.4083,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_11G117600","OG0000447",1.3807,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G221100","OG0006885",1.3679,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_02G149900","OG0003734",1.3623,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_06G070700","OG0001874",1.3339,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_10G023900","OG0003734",1.3228,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_10G023900","OG0003734",1.3228,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_08G361500","OG0000145",1.3203,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_08G361500","OG0000145",1.3203,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_11G114100","OG0000443",1.2971,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_11G114100","OG0000443",1.2971,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_19G152900","OG0003734",1.297,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_19G152900","OG0003734",1.297,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_11G117400","OG0000447",1.2939,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_11G117400","OG0000447",1.2939,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_03G149900","OG0003734",1.291,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G040000","OG0000443",1.2681,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_12G040000","OG0000443",1.2681,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_02G291500","OG0000760",1.2542,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"GLYMA_02G291500","OG0000760",1.2542,"Companion cell","reference","Companion cell",4,"glycine_max","Leaf"
"Potri_001G230000","OG0000145",0.472559476555368,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_001G383600","OG0000454",2.19808846252347,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_003G136200","OG0000104",0.319459717735595,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_004G155300","OG0000447",0.26258800652013,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_004G175000","OG0000104",4.06479584154717,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_005G241500","OG0000443",4.3210630265541,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_006G236000","OG0003663",1.88254053789487,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_010G151700","OG0000760",3.60963061207045,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_011G118900","OG0011569",3.69487261171085,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_014G137700","OG0003734",1.50039335527686,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_015G023300","OG0000104",0.64486352217785,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_015G120200","OG0006885",4.02276961846652,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_016G138900","OG0000104",0.411999383582833,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_018G030700","OG0001874",0.253632268770037,"4","query","Companion cell",4,"glycine_max","Leaf"
"Potri_019G131400","OG0000104",0.319280376964991,"4","query","Companion cell",4,"glycine_max","Leaf"
"GLYMA_04G251000","OG0000287",1.8525,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_16G173700","OG0001127",1.8263,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_16G173700","OG0001127",1.8263,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_11G142900","OG0000800",1.8179,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_03G172900","OG0000287",1.7294,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_03G172900","OG0000287",1.7294,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_09G127000","OG0001127",1.4938,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_09G127000","OG0001127",1.4938,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_12G066000","OG0000800",1.4772,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_12G066000","OG0000800",1.4772,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_13G077800","OG0000287",1.4551,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_15G245800","OG0000145",1.3316,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_15G245800","OG0000145",1.3316,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_09G099500","OG0002890",1.2911,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_09G099500","OG0002890",1.2911,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_11G142900","OG0000800",1.2741,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_14G151600","OG0000287",1.2081,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_13G085100","OG0000431",1.1755,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_13G085100","OG0000431",1.1755,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_13G099600","OG0003977",1.1725,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_13G099600","OG0003977",1.1725,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_18G109100","OG0000145",1.1365,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
"GLYMA_14G167000","OG0000431",1.1288,"Leaf vascular system","reference","Leaf vascular system",0,"glycine_max","Leaf"
