"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Zm00001d022180","OG0001458",1.1548688121851,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d019147","OG0003453",1.05058699079732,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d007824","OG0003067",1.03796153227447,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d003896","OG0002508",0.948995484663795,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d037111","OG0003171",0.941303326998112,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d044664","OG0002913",0.917759824929002,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d036570","OG0003485",0.871449408746384,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d042966","OG0002028",0.846564460829808,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d053635","OG0001937",0.846508729916955,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d046449","OG0000249",0.839098274898352,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d030691","OG0002814",0.835912760372649,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d041568","OG0002814",0.835517190015075,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d021061","OG0002156",0.832547497886355,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d022463","OG0001929",0.82507158360862,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d049830","OG0001029",0.81730610905889,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d053863","OG0001869",0.815512658619213,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Zm00001d006899","OG0001458",0.794881709409415,"Determinate lateral organ","reference","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_001G034400","OG0001029",1.20941424991682,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_001G262100","OG0001937",1.15924767331294,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_001G304700","OG0002913",1.4097116773434,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_001G342500","OG0003485",1.22261281548933,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_003G085100","OG0001869",1.14872045182591,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_004G113800","OG0002156",1.15415203220034,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
"Potri_005G072700","OG0001458",1.39270957358798,"1","query","Determinate lateral organ",1,"zea_mays","Ear inflorescence"
