"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Solyc09g010800","OG0000950",3.557,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g058150","OG0000950",3.365,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g040210","OG0011418",2.8644,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc03g112220","OG0012706",2.4467,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g111170","OG0000387",1.8683,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g106310","OG0006328",1.7204,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g106310","OG0006328",1.7204,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g031740","OG0006885",1.2194,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g099370","OG0000923",0.9839,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g083570","OG0000104",0.9009,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g083570","OG0000104",0.9009,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc11g005670","OG0000288",0.8062,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc12g013830","OG0011569",0.7914,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc11g007200","OG0000252",0.7717,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc07g064620","OG0000760",0.7678,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc08g075370","OG0004333",0.7405,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g081450","OG0004333",0.7394,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc06g007510","OG0000104",0.7196,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g010050","OG0001408",0.7084,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g010050","OG0001408",0.7084,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g077050","OG0003663",0.6611,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc07g049360","OG0002135",0.6418,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc03g112210","OG0012706",0.6266,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc01g009860","OG0001658",0.5798,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g077010","OG0010245",0.5645,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g081190","OG0000893",0.5549,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g080850","OG0002445",0.5458,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc09g098310","OG0003095",0.4964,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g082700","OG0001390",0.4903,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc05g055310","OG0000252",0.4489,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc10g011740","OG0000104",0.4484,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc11g072240","OG0000174",0.4397,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc09g098300","OG0003095",0.4341,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc09g098300","OG0003095",0.4341,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc04g081460","OG0005329",0.4203,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc09g059970","OG0002135",0.4164,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc11g010500","OG0002238",0.4147,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc08g066110","OG0000965",0.4048,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Solyc02g065010","OG0001329",0.3443,"Leaf trichome","reference","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_001G061200","OG0001658",0.780510614202398,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_001G222200","OG0000174",0.466381978426476,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_001G239650","OG0000950",3.93409770729587,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_002G021500","OG0000387",0.898143647861763,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_002G022100","OG0005329",4.56471402001122,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_002G030000","OG0002445",1.04458910540563,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_002G104400","OG0002238",0.555398708777095,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_002G111700","OG0010245",2.9204380583559,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_003G136200","OG0000104",0.319459717735595,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_003G166500","OG0001658",1.51371501690946,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_004G106800","OG0001408",1.17630116537734,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_004G175000","OG0000104",4.06479584154717,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_005G240200","OG0000387",2.09601037603305,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_005G252600","OG0001390",0.363102884647557,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_006G043300","OG0011418",3.95301476206324,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_006G235200","OG0000965",0.685257458442129,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_006G236000","OG0003663",1.88254053789487,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_007G123300","OG0000288",0.266665035731435,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
"Potri_009G021500","OG0000174",0.449250082805121,"4","query","Leaf trichome",4,"solanum_lycopersicum","Leaf"
