"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT5G47350","OG0002059",2.0773,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G61720","OG0001538",1.9418,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT4G22880","OG0008579",1.9172,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT5G05270","OG0010263",1.7353,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT5G42800","OG0004970",1.6006,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT5G13930","OG0000261",1.5964,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G30810","OG0000665",1.5502,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G17710","OG0009463",1.4912,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G06550","OG0008275",1.3747,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G29550","OG0000155",1.2773,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT3G55120","OG0006035",1.2716,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT3G55120","OG0006035",1.2716,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G23910","OG0002768",1.245,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT5G07990","OG0004659",1.1907,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G30490","OG0002557",1.1451,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT4G30470","OG0002768",1.1334,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT4G30470","OG0002768",1.1334,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G30690","OG0000551",1.0953,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G30690","OG0000551",1.0953,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G65060","OG0000892",1.0866,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G65060","OG0000892",1.0866,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G79840","OG0005882",1.0449,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G79840","OG0005882",1.0449,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G37040","OG0000362",1.0233,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT2G37040","OG0000362",1.0233,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT4G34590","OG0000342",0.9403,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT4G34590","OG0000342",0.9403,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT3G52930","OG0001525",0.9143,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"AT1G36160","OG0004782",0.8773,"Dividing protoderm","reference","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_001G051500","OG0000261",2.02408572379485,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_001G051600","OG0000261",2.00840412762677,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_001G113100","OG0008579",2.08782935894182,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_001G140700","OG0002768",2.21771626099547,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_001G461400","OG0000551",1.22296592331677,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_002G033600","OG0004970",2.23856274507019,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_002G057700","OG0008275",1.96574236068354,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_002G092700","OG0004782",2.05892048453269,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_002G137200","OG0002059",1.67398705116393,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_003G052400","OG0005882",1.1844845207257,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_003G119100","OG0008579",2.00951214843316,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_003G176800","OG0000261",2.21434535243399,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_003G176900","OG0000261",2.26259441358006,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_004G030700","OG0001538",1.98882730966768,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_005G107800","OG0009463",1.39638785903631,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
"Potri_005G229500","OG0004970",1.54173214664044,"2","query","Dividing protoderm",2,"arabidopsis_thaliana","Seed"
