"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Os03g0119900","OG0000127",1.11262831984207,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os01g0191100","OG0001753",0.789173529360896,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os08g0129200","OG0001031",0.749696327297793,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os08g0116500","OG0002545",0.685953570337924,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os01g0835900","OG0000127",0.680511484497254,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0807800","OG0003453",0.674508438258416,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0424500","OG0002966",0.673338108842858,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0139100","OG0001602",0.669365211912695,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os07g0622100","OG0001458",0.656360249822579,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os07g0180900","OG0003067",0.651511211890983,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os11g0168200","OG0001653",0.644956854904188,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os09g0507800","OG0002156",0.641704587297906,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os08g0130500","OG0003973",0.640567211546792,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0577000","OG0002506",0.638286473199199,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0200500","OG0002691",0.630526803558122,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os09g0501200","OG0001840",0.62709988564239,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os02g0814700","OG0001602",0.62249890383544,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os01g0328400","OG0002753",0.619067731340161,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os01g0896700","OG0002567",0.61050677197687,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os09g0485900","OG0002674",0.60552439331256,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os04g0376000","OG0002310",0.597181967465682,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os06g0115500","OG0002273",0.595112286516768,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os12g0567700","OG0002814",0.593395270778902,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0154700","OG0002034",0.593242250668365,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os03g0177900","OG0000249",0.592659814685356,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
"Os12g0167900","OG0001653",0.592128005208896,"Meristematic cell","reference","Meristematic cell",1,"oryza_sativa","Root"
