"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Epidermis",0,8,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",0,9,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",0,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",0,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",0,11,0.0842156153958472,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",0,11,0.635684694133809,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",0,8,0.662341860800461,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",0,8,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",0,9,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Procambium",0,11,0.552700487625258,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",0,6,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",0,6,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",0,7,0.186213707908304,"Fail","oryza_sativa","Root;Leaf"
"Xylem",0,6,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",1,1,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",1,81,1.75516110329258e-38,"Reject","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",1,85,1.47769716733481e-40,"Reject","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",1,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",1,48,8.11236293791902e-07,"Reject","oryza_sativa","Root;Leaf"
"Phloem",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",1,2,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",1,1,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",1,0,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",2,22,0.546280860997722,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",2,11,0.925040190717534,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",2,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",2,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",2,11,0.552700487625258,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",2,10,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",2,5,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",2,15,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",2,8,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",2,10,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",2,27,0.0938668535258094,"Fail","oryza_sativa","Root;Leaf"
"Root stele",2,4,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",2,4,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",2,30,0.012103671986366,"Reject","oryza_sativa","Root;Leaf"
"Epidermis",3,11,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",3,2,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",3,2,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",3,1,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",3,7,0.869103420502812,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",3,16,0.0870063994123186,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",3,16,0.00310858765561165,"Reject","oryza_sativa","Root;Leaf"
"Pericycle",3,5,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",3,5,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",3,19,0.0040919623270208,"Reject","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",3,7,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",3,11,0.182800959059982,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",3,8,0.0942463440954953,"Fail","oryza_sativa","Root;Leaf"
