"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT3G15353","OG0011569",4.38371841414889,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G22090","OG0003137",4.14122685538374,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G16740","OG0000104",4.06543623020446,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT3G56240","OG0000252",3.7923138663937,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G62380","OG0000893",3.66639993690831,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G42980","OG0002445",3.63834682619717,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G09220","OG0000245",3.51669776728661,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G69410","OG0001024",3.49274086635889,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G38740","OG0000387",3.47189549785322,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G04080","OG0011418",3.46309520792681,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G63850","OG0000245",3.40401836276007,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G18170","OG0001015",2.79519493103745,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G27030","OG0000174",2.77606096307549,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G54940","OG0000760",2.58910129526617,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G40370","OG0004384",2.51182018781314,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G02380","OG0000950",2.46913208932063,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G66200","OG0000410",2.42723339655312,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G17650","OG0004333",2.31081504714156,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G27960","OG0000104",2.30399677774693,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G75820","OG0000443",2.18507964192887,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G31200","OG0003343",2.14319912570381,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G16890","OG0002185",2.11121010935644,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G31770","OG0006697",1.98896124683517,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT3G02470","OG0001408",1.98777579602418,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G34870","OG0000387",1.96363003781508,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G77710","OG0008448",1.95649880442861,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G14710","OG0002594",1.94365192855145,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G21060","OG0001031",1.79887118787496,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT3G57870","OG0002130",1.79788860203995,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G10380","OG0013315",1.75075308776371,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G35680","OG0003166",1.7315667677194,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT3G03910","OG0001015",1.68638063832096,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G27690","OG0000252",1.68144301071608,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G75390","OG0000342",1.66188444193442,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G44100","OG0000245",1.65719914162679,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G15950","OG0001408",1.62080637462242,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G56150","OG0000104",1.61984939849998,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G42146","OG0005329",1.59154908815276,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G16470","OG0007710",1.56612940478874,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G29350","OG0000965",1.54233608188056,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G13180","OG0001658",1.54132791085095,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G78580","OG0000454",1.5370017801926,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G33770","OG0001697",1.47988779343398,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G49660","OG0010245",1.41141525774565,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G16600","OG0000387",1.3930991629481,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G58360","OG0003663",1.31225222839796,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G27970","OG0002405",1.30577529607646,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G26840","OG0002135",1.24929730284489,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G56600","OG0000965",1.2010897309678,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT5G20010","OG0001874",1.20056518013964,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT1G13360","OG0002534",1.17102432406195,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT4G02940","OG0003734",1.17013418092483,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"AT2G21660","OG0000447",1.10159936892881,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G057500","OG0002405",0.260659232362747,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G061200","OG0001658",0.780510614202398,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G216000","OG0003137",2.5185754948715,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G222200","OG0000174",0.466381978426476,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G239650","OG0000950",3.93409770729587,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G347700","OG0004384",0.35553114868766,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G383600","OG0000454",2.19808846252347,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_001G392500","OG0002185",0.36341575699612,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G021500","OG0000387",0.898143647861763,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G022100","OG0005329",4.56471402001122,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G030000","OG0002445",1.04458910540563,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G038800","OG0003343",1.00247946788078,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G079400","OG0000245",3.25347046117182,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G087200","OG0008448",0.784765017985165,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_002G111700","OG0010245",2.9204380583559,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_003G136200","OG0000104",0.319459717735595,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_003G166500","OG0001658",1.51371501690946,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_004G085400","OG0000410",3.67631846465322,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_004G106800","OG0001408",1.17630116537734,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
"Potri_004G155300","OG0000447",0.26258800652013,"4","query","Companion cell",4,"arabidopsis_thaliana","Shoot axis apex"
