"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Solyc03g020010","OG0000108",2.70290300829725,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc01g080010","OG0001258",2.43388943407519,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc08g080630","OG0000115",2.3865357238982,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc05g007950","OG0002580",2.30346598856873,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc05g007940","OG0002580",2.2355002054619,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc06g060760","OG0002150",1.99863830848472,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc03g098740","OG0000108",1.82899387862439,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc03g098730","OG0000108",1.54898366174888,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc02g083280","OG0006319",1.39349975767737,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc09g010800","OG0000950",1.37178688631872,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc05g006390","OG0004251",1.22303835971044,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc05g007770","OG0000062",1.21821054043943,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc03g116530","OG0000664",1.16899683743237,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc08g078820","OG0000412",1.10690114088814,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc12g088670","OG0000731",1.07210440991485,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc10g076600","OG0005047",1.02411956923127,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc02g084240","OG0000559",0.92487957047297,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc08g080940","OG0000330",0.917941327728751,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc02g083390","OG0001278",0.884168107270835,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc01g103590","OG0000664",0.873815466859658,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc02g078320","OG0000418",0.853322510766359,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc12g056590","OG0006505",0.712410391701304,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Solyc06g076140","OG0000950",0.63898312740398,"Leaf marginal meristem","reference","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_001G105200","OG0000330",1.34354843450103,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_001G171600","OG0000664",3.26812733715584,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_001G186700","OG0002150",0.698988868518564,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_002G054900","OG0001258",1.58589489981197,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_002G081000","OG0000062",1.02426301899507,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_002G144600","OG0000412",1.56437706841664,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_003G062400","OG0000664",1.43988205415083,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_004G067900","OG0000108",0.689323058952712,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_005G069500","OG0000062",0.889298036513664,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_005G106400","OG0006319",2.79560614175504,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_005G108000","OG0001278",1.54195661375024,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
"Potri_005G195000","OG0006505",1.12583884519835,"3","query","Leaf marginal meristem",3,"solanum_lycopersicum","Shoot axis apex"
