"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"AT3G15353","OG0011569",Inf,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G15353","OG0011569",Inf,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G02380","OG0000950",Inf,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G42980","OG0002445",Inf,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G42980","OG0002445",Inf,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G42980","OG0002445",686.81014119757,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G38740","OG0000387",637.612058415222,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G02380","OG0000950",368.793728193556,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G15353","OG0011569",334.271156379004,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT2G27030","OG0000174",317.277132489725,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G42980","OG0002445",266.260530396893,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G22090","OG0003137",264.854824019233,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G38740","OG0000387",263.774449016566,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G38740","OG0000387",240.814482217448,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G09220","OG0000245",199.475747406589,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G73040","OG0009674",165.832028030713,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G26840","OG0002135",151.367389678265,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G34870","OG0000387",126.389632904137,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT2G16740","OG0000104",117.760048628452,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G34870","OG0000387",95.1556753956587,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G02470","OG0001408",92.216893005885,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G69410","OG0001024",90.7938649425885,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G22090","OG0003137",89.0449600752314,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G10625","OG0001216",82.2218960111906,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT2G16600","OG0000387",82.1180277226359,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G09220","OG0000245",79.4811574814069,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G11570","OG0002405",76.3472475561237,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G34870","OG0000387",71.2280371992262,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G69410","OG0001024",70.576467392605,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G57870","OG0002130",65.0481700179158,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT2G16740","OG0000104",63.6156175221809,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G02470","OG0001408",60.5248777967472,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G04080","OG0011418",59.2476928413999,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G40370","OG0004384",56.4875388237543,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT2G21660","OG0000447",56.2196131620928,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G77710","OG0008448",54.7066413248665,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G02470","OG0001408",50.6118696087464,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G69410","OG0001024",49.9197954120655,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G13180","OG0001658",48.9355504895066,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G22090","OG0003137",44.9135202284092,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G15950","OG0001408",44.5438669792532,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G05050","OG0000288",43.7595260577656,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G63850","OG0000245",41.5645820429497,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G54940","OG0000760",39.7432928638878,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G17650","OG0004333",38.879024865662,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G35680","OG0003166",38.5964320063905,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G77710","OG0008448",37.44965751013,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G09390","OG0000950",34.8566994377111,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT4G39260","OG0000447",34.6594628270214,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT3G57870","OG0002130",34.5734794847386,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT1G10380","OG0013315",34.1137453591277,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"AT5G18170","OG0001015",34.0805524381026,"Companion cell","reference","Companion cell",4,"arabidopsis_thaliana","Leaf"
"Potri_001G057500","OG0002405",0.260659232362747,"4","query","Companion cell",4,"arabidopsis_thaliana","Leaf"
"Potri_001G061200","OG0001658",0.780510614202398,"4","query","Companion cell",4,"arabidopsis_thaliana","Leaf"
"Potri_001G216000","OG0003137",2.5185754948715,"4","query","Companion cell",4,"arabidopsis_thaliana","Leaf"
"Potri_001G222200","OG0000174",0.466381978426476,"4","query","Companion cell",4,"arabidopsis_thaliana","Leaf"
"Potri_001G239650","OG0000950",3.93409770729587,"4","query","Companion cell",4,"arabidopsis_thaliana","Leaf"
