"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Ghir_D03G013060","OG0000366",3.6922,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A09G007260","OG0004709",3.3531,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D01G011230","OG0001085",3.2279,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D01G011230","OG0001085",3.2279,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D09G007000","OG0004709",3.1901,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A10G003260","OG0006636",2.8872,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A07G022110","OG0000049",2.8193,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A08G005110","OG0000049",2.7349,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D11G033280","OG0000701",2.7326,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D11G033280","OG0000701",2.7326,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D10G004060","OG0006636",2.6816,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D07G004340","OG0000049",2.4562,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A12G025920","OG0000148",2.3595,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A10G018240","OG0002557",2.3005,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D08G005230","OG0000049",2.2976,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D05G001110","OG0000049",2.2302,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A07G004300","OG0000049",2.1882,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A03G002220","OG0000351",2.1567,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D07G022200","OG0000049",2.1221,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D07G022200","OG0000049",2.1221,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A05G012340","OG0001882",1.9946,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A10G012960","OG0004944",1.9873,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D13G025600","OG0002557",1.9327,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A03G020240","OG0005279",1.9005,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_D10G022670","OG0000362",1.8639,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A01G005740","OG0001967",1.8619,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A05G012150","OG0000501",1.8378,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A04G002450","OG0000233",1.7873,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A12G013070","OG0000372",1.7555,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A05G029780","OG0001194",1.7534,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
"Ghir_A07G020320","OG0003220",1.7127,"Guard cell","reference","Guard cell",10,"gossypium_hirsutum","Leaf"
