"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"MtrunA17Chr3g0135321","OG0000465",1.8585,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr1g0185251","OG0008928",1.6086,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr2g0299161","OG0000214",1.6079,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr2g0286721","OG0001489",1.5426,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0437861","OG0012046",1.2705,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr8g0342001","OG0000214",1.2315,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0029681","OG0009509",1.1799,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr7g0251681","OG0003832",1.1584,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0064311","OG0006355",1.1324,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0430381","OG0001344",1.0337,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr8g0341281","OG0001310",1.0123,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr8g0373631","OG0001613",0.9923,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0427341","OG0002391",0.9881,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0057571","OG0004359",0.9778,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr1g0180631","OG0001343",0.9772,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr7g0244521","OG0000349",0.9451,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr2g0281901","OG0002242",0.9114,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0047221","OG0001919",0.8846,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr7g0253311","OG0001015",0.8838,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0057791","OG0000815",0.8623,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr2g0278581","OG0003725",0.851,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0411151","OG0001297",0.841,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr1g0153011","OG0000731",0.8352,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0423001","OG0005877",0.8051,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr8g0389751","OG0002392",0.7653,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr8g0389751","OG0002392",0.7653,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0075801","OG0006200",0.7591,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0064941","OG0001714",0.753,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr6g0451281","OG0002502",0.7267,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr6g0451281","OG0002502",0.7267,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0073241","OG0002693",0.6868,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0073241","OG0002693",0.6868,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0047231","OG0001919",0.6838,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr4g0047231","OG0001919",0.6838,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr5g0406251","OG0000678",0.6817,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr3g0139011","OG0003616",0.6522,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr3g0105311","OG0001344",0.6392,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"MtrunA17Chr3g0105311","OG0001344",0.6392,"Cortex","reference","Cortex",3,"medicago_truncatula","Root"
"Potri_001G141500","OG0001297",0.916785137610565,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_001G190700","OG0002392",2.34442930592806,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_001G403000","OG0002242",2.91918261272557,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_002G113600","OG0000465",2.72615008848868,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_004G040600","OG0002242",2.13351607795865,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_005G156600","OG0002391",2.23177636564125,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_005G191400","OG0003725",2.24187629537258,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_005G213300","OG0008928",2.68441082055327,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G013900","OG0006200",2.45900197597261,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G061700","OG0001714",1.14898981678716,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G065700","OG0006355",1.71130559450774,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G124800","OG0001343",0.711356529636379,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G144500","OG0000214",2.99793749896806,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G177700","OG0002693",2.94014142878586,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_006G273100","OG0003616",1.28260187112625,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_007G031400","OG0001613",2.30637680158538,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_008G074600","OG0012046",1.33024982817479,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_008G106400","OG0002502",0.963083109779371,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_009G011700","OG0009509",2.10292925061171,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_009G072900","OG0001344",1.61914088279091,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_009G098100","OG0000731",1.61698051352714,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_009G139400","OG0000678",2.24594048686777,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_010G026500","OG0001489",1.93607702846566,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_010G126700","OG0005877",1.12501117675939,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_011G049900","OG0002242",2.53062697467332,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_011G053300","OG0001919",3.33492877499281,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_012G094600","OG0000815",0.727336473644826,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_013G058300","OG0001015",1.53321570683715,"3","query","Cortex",3,"medicago_truncatula","Root"
"Potri_015G094700","OG0004359",1.26603586692147,"3","query","Cortex",3,"medicago_truncatula","Root"
