"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Zm00001d000168","OG0001623",3.98765554306402,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d013268","OG0000213",2.91617275561496,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d003172","OG0003016",2.12164950589858,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d014419","OG0004936",1.78030500558013,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d052323","OG0002561",1.77834982990588,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d013566","OG0009182",1.68202215422948,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d012560","OG0001969",1.64934133265207,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d023810","OG0000296",1.64255869315201,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d051542","OG0006787",1.63129082321167,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d043164","OG0001969",1.47807945164882,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d048055","OG0001520",1.37369685079147,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d046995","OG0000551",1.37358278021915,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d016082","OG0008585",1.31377648401674,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d048394","OG0008090",0.773603719848931,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d027295","OG0000155",0.754626427381777,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d013159","OG0000225",0.618150657106656,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d018107","OG0000303",0.53909371019701,"G2/M phase","reference","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G093700","OG0008585",4.32661731721014,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G246900","OG0000155",1.98673257426559,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G264000","OG0006787",3.70662516896942,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G272000","OG0001969",4.58609717426729,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G289500","OG0000225",1.44017303853158,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_001G461400","OG0000551",1.34175419109952,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_002G098600","OG0000303",1.24905727258862,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_002G111900","OG0000225",1.8197608791711,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_004G086400","OG0001520",3.27786765459395,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_005G114100","OG0004936",4.71679302178668,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_006G035200","OG0001969",4.57024702377097,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_007G057800","OG0004936",4.76137585157402,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_008G078000","OG0003016",4.46301941996843,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G004000","OG0008090",1.70020029788126,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G040200","OG0000155",3.92951715411372,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G058900","OG0006787",3.48871070606361,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G067100","OG0000155",0.860176039278383,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G084400","OG0009182",4.46618477837491,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_009G153900","OG0000213",2.48401086019442,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_010G179300","OG0003016",4.52203969969442,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_010G183400","OG0002561",4.40667815356271,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_013G048900","OG0001623",5.4651590804199,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_013G127900","OG0003016",3.98750905143713,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_014G125100","OG0000296",4.3133728853658,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_016G033000","OG0001969",4.75065404628877,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_016G033200","OG0000155",0.949389170976283,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_016G126300","OG0002561",4.32573963685533,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_017G081000","OG0000225",3.65953010056387,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Potri_019G021800","OG0001623",5.7121466929819,"8","query","G2/M phase",8,"zea_mays","Leaf"
"Zm00001d044122","OG0004970",4.61735573750262,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d001960","OG0006442",4.23932535131518,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d052673","OG0000261",3.56904351796733,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d009127","OG0002129",3.11172235961624,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d022546","OG0011461",3.10304835137378,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d017274","OG0000362",2.9556489842457,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d014294","OG0004782",2.59066351543639,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
"Zm00001d034519","OG0001151",2.40813266653667,"Pavement cell-A","reference","Pavement cell-A",2,"zea_mays","Leaf"
