"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"MANES_07G063600","OG0005279",3.6998,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_07G063600","OG0005279",3.6998,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G032900","OG0001242",3.02,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G032900","OG0001242",3.02,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_17G031200","OG0000233",2.8781,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G080600","OG0000233",2.7143,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_09G140700","OG0007269",2.683,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_03G119600","OG0000233",2.4725,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_05G200200","OG0000155",2.0902,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G006000","OG0004709",2.022,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G006000","OG0004709",2.022,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_S074300","OG0003220",2.0181,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_08G005900","OG0000462",2.0048,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_08G112000","OG0005113",1.9168,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G043700","OG0002116",1.899,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_03G044400","OG0000524",1.8592,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G057000","OG0004274",1.8423,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_01G097900","OG0000636",1.8395,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G165400","OG0000723",1.8372,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G165400","OG0000723",1.8372,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G132500","OG0001242",1.8124,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G132500","OG0001242",1.8124,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_07G089100","OG0000252",1.7801,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G143700","OG0000462",1.7483,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G133300","OG0000306",1.7319,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_05G147000","OG0000155",1.6741,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_05G147000","OG0000155",1.6741,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G019600","OG0000561",1.6698,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_06G147900","OG0000155",1.6466,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_16G090600","OG0000524",1.4986,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_02G136200","OG0000155",1.4832,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G065500","OG0001882",1.4822,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_10G087300","OG0000225",1.4737,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_07G056600","OG0000225",1.4292,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_08G061700","OG0000155",1.3855,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_17G103900","OG0013225",1.3482,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_17G051400","OG0000106",1.3349,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G073300","OG0000415",1.3183,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_10G073000","OG0005279",1.3157,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_10G032500","OG0001242",1.3151,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_10G087200","OG0000225",1.2632,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_16G042100","OG0006636",1.2376,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_16G042100","OG0006636",1.2376,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_03G113500","OG0001967",1.0982,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_07G135500","OG0001088",1.0927,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G031900","OG0000306",1.0796,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_04G031700","OG0000306",1.0743,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_06G016900","OG0001940",1.0637,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_09G095800","OG0005495",1.0562,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_05G195100","OG0004709",0.9802,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_12G060500","OG0003220",0.9464,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_08G036500","OG0002090",0.9448,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_08G011500","OG0000372",0.9364,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_01G061400","OG0000155",0.9172,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_01G061400","OG0000155",0.9172,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_16G037300","OG0001636",0.8976,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_10G047600","OG0004826",0.8694,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_13G120000","OG0002343",0.8257,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G085100","OG0001967",0.7826,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_13G119600","OG0004653",0.7726,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_15G056800","OG0004944",0.7605,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_13G038000","OG0000049",0.7567,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"MANES_13G038000","OG0000049",0.7567,"Metaxylem","reference","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G004100","OG0007269",0.929313695507516,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G236400","OG0000306",0.321490464855211,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G237200","OG0001242",3.49170715624758,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G297466","OG0005279",1.7635869141339,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G320400","OG0004944",0.843870905285913,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G320500","OG0004274",0.798389934860149,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G332200","OG0013225",5.09916964476371,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_001G403600","OG0001967",1.39448508704786,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_002G111900","OG0000225",2.52726816429848,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_002G257900","OG0000049",5.54377996179628,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_003G151700","OG0001940",1.62490601069191,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_003G181400","OG0001882",0.491516127272915,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_004G059600","OG0006636",5.5509885343518,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_004G211900","OG0000561",5.39076731734859,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_005G015100","OG0005113",0.466619971068031,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_005G141300","OG0002343",2.64924515356382,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_006G129200","OG0000462",4.96945969332919,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_006G136700","OG0000524",1.48873223928457,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_006G200300","OG0002090",0.927353466605678,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_007G047500","OG0004653",2.76490384440137,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_008G012400","OG0002090",1.14618445977045,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_008G023800","OG0000252",0.763839826108855,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_008G038100","OG0004826",0.724143299081983,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_008G073700","OG0001088",4.21903966292447,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_008G099300","OG0000372",1.24364708562763,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_009G085100","OG0000225",0.483547128850156,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_009G092300","OG0005279",3.2969151586999,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_010G141600","OG0004709",5.32838984847065,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_010G207200","OG0001242",2.47845789424427,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_011G033100","OG0000233",0.259406859587612,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_011G061500","OG0000106",3.90814398848302,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_011G069600","OG0006636",5.27870992503513,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_011G122700","OG0001967",1.94960829290374,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_013G004100","OG0000372",1.51778745142947,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_013G009500","OG0005113",0.276427667365882,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_014G114700","OG0000372",0.570968443667461,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_014G139900","OG0000415",1.73049759229367,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_014G162900","OG0003220",2.46329351830376,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_016G033200","OG0000155",0.972438887263088,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_016G071500","OG0000723",0.515183723337239,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_016G101900","OG0005495",1.45475463298187,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_017G029000","OG0002116",1.86660080844704,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_017G059300","OG0004944",1.64314116562109,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_017G059400","OG0004274",0.725672384009796,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_017G092000","OG0000636",1.03285980589402,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_018G063500","OG0000524",1.85109090708019,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_018G103900","OG0000049",5.47987028457321,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"Potri_019G090200","OG0001636",0.612600483371595,"10","query","Metaxylem",10,"manihot_esculenta","Root"
"MANES_11G137100","OG0000127",1.752,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_13G028100","OG0002753",1.6602,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_13G112100","OG0003177",1.6094,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_17G064800","OG0001840",1.5907,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_18G016500","OG0000052",1.5894,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_03G162900","OG0002863",1.5867,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_12G113600","OG0003177",1.5821,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_15G056500","OG0000910",1.5361,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_07G028600","OG0002913",1.5259,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_11G112000","OG0002494",1.5196,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_08G041300","OG0003312",1.5186,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_06G163300","OG0003453",1.5018,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_10G109900","OG0002913",1.4717,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_11G161800","OG0001825",1.4701,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_15G120500","OG0001771",1.4653,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_13G040500","OG0001602",1.4219,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_15G170900","OG0001869",1.4176,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_11G156700","OG0001757",1.4118,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_10G034000","OG0001506",1.3897,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_14G061400","OG0003090",1.3727,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_06G136900","OG0001953",1.3687,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
"MANES_09G053400","OG0000811",1.368,"Pericycle cell","reference","Pericycle cell",1,"manihot_esculenta","Root"
