"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Os05g0190300","OG0002284",4.91050694585212,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os05g0163300","OG0000462",4.21248955656594,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0159200","OG0000462",2.74512321844072,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os05g0190500","OG0002284",2.45168128908374,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os05g0189900","OG0002284",2.41364206083831,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0106400","OG0001085",2.28879421000786,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os08g0157500","OG0000148",2.24194413809687,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0750300","OG0006636",2.2415127155741,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os07g0462200","OG0001967",2.21348780409073,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0401300","OG0000524",2.03556014046422,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os02g0626100","OG0000362",1.95916043602401,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os09g0422500","OG0000049",1.84996989494533,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os10g0467800","OG0000049",1.80126100605497,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0278000","OG0001242",1.77453453960108,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os07g0645000","OG0003459",1.71076729641586,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0878900","OG0004467",1.70309210097014,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0726100","OG0000225",1.68613756631141,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os06g0178900","OG0000797",1.64213241416087,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0805900","OG0000155",1.62021254390274,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os08g0113100","OG0002116",1.57860731256413,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0282800","OG0000155",1.41250455446812,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os02g0625500","OG0004826",1.37754425591071,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os11g0247300","OG0000225",1.31619091725944,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0736300","OG0001940",1.30801292655524,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os12g0623900","OG0000701",1.277936977525,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0416200","OG0000182",1.22877590587809,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0817800","OG0002860",1.1834861431495,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os07g0687900","OG0000769",1.02233831744561,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0788600","OG0002090",0.976021443017603,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0143900","OG0005495",0.94667412451089,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os04g0613700","OG0005745",0.901125829210893,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os04g0653000","OG0005781",0.89697702005279,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os05g0135700","OG0000372",0.874713184922003,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os11g0455800","OG0004944",0.807635417664572,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os06g0506200","OG0000561",0.804606625001346,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os12g0443500","OG0000636",0.77854568024886,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os12g0624000","OG0000701",0.778296459088788,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os04g0492800","OG0001112",0.774843739386254,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0316200","OG0000769",0.767185866876341,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os02g0626400","OG0000362",0.760783884427673,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0149800","OG0000950",0.738023008108864,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0152000","OG0001343",0.714346508227326,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os05g0189300","OG0002284",0.706410275620338,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os02g0120800","OG0000106",0.690211792919962,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os01g0784800","OG0000233",0.689452080079626,"Epidermis","reference","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_001G191000","OG0002284",0.366108944472713,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_001G237200","OG0001242",3.49170715624758,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_001G320400","OG0004944",0.843870905285913,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_001G403600","OG0001967",1.39448508704786,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_002G034400","OG0001085",3.70383436209643,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_002G111900","OG0000225",2.52726816429848,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_002G257900","OG0000049",5.54377996179628,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_003G074700","OG0005745",3.05421777628569,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
