"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"TraesCSU02G021600","OG0002242",2.8124,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5A02G153900","OG0001344",2.6118,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS2D02G600100","OG0002242",2.1391,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5D02G159100","OG0001344",2.0497,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5D02G343000","OG0000678",1.8034,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS7A02G134100","OG0006355",1.7678,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS6D02G241200","OG0002392",1.7203,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS6B02G287700","OG0002392",1.6688,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS7A02G205200","OG0010365",1.6394,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5A02G338800","OG0000678",1.6041,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5A02G378900","OG0000118",1.4351,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS1B02G085100","OG0009509",1.4047,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS4B02G070300","OG0005030",1.3677,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS2D02G391700","OG0002392",1.3498,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS4D02G069100","OG0005030",1.3145,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS7D02G133500","OG0006355",1.2687,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS7A02G357800","OG0001310",1.2315,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS1D02G308200","OG0004570",1.1828,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS5B02G337300","OG0000678",1.1508,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS2A02G393800","OG0002392",1.1507,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
"TraesCS2A02G393800","OG0002392",1.1507,"Columella root cap cell","reference","Columella root cap cell",3,"triticum_aestivum","Root"
