"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"SORBI_3003G078200","OG0003177",2.1199,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3004G008400","OG0003269",2.0819,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G379500","OG0001458",2.0675,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3005G019700","OG0002913",2.0584,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G304900","OG0002829",2.0474,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G372400","OG0003090",2.0446,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3010G166100","OG0002518",2.0395,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G049300","OG0003259",2.0353,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3006G138100","OG0002599",2.0351,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3001G039400","OG0004054",2.0345,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3008G135000","OG0002814",2.0334,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G074200","OG0003453",2.0321,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3001G513500","OG0006316",2.0241,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3006G216600","OG0001653",2.0167,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3009G076400","OG0002663",2.0148,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3007G184600","OG0003282",2.0143,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3009G215200","OG0002556",2.0124,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3003G436700","OG0002830",2.0114,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3003G408100","OG0002273",2.0105,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3007G138700","OG0001849",2.0087,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3006G147000","OG0002863",2.006,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
"SORBI_3002G255300","OG0001840",2.0011,"Columella root cap cell","reference","Columella root cap cell",1,"sorghum_bicolor","Root"
