"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Solyc10g086090","OG0000115",3.81263138514931,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc10g086100","OG0000115",3.76970613987714,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g080010","OG0001258",3.60256263562916,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc08g080630","OG0000115",3.32348422755324,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc09g007520","OG0003537",3.0459690957623,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc02g079220","OG0000242",2.79309363488602,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc04g078540","OG0000731",2.64559661620171,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc03g113220","OG0000507",1.89648787819508,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc04g010250","OG0002415",1.74736158477692,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g100390","OG0000797",1.74681091150261,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g103990","OG0003265",1.60877267718609,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g009860","OG0001658",1.50561965335815,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc02g069690","OG0000012",1.43588030159523,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc08g080940","OG0000330",1.412053823411,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g005470","OG0000152",1.40195661406586,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc02g080530","OG0003537",1.38058221760504,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc02g084720","OG0000214",1.34823669695958,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc08g078820","OG0000412",1.24190514837118,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc08g075370","OG0004333",1.21839713068724,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc11g066150","OG0001242",1.11828175412402,"Atrichoblast","reference","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_001G061200","OG0001658",0.824807689096872,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_001G105200","OG0000330",1.34354843450103,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_001G462200","OG0000012",2.06405800600918,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_002G054900","OG0001258",1.58589489981197,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_002G144600","OG0000412",1.56437706841664,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_004G033600","OG0000242",1.61455325597732,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_004G217800","OG0003265",0.968536438698263,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_006G129900","OG0003537",0.811379885652171,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_006G144500","OG0000214",2.99793749896806,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_008G053100","OG0001242",1.33823486934317,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_008G132850","OG0000152",1.9830713989146,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_009G028300","OG0000115",1.27125656966462,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_009G098100","OG0000731",1.61698051352714,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G075200","OG0000115",1.56245057869495,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G075400","OG0000115",1.61714059418578,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G075501","OG0000115",1.92381281472806,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G075600","OG0000115",1.72470901766079,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G075800","OG0000115",2.12021206122412,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_010G212200","OG0002415",0.788064101125901,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_013G009400","OG0000797",0.88071991732946,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_013G070900","OG0004333",0.612976930745182,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Potri_017G078100","OG0000507",1.28807055868442,"3","query","Atrichoblast",3,"solanum_lycopersicum","Root"
"Solyc01g080010","OG0001258",3.60256263562916,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc06g060070","OG0004880",3.07903647525444,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc09g007520","OG0003537",3.0459690957623,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc02g079220","OG0000242",2.79309363488602,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc03g116510","OG0003722",2.77519891561165,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc03g112100","OG0004301",2.63783682742503,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc05g056550","OG0000069",2.60212698348086,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc12g057060","OG0000028",2.24208968389324,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc03g113220","OG0000507",1.89648787819508,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc01g079150","OG0000946",1.89116326817384,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc07g043550","OG0001188",1.81665439479967,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc01g009780","OG0009328",1.75749310764634,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc01g100390","OG0000797",1.74681091150261,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc04g054810","OG0003660",1.69454315014104,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc08g006000","OG0005806",1.56263595423352,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc08g082280","OG0000900",1.51159717727769,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc09g075120","OG0001011",1.50498220180383,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc10g081970","OG0000772",1.46241803661547,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc09g065850","OG0000575",1.44066752680059,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc02g069690","OG0000012",1.43588030159523,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc01g005470","OG0000152",1.40195661406586,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc02g080530","OG0003537",1.38058221760504,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc05g010120","OG0000135",1.33555983304228,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc03g096730","OG0002027",1.26282766364048,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc11g066520","OG0002914",1.19215390766516,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc08g006320","OG0002380",1.18346367722844,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc09g014380","OG0000294",1.15692488302028,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc11g066150","OG0001242",1.11828175412402,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc04g074390","OG0000028",1.0204854452715,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc04g074450","OG0000303",1.00628738748024,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc06g060370","OG0004769",1.00208791981144,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc01g007220","OG0000723",0.991275520929904,"Atrichoblast","reference","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_001G312600","OG0000028",3.00422811177165,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_001G462200","OG0000012",0.738547862054981,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_001G463400","OG0000012",2.64261260986127,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_002G078600","OG0004880",3.32123571132372,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_002G093100","OG0003660",0.930452853598644,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_002G098600","OG0000303",1.22898730843888,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_003G062300","OG0003722",5.13452678478764,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_003G139700","OG0000900",1.26152166918388,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_003G165900","OG0009328",0.584592772402625,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_004G015300","OG0003537",1.1123640885806,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_004G033600","OG0000242",1.40789568354186,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_004G138300","OG0000069",1.5461704555105,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_005G078200","OG0003660",3.0088800021168,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_005G177200","OG0004769",2.02189380248576,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_005G182700","OG0004880",2.30505336175804,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_008G060100","OG0002027",0.979042678571859,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_008G111200","OG0000135",0.900305689875375,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_008G132850","OG0000152",2.29648291922365,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_008G161100","OG0000575",1.05631007211566,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_008G203200","OG0001258",3.90484115861365,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_009G003100","OG0002914",1.54795980786618,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_010G207200","OG0001242",1.28936479620241,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_011G156100","OG0001188",3.09602610188708,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_011G158500","OG0000012",1.55109567406141,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_013G009400","OG0000797",1.9064570713899,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_013G041300","OG0000575",0.527908581148496,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_014G116000","OG0000946",1.88086939000248,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_014G129200","OG0001011",1.61470952200189,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_015G085100","OG0004301",1.32686707211497,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_016G071500","OG0000723",0.560050301512401,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_016G071600","OG0000772",0.4816906961482,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_016G113600","OG0000294",1.51528961995935,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_017G078100","OG0000507",0.855383223966663,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_018G000600","OG0005806",1.05836981007914,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_018G008500","OG0002380",0.960469438028536,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Potri_018G139300","OG0002380",1.04650102143965,"11","query","Atrichoblast",11,"solanum_lycopersicum","Root"
"Solyc08g078870","OG0000085",3.71832033643299,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g078930","OG0000085",3.4301539096801,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g078910","OG0000085",3.127851135427,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc01g109390","OG0000933",3.0544361097843,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g079200","OG0000085",2.61932636201154,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g079190","OG0000085",2.29662295656451,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc06g011350","OG0000175",2.18962717197534,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc06g067910","OG0001219",1.99099946039459,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc09g007760","OG0000175",1.8304234276163,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g074480","OG0000085",1.68919565217716,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc02g092790","OG0005279",1.6291211525991,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc11g069430","OG0000175",1.54750205892827,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc09g010940","OG0001017",1.4995285841052,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc07g065110","OG0000933",1.48569688095276,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc05g005080","OG0001940",1.48544939005232,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc08g005960","OG0000085",1.38912063675842,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc06g063240","OG0005359",1.21610952403085,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc07g045440","OG0002874",1.18323451546841,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc10g084120","OG0000175",1.17121848155484,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc06g060760","OG0002150",1.15546684891575,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc10g011730","OG0000765",1.10991026782014,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc04g081490","OG0000155",1.08320045657123,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc02g089065","OG0001230",0.998600206194701,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc01g081570","OG0001522",0.993449665823285,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc12g044330","OG0002150",0.987867594195353,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
"Solyc07g052510","OG0000231",0.95841184662055,"Cortex","reference","Cortex",12,"solanum_lycopersicum","Root"
