"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"FvH4_2g13110","OG0001582",1.63374470311818,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g18850","OG0000087",1.47252154831206,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g06090","OG0000118",1.4532573540363,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g29800","OG0000789",1.45110535599747,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g52810","OG0000406",1.37766794767129,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19010","OG0000087",1.32343859904766,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_5g00460","OG0002005",1.24217578447221,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19080","OG0000087",1.18975712260629,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_5g24010","OG0002379",1.13512426815387,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_5g16260","OG0001308",1.07293047517569,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_2g17100","OG0000798",1.02548434387652,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19040","OG0000087",1.00660491090165,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19710","OG0000087",0.984724882163992,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g29770","OG0000789",0.954632903353024,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19050","OG0000087",0.910324484555847,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g28680","OG0001882",0.907795713766217,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g07810","OG0000061",0.885173151448784,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g03180","OG0002732",0.881984000743566,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_1g02890","OG0000789",0.873094795103767,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_2g34940","OG0001749",0.847824917477304,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19060","OG0000087",0.847601320231806,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g20570","OG0000983",0.833358501755115,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_3g11300","OG0000012",0.810146615636435,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_3g00780","OG0000297",0.793049106630742,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_4g19420","OG0000770",0.78623324701528,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g03170","OG0002732",0.785315406031242,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_1g23710","OG0000040",0.768741145106063,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_3g01700","OG0000385",0.74211246613363,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_6g27610","OG0000076",0.703877772919643,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_7g17290","OG0001154",0.695657077023273,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_3g10960","OG0000012",0.680329982197007,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_3g40570","OG0002557",0.648685008717346,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
"FvH4_2g06670","OG0001749",0.643717882910702,"Hydathodes","reference","Hydathodes",7,"fragaria_vesca","Leaf"
