"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Os03g0279200","OG0000381",3.16763404067254,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0835900","OG0000127",2.93645246366643,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os03g0119900","OG0000127",2.87434793304322,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os05g0574300","OG0000088",2.82949376635391,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os08g0490900","OG0000088",2.75977516656454,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os04g0419600","OG0000052",2.63602648248096,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os04g0253000","OG0000559",2.56177218179238,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0152900","OG0000088",2.38681523939761,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os11g0155900","OG0000052",2.33900755829297,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0153100","OG0000088",2.30743813634648,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0153300","OG0000088",2.27698242985789,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os09g0553100","OG0000127",2.23048871282782,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os09g0433600","OG0000127",2.21023073096926,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0839500","OG0000088",2.19022005844573,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os05g0466600","OG0000127",2.18924789122664,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0152300","OG0000088",2.17694436869606,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os07g0549900","OG0000127",2.01656115517246,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os03g0799000","OG0000559",1.98553222168538,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os04g0583600","OG0000127",1.9684054243641,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0149600","OG0000088",1.85011151529046,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os02g0684500","OG0000127",1.84057446592361,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os03g0279000","OG0000088",1.81439130401815,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os12g0530000","OG0002013",1.69730359669676,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os10g0539500","OG0000127",1.48924154461743,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os06g0130900","OG0000052",1.48598061612957,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os01g0152700","OG0000088",1.38856225334972,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os05g0113900","OG0000381",1.14455810162297,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os06g0130800","OG0000559",0.959483567420831,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Os03g0390600","OG0000052",0.698314883868312,"Initial cell","reference","Initial cell",1,"oryza_sativa","Leaf"
"Potri_001G016900","OG0000052",2.95774093398373,"1","query","Initial cell",1,"oryza_sativa","Leaf"
