"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"GLYMA_15G245800","OG0000145",1.3309,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G003700","OG0004364",1.1888,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G003700","OG0004364",1.1888,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_11G142900","OG0000800",0.9116,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_10G004800","OG0004364",0.8781,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G003700","OG0004364",0.8691,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_15G245800","OG0000145",0.8691,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_12G066000","OG0000800",0.8076,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_06G028000","OG0001168",0.8043,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_04G251000","OG0000287",0.7723,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_04G251000","OG0000287",0.7723,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_11G078300","OG0003216",0.7663,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G099600","OG0003977",0.7654,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_16G173700","OG0001127",0.756,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_16G173700","OG0001127",0.756,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_11G078300","OG0003216",0.7546,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_09G127000","OG0001127",0.7305,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_09G099500","OG0002890",0.6946,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G085100","OG0000431",0.6643,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G085100","OG0000431",0.6643,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G261000","OG0000145",0.6394,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_04G027800","OG0001168",0.6103,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_10G183300","OG0004364",0.5651,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_16G173700","OG0001127",0.5564,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_04G251000","OG0000287",0.5551,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G218100","OG0001897",0.5446,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G218100","OG0001897",0.5446,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G063600","OG0000894",0.5361,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G063600","OG0000894",0.5361,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_12G066000","OG0000800",0.5354,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_15G041100","OG0000800",0.5236,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_15G041100","OG0000800",0.5236,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_16G216500","OG0012748",0.5221,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G085100","OG0000431",0.503,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G081000","OG0000287",0.4996,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_08G194900","OG0000782",0.4956,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_15G268800","OG0000145",0.4903,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G076900","OG0005093",0.4787,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G076900","OG0005093",0.4787,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_06G112200","OG0000287",0.471,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_08G361500","OG0000145",0.4664,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_18G090900","OG0002136",0.465,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G099600","OG0003977",0.4602,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_07G196500","OG0004918",0.4546,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_07G196500","OG0004918",0.4546,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_02G063600","OG0000894",0.4543,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_08G161600","OG0001522",0.4427,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_08G161600","OG0001522",0.4427,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_13G261000","OG0000145",0.4373,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_09G127000","OG0001127",0.4365,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_15G268800","OG0000145",0.4321,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"GLYMA_17G211000","OG0001400",0.428,"Pericycle cell","reference","Pericycle cell",0,"glycine_max","Root"
"Potri_001G230000","OG0000145",0.415511408888395,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_001G233000","OG0001522",1.22921988769721,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_001G235500","OG0000800",2.59668707226836,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_002G029100","OG0001168",0.417894532089732,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_002G085100","OG0000287",2.2575679126242,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_002G090700","OG0000431",1.43239825489044,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_002G108000","OG0001897",0.32153280040905,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_003G221200","OG0001522",1.06014470876234,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_005G082000","OG0000431",1.57091323223622,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_005G111700","OG0003216",2.04577101938945,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_005G176100","OG0000287",2.07502258177516,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_006G076900","OG0003977",2.183377818318,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_006G254100","OG0001400",0.477688789721383,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_007G037300","OG0000894",0.749201810471464,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_009G027300","OG0000800",2.63201857947665,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_009G159700","OG0005093",0.820497392416974,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_010G069000","OG0004364",2.49615619132004,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_010G172700","OG0002890",1.14355061649413,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_011G052600","OG0004918",1.53266020655875,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_015G026900","OG0001127",1.96511202749992,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_015G029400","OG0012748",2.52467547701945,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_018G015100","OG0002136",1.97387097210985,"0","query","Pericycle cell",0,"glycine_max","Root"
"Potri_018G054800","OG0000782",2.32850582725335,"0","query","Pericycle cell",0,"glycine_max","Root"
"GLYMA_06G242900","OG0011569",3.0084,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G242900","OG0011569",3.0084,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_18G180800","OG0000950",1.8703,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G242900","OG0011569",1.8179,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_12G154300","OG0011569",1.6638,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_15G210100","OG0000454",1.3813,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_09G008400","OG0000893",1.2857,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_09G061200","OG0000592",1.2565,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_13G201100","OG0006013",1.0688,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_11G098700","OG0000387",1.0634,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G116400","OG0000245",1.0329,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_18G109100","OG0000145",0.9754,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_18G180800","OG0000950",0.9569,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_15G210100","OG0000454",0.9466,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_13G101700","OG0000592",0.8593,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G221100","OG0006885",0.8422,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G221100","OG0006885",0.8422,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_15G210100","OG0000454",0.8344,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_12G154300","OG0011569",0.794,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_19G006400","OG0000169",0.7073,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G242900","OG0011569",0.6857,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_08G032500","OG0000965",0.6664,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G090200","OG0003663",0.6627,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_04G088200","OG0003663",0.6264,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_04G088200","OG0003663",0.6264,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_07G132000","OG0000950",0.6226,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G090200","OG0003663",0.5978,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G197300","OG0001024",0.5842,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_12G024700","OG0000387",0.5784,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_04G165500","OG0001024",0.5758,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_17G103100","OG0001024",0.5578,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_04G088200","OG0003663",0.5566,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_17G254200","OG0002445",0.5545,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_06G269500","OG0000760",0.5281,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_04G246400","OG0000245",0.5211,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_12G095200","OG0003137",0.5012,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_05G225700","OG0000965",0.4924,"Phloem","reference","Phloem",4,"glycine_max","Root"
"GLYMA_12G040000","OG0000443",0.4902,"Phloem","reference","Phloem",4,"glycine_max","Root"
