"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Gbi04G0343","OG0000387",Inf,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi04G0878","OG0000950",Inf,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G4401","OG0000950",Inf,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi07G0857","OG0001024",333.484952091426,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G2167","OG0000104",268.445452393251,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi04G2134","OG0000252",215.367503756201,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi06G1830","OG0000965",120.158833433416,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi12G0400","OG0000104",111.497032478927,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi08G0569","OG0002135",66.7698307169426,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi09G3301","OG0001024",62.7580012406458,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi10G0915","OG0011418",53.7855056526425,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi01G1546","OG0002445",42.147358004524,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G2916","OG0004333",39.3069161924662,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi06G2344","OG0003663",36.1793486084722,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi10G3134","OG0002405",35.0184807314018,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi10G3132","OG0000288",30.2375321312436,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G4006","OG0000923",17.6805273016588,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi05G1399","OG0011418",16.3816488573075,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi06G1050","OG0006885",16.2906997343312,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G0148","OG0000104",12.6430659467815,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi12G1615","OG0000169",11.8748052321379,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi08G2962","OG0001874",11.2763757345237,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi05G2061","OG0000303",8.6863189940285,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G2783","OG0001207",8.65973827719769,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi01G2034","OG0000288",7.59285518239737,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi04G0344","OG0000387",5.04976509024213,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi12G3220","OG0000104",5.00277766986825,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi05G0938","OG0002405",4.87336749914287,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi02G1699","OG0000464",4.42104781807128,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi10G0777","OG0005413",3.72851737325876,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi10G2055","OG0011272",3.28057480631993,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi13G1425","OG0000418",3.13428459248304,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi08G0064","OG0003544",3.11934345221234,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi09G2582","OG0000104",3.06397063653353,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi09G0607","OG0004384",2.98895971210499,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Gbi05G2180","OG0001697",2.54712788662474,"Companion cell","reference","Companion cell",4,"gossypium_bickii","Seed"
"Potri_001G057500","OG0002405",0.260659232362747,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_001G219500","OG0000464",0.41018042669871,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_001G239650","OG0000950",3.93409770729587,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_001G311700","OG0000303",0.72557647085676,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_001G347700","OG0004384",0.35553114868766,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_002G021500","OG0000387",0.898143647861763,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_002G030000","OG0002445",1.04458910540563,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_003G136200","OG0000104",0.319459717735595,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_003G166200","OG0000464",4.32074584091377,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_004G175000","OG0000104",4.06479584154717,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_005G077300","OG0001207",0.864970890480921,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_005G142100","OG0000169",4.45645364939204,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_005G240200","OG0000387",2.09601037603305,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_006G043300","OG0011418",3.95301476206324,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_006G113400","OG0003544",3.05282877625638,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_006G185000","OG0001024",0.552788205076609,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_006G235200","OG0000965",0.685257458442129,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_006G236000","OG0003663",1.88254053789487,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_007G085800","OG0011272",1.16374271345812,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_007G090600","OG0001207",1.39741034506626,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_007G123300","OG0000288",0.266665035731435,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_009G030800","OG0000950",2.95323245549246,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_009G084600","OG0001697",0.659419183528209,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_010G236500","OG0000252",0.764828890084986,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_011G025500","OG0002405",3.42197683662284,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_011G134200","OG0000288",0.313433892143242,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_013G018600","OG0000923",0.427623707046471,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_013G070900","OG0004333",0.912261034705774,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_013G132300","OG0000418",0.319782082207672,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_014G190300","OG0002135",1.05546559302488,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_015G023300","OG0000104",0.64486352217785,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_015G120200","OG0006885",4.02276961846652,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_016G030900","OG0005413",0.426535144836419,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_016G138900","OG0000104",0.411999383582833,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_017G036800","OG0000288",0.40918809429377,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_017G051700","OG0000303",1.05438751522072,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_018G030700","OG0001874",0.253632268770037,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_018G057600","OG0000965",0.565815592577052,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_018G107300","OG0001024",0.380477933031998,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Potri_019G131400","OG0000104",0.319280376964991,"4","query","Companion cell",4,"gossypium_bickii","Seed"
"Gbi11G1925","OG0000944",63.7566345147249,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi07G2270","OG0003485",50.329502800296,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi08G1756","OG0007940",42.9307226946984,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi01G0351","OG0003312",36.3923385837226,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi13G5213","OG0000127",35.8328137308115,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi01G0390","OG0002708",34.7084585899911,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi13G4815","OG0003062",34.4600288581189,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi10G2852","OG0001771",33.3776069078158,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi11G0650","OG0002494",32.5624288719848,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi01G2601","OG0002863",30.1317568801944,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi12G2823","OG0002829",28.6521344954342,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi09G2521","OG0001930",28.3880456873747,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
"Gbi11G0077","OG0001953",27.5466440047349,"Mesophyll","reference","Mesophyll",1,"gossypium_bickii","Seed"
