"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"GLYMA_15G072400","OG0002242",1.7608,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_15G072400","OG0002242",1.7608,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G193500","OG0000214",1.7558,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_18G061100","OG0001344",1.4763,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_18G061100","OG0001344",1.4763,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_02G213700","OG0002391",1.4701,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G059700","OG0000242",1.4249,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_06G050100","OG0000465",1.3902,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_06G050100","OG0000465",1.3902,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G059700","OG0000242",1.3713,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G193500","OG0000214",1.3577,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_01G161500","OG0006319",1.3333,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_01G161500","OG0006319",1.3333,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_04G049200","OG0000465",1.2899,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_04G049200","OG0000465",1.2899,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_01G006000","OG0002392",1.2787,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_01G006000","OG0002392",1.2787,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_15G071300","OG0002242",1.278,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_15G071300","OG0002242",1.278,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G193500","OG0000214",1.2768,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G082300","OG0006319",1.1348,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_20G144800","OG0006281",1.0774,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_04G049200","OG0000465",1.0761,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G170300","OG0001344",1.0522,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G170300","OG0001344",1.0522,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_07G010400","OG0000214",0.993,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_07G010400","OG0000214",0.993,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_09G062900","OG0000214",0.9873,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_09G062900","OG0000214",0.9873,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_02G213700","OG0002391",0.9684,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_15G076500","OG0005030",0.9615,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G360200","OG0001658",0.9519,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_17G202700","OG0000639",0.9228,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_13G091100","OG0002693",0.9185,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_06G050100","OG0000465",0.8887,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_20G144800","OG0006281",0.8875,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_17G202700","OG0000639",0.8599,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_09G062900","OG0000214",0.8432,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G360200","OG0001658",0.8363,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G211100","OG0000664",0.8261,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G193500","OG0000214",0.8211,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_13G030900","OG0000062",0.8182,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_16G052000","OG0003832",0.8095,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_16G189500","OG0000722",0.7934,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G170300","OG0001344",0.7774,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G077400","OG0001141",0.7687,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_11G077400","OG0001141",0.7687,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_08G199300","OG0001310",0.767,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
"GLYMA_04G076000","OG0003616",0.761,"Inner integument","reference","Inner integument",3,"glycine_max","Seed"
